title,source,q1,q2,sep
What series is this depiction of Araragi Karen referring to?,Anime_0,(Possibly Dr. Slump?,"But then right before this image, there's a drawing of Karen that looked  like (to me anyway: I have a feeling I'm wrong about this) an imitation of the titular character of Chibi Maruko-chan, so I'm not sure:    Moreover, I remember seeing something that looked very much like a parody of Peko-chan in an earlier episode, though unfortunately I don't remember which one it was:    Is this (the first image, I mean) supposed to be an allusion to some other anime series, and if so, what is it referring to?",215
Have characters' voice actors in Fate/ always been the same?,Anime_1,"Saber-Arturia, Gilgamesh, Rin, Ilya, EMIYA)?","Also, if they have remained the same, is there any confirmation that Fate/Hollow Ataraxia on the PS Vita will follow the same trend?",0
What exactly are the rollbacks in Higurashi?,Anime_2,Was that possibly just a bad/false translation of the subtitles I was using?,"And which version is right, after all?",0
What does the fist bump mean in Naruto?,Anime_3,Does the fist bump have any special meaning?,"I doubt it originated in Japanese culture or mythology, so where did it come from?",0
"Mecha anime where boy pilots small, somewhat feminine robot that can teleport to him",Anime_4,"From that question, [website]  It was about a boy who gets involved in some kind of (military?",I think these shows are the same; does anybody know it?,968
"In Naruto Gaiden: The Seventh Hokage, who is this blue-haired guy sitting next to Boruto?",Anime_5,"In Naruto Gaiden: The Seventh Hokage manga, page 3    Who is the guy with blue hair sitting next to Boruto?",Is it a new character or did I miss something from Naruto?,0
Are anime and manga subsidized or actively used by Japanese government to promote Japanese culture/relations internationally?,Anime_6,"After 7 years, are these concept actually implemented by the Japanese administration?",Are there documents related to direct intervention by the Japanese government to spread or boost the anime and manga industry overseas aiming to these goals in international relations?,0
Ghost in the Shell: Who's Marcelo?,Anime_7,Exactly who was Marcelo?,Isn't he a notorious drug lord?,240
Why Eren can't fully transform?,Anime_9,Why is this so?,Why can't Eren fully transform?,0
"Why didn't Chibi-usa initially recognize Sailors Mercury, Mars, Jupiter, & Venus as her friends?",Anime_10,"If Chibi-usa had the clear memory of the birthday party, why didn't she immediately recognize those same four sailor soldiers when she ""re-met"" them in the 20th century?",Didn't the party scene indicate that they were her friends and she knew their names?,0
"Why didn't Chibi-usa initially recognize Sailors Mercury, Mars, Jupiter, & Venus as her friends?",Anime_10,Didn't the party scene indicate that they were her friends and she knew their names?,Is this a plot hole?,0
