title,source,q1,q2,sep
Why do aircraft models end their life as freighters?,Aviation_0,Shouldn't those considerations apply with equal strength to cargo planes?,Which factors contribute to passenger aircraft obsolescence that do not apply equally well to freight?,0
May a commercial pilot transport an owner in the latter’s experimental aircraft for compensation?,Aviation_1,May Popeye legally accept compensation for this flight?,"In the scenario above, are both Olive Oyl and Popeye operating the aircraft simultaneously?",1654
May a commercial pilot transport an owner in the latter’s experimental aircraft for compensation?,Aviation_1,"In the scenario above, are both Olive Oyl and Popeye operating the aircraft simultaneously?",Who has operational control?,0
May a commercial pilot transport an owner in the latter’s experimental aircraft for compensation?,Aviation_1,Who has operational control?,"If Olive Oyl asserts that she is not running a commercial operation and is paying Popeye for his services, do they have a legal leg to stand on?",414
"For calculating $V_{stall}$, why should be used $C_{L,max}$ and not $C_{L,min}$ (that would be more prudent)?",Aviation_2,Question: Why [tex]?,Why not [tex]?,0
How are wind tunnels used with scale models?,Aviation_3,How are wind-tunnels used in practice (for modelling the performance of subsonic airplanes)?,"In particular:   Do they used increased air pressure, or another mechanism, to compensate the Reynolds number?",0
How are wind tunnels used with scale models?,Aviation_3,"In particular:   Do they used increased air pressure, or another mechanism, to compensate the Reynolds number?",What scale model is used?,0
How are wind tunnels used with scale models?,Aviation_3,What scale model is used?,So do they use a scale like 10:1?,108
How are wind tunnels used with scale models?,Aviation_3,So do they use a scale like 10:1?,More or less?,0
How are wind tunnels used with scale models?,Aviation_3,More or less?,What are the forces (lift and drag) generated on the model?,0
How are wind tunnels used with scale models?,Aviation_3,What are the forces (lift and drag) generated on the model?,Is that real?,120
How are wind tunnels used with scale models?,Aviation_3,Is that real?,Are they making 10:1 models which cope with 50-ton forces?,0
How are wind tunnels used with scale models?,Aviation_3,Are they making 10:1 models which cope with 50-ton forces?,"What kind of air-speed will they be using, what would they be measuring with that kind of test?",212
Why don't we get more user-friendly weather reports than METARs?,Aviation_4,Scaling this to the global scale?,The result?,144
Why don't we get more user-friendly weather reports than METARs?,Aviation_4,The result?,"So, why haven't we began the move?",21
What are point in space approaches (as they pertain to helicopters)?,Aviation_5,Can someone please help me understand point in space approaches as they pertain to helicopters?,"When will you use one, and how?",0
What are point in space approaches (as they pertain to helicopters)?,Aviation_5,"When will you use one, and how?","Also, how is HAL associated with point in space?",0
What makes a bomber able to deliver nuclear bombs?,Aviation_7,Why is that so?,Is that all?,335
What makes a bomber able to deliver nuclear bombs?,Aviation_7,Is that all?,Does that exist and is it a problem for modern fighter/bomber aircraft?,124
Are there any ILS approaches in Class E airspace?,Aviation_8,My question is are there any ILS approaches in Class E airspace?,"Is there a a rule that prohibits them, or conversely, only allows them when there is a tower?",0
What regulations exist for ATC real time RADAR simulator software?,Aviation_9,Does professional ATC RADAR simulator software need to comply to some regulations or requirements in order to be used for real life controller training?,"Have ICAO, Eurocontrol, EASA or FAA published any such regulations or requirements in their documents?",0
What would happen if the wing of a supersonic plane goes into the shock wave from the nose?,Aviation_10,What happens if the wing of a supersonic plane goes into the shock wave from the nose?,"Since the wing can live with that, why is it then a problem if they go into the shock wave from the nose (which I have always learned)?",217
Is airspace more crowded on days following cancellations or a large number of delays?,Aviation_11,"On days following mass delays or large number of cancellations, does the amount of planes in the airspace increase to alleviate the pressure of passengers who are behind schedule?",or does the load factor simply increase?,0
Is airspace more crowded on days following cancellations or a large number of delays?,Aviation_11,or does the load factor simply increase?,Do the following days operate at say 90% airspace capacity to help relive that congestion?,154
