title,source,q1,q2,sep
My 1000 watt rated hub only pulls 6.7A (321.6 watts @ 48v) suggestions?,Bike_0,Did I get ripped off?,Is there something I am missing?,0
My 1000 watt rated hub only pulls 6.7A (321.6 watts @ 48v) suggestions?,Bike_0,Is there something I am missing?,Suggestions anyone?,178
Replacing needle bearing threaded headset with an ordinary one,Bike_1,Will I be able to replace it with ordinary ball bearing based headset (I guess I won't be able to find the same ball/needle set easily)?,Are head tubes for threaded headsets all the same?,0
Looking for suggestions on a mostly-road mixed-use tire,Bike_2,What would be some good tire choices for my use case?,Which aspects would they upgrade?,0
Shimano BR-T4000 not compatible with frame pivot stud,Bike_3,"For replacement I picked front+rear set of Shimano BR-T4000 v-brakes because v-brakes are so simple and compatible with each other, right?",Are new brakes broken/malformed/fake?,565
Shimano BR-T4000 not compatible with frame pivot stud,Bike_3,Are new brakes broken/malformed/fake?,Get another brakes?,0
Shimano BR-T4000 not compatible with frame pivot stud,Bike_3,Get another brakes?,Use adapter part?,0
Shimano BR-T4000 not compatible with frame pivot stud,Bike_3,Use adapter part?,Or should I just get new fork with replaceable studs?,0
How to start riding a recumbent bike?,Bike_4,How do I get moving and keep my balance right from start?,Why am I failing so hard?,0
"Gash where valve meets tire tube; How could this happen, and can I fix it?",Bike_5,Questions   Is this a common occurrence?,"Is this fixable, or is my tube completely shot?",177
"Gash where valve meets tire tube; How could this happen, and can I fix it?",Bike_5,"Is this fixable, or is my tube completely shot?",Is there anything I can do to prevent this in the future?,48
"Gash where valve meets tire tube; How could this happen, and can I fix it?",Bike_5,Is there anything I can do to prevent this in the future?,I use a hand pump but am gentle; would a stand-up pump be a better choice?,0
"Gash where valve meets tire tube; How could this happen, and can I fix it?",Bike_5,I use a hand pump but am gentle; would a stand-up pump be a better choice?,"Do bike tires come with a standard warranty for cases like this, or do you know of any brands that do?",0
"Gash where valve meets tire tube; How could this happen, and can I fix it?",Bike_5,"Do bike tires come with a standard warranty for cases like this, or do you know of any brands that do?","If I have to purchase new tires, I'm going to purchase Is there any kind of ""off-season"" maintenance that I should be performing on my bike that could prevent things like this?",0
Thoughts about tri bar / trekking bar on hybrid bicycle,Bike_7,Is tri bar on hybrid a feasible option?,Or trekking bar will be good choice?,0
Thoughts about tri bar / trekking bar on hybrid bicycle,Bike_7,Or trekking bar will be good choice?,But will my existing brake/shifter will work on bullhorn bar?,135
Bike Assembly - What all needs lubrication?,Bike_8,"As I'm putting the bike back together, I've been wondering what all needs lubrication?",Is there a comprehensive list somewhere that explains what parts need it?,0
