title,source,q1,q2,sep
Is a player required to ship on a wharf if they are able to?,BoardGames_0,"If a player has a wharf, goods available to ship, and is otherwise unable to ship goods on the available ships, is that player required to use their wharf to ship all of one of their remaining goods?","Or are they allowed to, say, hang on to their coffee to sell during a later trader phase?",0
Do the sides reveal their goals when the haunt begins?,BoardGames_4,"On Betrayal at House on Hill, once haunt is revealed and everyone knows their parts do both sides then reveal what their ultimate goal is?",And do the players then say ok well we have to collect this item and do this to win?,66
How often can we use Tyr's Challenge?,BoardGames_7,"If all villages are pillaged, can we use the Tyr's Challenge card as our action?","Tyr's Challenge      You may pay 2 rage to repillage an already pillaged village   If we can afford the rage for the action, how often can we use it?",0
Why doesn't Undying trigger if a creature with +1/+1 counters dies from -1/-1 counters?,BoardGames_8,Why don't the counters cancel?,Could someone elaborate on this?,0
What are the limitations on pillaging and battling a region?,BoardGames_9,"How many times we can pillage or battle each region without using the Tyr's Challenge card (""As your action, you may pay 2 rage to repillage an already pillage"")?",Is there a limitation?,0
Loki's Trickery card rss,BoardGames_10,"Player C wins the battle, but he has only 1 rage  What happens now ?",Which player will steal the 1 rage from Player C?,0
Odin's Smite card and Thor's Primacy card and Heimdall's Watch,BoardGames_11,Then Play new cards)  Now what happen ?,Which card will be used ?,0
Odin's Smite card and Thor's Primacy card and Heimdall's Watch,BoardGames_11,Which card will be used ?,Then Play new cards)  Now wha happen ?,225
Odin's Smite card and Thor's Primacy card and Heimdall's Watch,BoardGames_11,Then Play new cards)  Now wha happen ?,which card will be used ?,0
Odin's Smite card and Thor's Primacy card and Heimdall's Watch,BoardGames_11,which card will be used ?,3- player A plays Thor's Primacy  card (Cancel the text of each opponent's reveled card before it takes effect) and player B plays Odin's Smite card (Destroy one warrior from each opponent in this province before comparing STR) what happen now ?,0
Odin's Smite card and Thor's Primacy card and Heimdall's Watch,BoardGames_11,3- player A plays Thor's Primacy  card (Cancel the text of each opponent's reveled card before it takes effect) and player B plays Odin's Smite card (Destroy one warrior from each opponent in this province before comparing STR) what happen now ?,which card will be used ?,0
How do the Investigators Collectively Decide?,BoardGames_13,"The pluralization of 'investigators' suggests that it is not up to the First Player, but how is this meant to be resolved?","We eventually settled it with a roll-off, but how should this be resolved?",123
Second line invasion of two-space extension,BoardGames_14,"|   Question 1: Ignoring the three marked stones, how would one usually defend this invasion?",Is J17 correct here?,0
Second line invasion of two-space extension,BoardGames_14,Is J17 correct here?,Question 2: Is white 2 above already a horrible mistake?,577
Second line invasion of two-space extension,BoardGames_14,Question 2: Is white 2 above already a horrible mistake?,Or does there exist a follow-up after black 3 that kills the invading stones?,0
Second line invasion of two-space extension,BoardGames_14,Or does there exist a follow-up after black 3 that kills the invading stones?,Question 3: How strong is the two-space extension?,0
Second line invasion of two-space extension,BoardGames_14,Question 3: How strong is the two-space extension?,"In the initial situation where black invades at 1, what is the best white can expect to get?",0
Second line invasion of two-space extension,BoardGames_14,"In the initial situation where black invades at 1, what is the best white can expect to get?",Is it worthwhile to invest a lot of time into learning how to deal with strange attacks?,175
Second line invasion of two-space extension,BoardGames_14,Is it worthwhile to invest a lot of time into learning how to deal with strange attacks?,Or should one expect to get this simply by experience?,0
Does the medic remove cubes of the final cured disease (and thus eradicate it) before the game ends in a win?,BoardGames_15,Have you now won with full eradication?,Or did the game already end once the fourth disease was cured?,0
What are some Battlestar Galactica Daybreak Human Strategies?,BoardGames_16,"So, is there a valid strategy for playing humans besides get to Demetrius ASAP and get through the missions?",Kobol or Ionian Nebula)?,72
"In two- and three-player Citadels, how does the Bishop's ability work?",BoardGames_17,"In two- and three-player Citadels, if I have Bishop, am I always protected from the Warlord?",I was most recently the Bishop during the Warlord's turn)?,66
Impersonation in regional pro tour qualifier,BoardGames_19,"If me and two other friends go instead, with me pretending to be him (giving his name and DCI number instead of my own), then:  A) Would we get away with it?",B) What is the consequence if we are caught?,0
Impersonation in regional pro tour qualifier,BoardGames_19,B) What is the consequence if we are caught?,Would I be banned from tournament play for instance?,0
Phantom Province Houserule,BoardGames_20,Is there statistical evidence for or against the validity of this rule?,Is this rule in popular use?,0
What is the bonus points for Gin and Undercut?,BoardGames_22,In the traditional rules of Gin-Rummy:   Is going Gin worth 20 or 25?,Is undercutting worth 10 points?,0
What is the bonus points for Gin and Undercut?,BoardGames_22,Is undercutting worth 10 points?,"If a player knocks and is undercut by their opponent and this opponent lays off and has no deadwood, do they get a gin bonus of having no deadwood?",0
MTG: Abilities lost when exiled?,BoardGames_23,Do they lose hexproof and unblockable when exiled and come back to the battlefield without hexproof/unblockable?,Or will they have that ability until end of turn as stated by glaring spotlight?,0
Why don't ground-types (fighting) in Pokemon TCG have resistance to electric?,BoardGames_26,What gives?,Why don't the ground-types have resistance to lightning?,0
Why don't ground-types (fighting) in Pokemon TCG have resistance to electric?,BoardGames_26,Why don't the ground-types have resistance to lightning?,"Or rather, why was their resistance to lightning removed?",0
Does Paelleall's Wrath of the Volcano ability affect Heroes on her tile and the Entrance Tile?,BoardGames_30,Does reasoning follow that heroes on the Dungeon Entrance would be wounded as well?,Is this path inclusive of the start and end point?,0
Items already in possession of another character,BoardGames_33,What happens if a player should gain an item but that item already is used by another character?,What happens if those item are already in play in another player's hand?,146
"Taking back turns, and forgotten privileges",BoardGames_34,"A generic question across most board games: once a player has taken their turn (taken their finger off the piece they are playing), should they be allowed to change their mind?","Similarly, if a player forgets to take a privilege, such as an occupied building in Puerto Rico giving an extra worker, or plantation, if they remember a few moves later, should they be allowed to take the privilege?",0
Should I shuffle the Visage tokens after an investigator gets devoured?,BoardGames_35,"After the investigator is devoured, are all 8 tokens shuffled?","Is the next pick ""free""?",0
How do I become a professional game designer?,BoardGames_36,How I can become a full- or part-time professional developing games?,Are there specific courses?,0
How do I become a professional game designer?,BoardGames_36,Are there specific courses?,What specific knowledge should I be looking to learn?,0
How do I become a professional game designer?,BoardGames_36,What specific knowledge should I be looking to learn?,How do I enter the industry?,0
Does a hit destroy a unit in Axis and Allies 1942?,BoardGames_37,Does this mean (2) units are moved to the casualty strip and does the defender choose which units to be destroyed?,Who chooses the unit to be destroyed?,48
Damage redirection in Warhammer Invasion,BoardGames_38,How exactly does this rule work?,For example: if my opponent assigns 1 damage to my Warrior Priest can I simply move the damage token to any unit surviving the battle and ignore the damage on the Priest or is it an extra damage that Priest will deal but will die anyway because he was assigned enough damage to kill him?,0
Can you spend one production unit to offset population loss from plague cubes on a population 0 location?,BoardGames_39,"I want to spend production units to keep it at 1, but do I need to spend 1 unit or two?","That is, does the population adjustment from plague cubes happen before population adjustment from spending production units?",0
Can you spend one production unit to offset population loss from plague cubes on a population 0 location?,BoardGames_39,"That is, does the population adjustment from plague cubes happen before population adjustment from spending production units?",Or do they happen at the same time?,0
