title,source,q1,q2,sep
Where is it documented that some people didn't want Gospel of John to be included as canonical?,Christianity_0,Can someone shed some light on this topic?,Or provide a book reference?,0
Why did Katarina von Bora need to hide in a barrel to escape from her convent?,Christianity_1,Is there some aspect of this movie that is artistic license?,Why did Katarina von Bora need to escape from her convent in a barrel when Luther did not need to do anything of the sort?,0
Did John Calvin help Nicolas Cop write his infamous inaugural address?,Christianity_2,"(CHPL, 269)   While Wikipedia says, without a citation:     Calvin certainly influenced but did not write Cop's address (permalink)   So, my question is, do modern biographers of Calvin or historians of the Reformation believe:    that Calvin had a role in the actual drafting of the speech?",that Calvin had any influence on the content of the speech?,0
Did John Calvin help Nicolas Cop write his infamous inaugural address?,Christianity_2,that Calvin had any influence on the content of the speech?,or that Calvin was accused simply because of his friendship with Cop?,0
Did John Calvin help Nicolas Cop write his infamous inaugural address?,Christianity_2,or that Calvin was accused simply because of his friendship with Cop?,"That is, what is the scholarly consensus, and the basis for that consensus, on Calvin's involvement in the writing of Cop's fateful address?",0
Where do the 'nine rivers meet'?,Christianity_3,are we told where the nine rivers meet?,Are the rivers actual rivers or is it a metaphor?,0
Where do the 'nine rivers meet'?,Christianity_3,Are the rivers actual rivers or is it a metaphor?,How are the nine rivers linked to the number 13433?,0
Can a non-christian be trusted to translate the Bible?,Christianity_4,"Is it possible for a non-Christian to produce a ""good"" translation of the Bible?","The definition of a ""good translation"" is perhaps up for debate, but the upshot of the question is, should a Christian avoid studying (perhaps only primarily) a translation that is not made by a (group of) believer(s)?",0
"In LDS belief, why are eternal families so important?",Christianity_5,But I've often wondered why it is necessary for everyone to be sealed together?,"We teach in the LDS church that families can be together forever, sealed together by the power of the priesthood under the blessings of the temple, but why is that necessary?",29
"In LDS belief, why are eternal families so important?",Christianity_5,"We teach in the LDS church that families can be together forever, sealed together by the power of the priesthood under the blessings of the temple, but why is that necessary?","What is the significance to coming to earth, raising one of our spirit brethren in mortality as our own physical offspring, then sealing them to us as such for time and all eternity?",154
"In LDS belief, why are eternal families so important?",Christianity_5,"What is the significance to coming to earth, raising one of our spirit brethren in mortality as our own physical offspring, then sealing them to us as such for time and all eternity?",Am I going to view my daughter as the spirit sister I knew her has?,120
"In LDS belief, why are eternal families so important?",Christianity_5,Am I going to view my daughter as the spirit sister I knew her has?,Or am I forever going to regard her as my very own offspring?,0
"In LDS belief, why are eternal families so important?",Christianity_5,Or am I forever going to regard her as my very own offspring?,"After exaltation we teach that we begin families of our own, and produce spirit offspring just like our father in heaven, at which point our mortal children will be our spirit siblings, our children from our brief time in mortality, the spirit aunts and uncles to our new spirit children, as well as their brothers and sisters somehow?",0
"In LDS belief, why are eternal families so important?",Christianity_5,"After exaltation we teach that we begin families of our own, and produce spirit offspring just like our father in heaven, at which point our mortal children will be our spirit siblings, our children from our brief time in mortality, the spirit aunts and uncles to our new spirit children, as well as their brothers and sisters somehow?","What is it about taking our pre-existing family of children of God, and organizing them into lineages for time and all eternity that is so significant?",0
How does Catholicism contradict Brene Brown? (Lev 19:18) Practical implications?,Christianity_6,"Question 1: Which part of my understanding or assumptions below is wrong, and why?","Question 2: (If there is a disagreement) What specifically is the practical implication, if any?",902
What is the extra value of the body of Christ in the Eucharist when someone is already full of the Holy Spirit?,Christianity_7,"So how did the Eucharist become the center of faith, according to the Catholic Church, if one is full of the Holy Spirit (Ephesians 1:13)?",How do the Holy Spirit and the Eucharist relate to each other?,0
Is it allowed to do bad things for a good reason?,Christianity_8,"Generally speaking, doing know sins for a good reason is allowed?","But, if you do this in order to protect him from talking to bad people online, is it allowed?",293
What are the sources concerning the deaths of Peter and Paul,Christianity_9,Where do we learn that the deaths of Peter and Paul were during the Neronic persecutions of 64 - 68 AD?,What is the source of this information and is it considered valid?,0
`Art thou that prophet?` do they mean the Prophet Mohammad?,Christianity_10,"John Chapter 1, verse 21 says:  19-And this is the record of John, when the Jews sent  priests and Levites from Jerusalem to ask him, Who art thou?","21-And they asked him, What then?",72
`Art thou that prophet?` do they mean the Prophet Mohammad?,Christianity_10,"21-And they asked him, What then?",Art thou Elias?,0
`Art thou that prophet?` do they mean the Prophet Mohammad?,Christianity_10,Art thou Elias?,Art thou that prophet?,23
`Art thou that prophet?` do they mean the Prophet Mohammad?,Christianity_10,Art thou that prophet?,Is the Prophet mentioned here Mohammad?,20
`Art thou that prophet?` do they mean the Prophet Mohammad?,Christianity_10,Is the Prophet mentioned here Mohammad?,"if not, then why?",0
Why did Augustine attempt to stop Christians from walking barefoot?,Christianity_11,"So:  Did Augustine attempt to stop Christians from removing their shoes for all types of worship and ceremonies (if so, why?)?",Or was he only concerned about the more dangerous types like that done by Alypius?,0
Why did Augustine attempt to stop Christians from walking barefoot?,Christianity_11,Or was he only concerned about the more dangerous types like that done by Alypius?,Where in his writings does he address this topic?,0
Why is Ruth's child in the line of Boaz and not Mahlon?,Christianity_12,Questions:   Why was it recorded like that?,Is this the norm or the exception?,0
Why is Ruth's child in the line of Boaz and not Mahlon?,Christianity_12,Is this the norm or the exception?,Is there any other recorded incident in the Scriptures where this was done and the lineage was accorded to the deceased person?,0
Does Luke chapter 16 verses 9 through 13 warn us that there is no middle ground between serving God and serving mammon?,Christianity_13,"11  If therefore ye have not been faithful in the unrighteous mammon, who will commit to your trust the true riches?","12  And if ye have not been faithful in that which is another man's, who shall give you that which is your own?",0
Are there any verses showing God being fooled or deceived?,Christianity_14,Are there any passages in the bible (old or new) that display god as getting tricked by somebody?,Could they have lied?,120
Are there any verses showing God being fooled or deceived?,Christianity_14,Could they have lied?,Are there any examples of something like this happening?,0
"Is Hell eternal, or do some/all escape it?",Christianity_16,"who wants all men to be saved and to come to a knowledge of the truth   1 Timothy 2:4  So, is it debatable?",Are there any denominations which do not place those who rejected or never heard the gospel in hell forever?,0
"Is Hell eternal, or do some/all escape it?",Christianity_16,Are there any denominations which do not place those who rejected or never heard the gospel in hell forever?,Is it heretical to believe that some non Christians will not be in hell forever?,0
"If God is power beyond this reality, is there an infinite measurement of possibilities?",Christianity_18,"Is there an infinite scale of beauty, goodness, joy and love that is God's power?",Or do these have a fixed 'highest capacity' that God has/IS?,0
What is the message of Matthew 9:5?,Christianity_19,"When Jesus saw their faith, he said to the man, “Take heart, son; your sins are forgiven.”    3 At this, some of the teachers of the law said to themselves, “This fellow is blaspheming!”      4 Knowing their thoughts, Jesus said, “Why do you entertain evil thoughts in your hearts?","5 Which is easier: to say, ‘Your sins are forgiven,’ or to say, ‘Get up and walk’?",0
What is the message of Matthew 9:5?,Christianity_19,"5 Which is easier: to say, ‘Your sins are forgiven,’ or to say, ‘Get up and walk’?",What does  Matthew 9:5 mean?,305
What is the message of Matthew 9:5?,Christianity_19,What does  Matthew 9:5 mean?,What is the verse trying to say?,58
"What is the difference between 'Hell', 'Sheol', 'Hades' and 'Gehenna'?",Christianity_20,"Specifically, in what ways do each of these terms commonly translated as Hell differ from what the 'average person' in modern day America thinks of Hell?","Biblically, what are the differences amongst these terms?",0
"What is the difference between 'Hell', 'Sheol', 'Hades' and 'Gehenna'?",Christianity_20,"Biblically, what are the differences amongst these terms?","How is each term for a 'hell' used, and how do they differ from each other?",0
Are Lutherans comfortable with worshipping a consecrated host or do they consider it to be idolatry?,Christianity_21,Does this belief that the bread is still bread (despite also being God) prevent Lutherans from engaging in eucharistic adoration/worship out of fear of idolatry?,"If not, can you please provide some examples of situations in which Lutherans engage in such adoration?",0
Are Lutherans comfortable with worshipping a consecrated host or do they consider it to be idolatry?,Christianity_21,"If not, can you please provide some examples of situations in which Lutherans engage in such adoration?",Does it happen during the liturgy?,0
