title,source,q1,q2,sep
What does fMRI data look like after pre-processing?,CogSci_1,"Since each 3D scan consists of voxels in the brain, and voxels are cubes that have 6 values around them, then where are those 6 values?","If a voxel is a cube, does it have a single value, or 6 potentially different values on each face?",0
How does aging effect performance at maths and science?,CogSci_2,How does aging effect performance at maths and science?,mathematicians invariably doing their best work when younger?,98
Why aren't any advancements being made in physically diagnosing Bipolar and other psychiatric disorders?,CogSci_4,"For both of these situations, why can't blood tests and other physical and objective means be used to insure that neither party is in doubt?","You can't lie on a blood test or magneto encephalogram, so why not this?",0
What's the psychological concept behind mobile game design and marketing?,CogSci_5,"Very simplistic captions and feature descriptions like ""choose your weapon"",  ""kill your enemy"", ""build your empire"" Flashy graphics with colourful and glowing stuff, often exaggerated to the levels that its visually overwhelming   I am currently clueless how such marketing and design appeal to anyone?",Is it aimed at children (by eventually making their parents pay for in game purchases)?,0
What's the psychological concept behind mobile game design and marketing?,CogSci_5,Is it aimed at children (by eventually making their parents pay for in game purchases)?,"Personally for me its quite repulsive, but since every other game is following it they must be doing something right?",0
When your two eyes disagree sharply,CogSci_6,Is there a name for it?,"Is it clear why the brain handles it this way, producing a seemingly impossible object, and not some other way?",0
Convolutional Operations in the Visual Cortex,CogSci_7,"Are there situations where   the brain is unable to process what the object is, without   jittering our eyes?","Said another way, how much visual processing are we able to do without any physical movement of our eyes or head?",0
"In general, how does one resolve two competing theories in Psychology?",CogSci_8,"As an aspiring research scientist, I am curious what it takes today to resolve competing theories in Psychological science?","Moreover, why might these disputations, it seems like there are 13 of them (26 theories in total), some dating back to the 50s, still be unresolved today?",242
What is the evidence that mathematicians are more likely to have autistic traits than the rest of the population?,CogSci_9,Question: What is the population evidence[tex] around autism/autistic traits in mathematics?,"If possible, at the postgraduate level in professional mathematicians?",0
Noise ceiling estimate is lower than model prediction in RSA?,CogSci_10,"Given that the noise ceiling is supposed to estimate the performance of a ""hypothetical true model"" and be the upper bound of your prediction accuracy, how should one interpret this?",Is that reasonable?,288
Biologically plausible models for causal inference in the human brain,CogSci_11,Questions:  This leads me to a couple questions:   Are there biologically-plausible dynamical systems models that would qualify?,(Might brain network models be sufficient?,0
Biologically plausible models for causal inference in the human brain,CogSci_11,(Might brain network models be sufficient?,"Ex: [3]) Assuming such models exist, what methods may we use to perform causal inference on these dynamical systems?",0
Biologically plausible models for causal inference in the human brain,CogSci_11,"Ex: [3]) Assuming such models exist, what methods may we use to perform causal inference on these dynamical systems?",After further reflection upon comments due to Bryan Krause I think these two questions may be combined to form a single question:   Are there biologically plausible models for causal inference in the human brain?,0
Biologically plausible models for causal inference in the human brain,CogSci_11,After further reflection upon comments due to Bryan Krause I think these two questions may be combined to form a single question:   Are there biologically plausible models for causal inference in the human brain?,To clarify my first question: Brette says that models based on notions of neural coding wouldn't qualify so what are concrete examples of dynamical systems models that do?,1881
Biologically plausible models for causal inference in the human brain,CogSci_11,To clarify my first question: Brette says that models based on notions of neural coding wouldn't qualify so what are concrete examples of dynamical systems models that do?,Is coding a relevant metaphor for the brain?,651
Biologically plausible models for causal inference in the human brain,CogSci_11,Is coding a relevant metaphor for the brain?,The free-energy principle: a unified brain theory?,209
Do people always decide to do things that they believe will provide them the maximum amount of positive feelings in their conscious life?,CogSci_12,Is there any scientific study or theory which supports the following claim?,Are there any other variables that play a role in the person's decision-making?,153
Cases of psychopathy,CogSci_13,"So if 2 out of the 3 behaviors are found in one person, does that mean that he/she is certainly a psychopath?",How predictive is the MacDonald triad?,0
Cases of psychopathy,CogSci_13,How predictive is the MacDonald triad?,How treatable is psychopathy?,0
Cases of psychopathy,CogSci_13,How treatable is psychopathy?,How can one if they have three of the MacDonald triad and have been diagnosed with psychopathy to not to behave like that?,0
Cases of psychopathy,CogSci_13,How can one if they have three of the MacDonald triad and have been diagnosed with psychopathy to not to behave like that?,This 2012 question discussed the definition of psychopathy - Are there any standard tests to measure psychopathy?,0
Cases of psychopathy,CogSci_13,This 2012 question discussed the definition of psychopathy - Are there any standard tests to measure psychopathy?,And so does this 2009 question - What is the proper definition of psychopathy?,0
Is there any evidence for the distinction between undergrad and postgrad mathematics?,CogSci_14,Is there evidence for the distinction between undergraduate and postgraduate skills and studies especially from a biological or psychometric point of view?,Is the level of mathematics as done by undergraduates different from graduate students or professional mathematicians?,0
Is there any evidence for the distinction between undergrad and postgrad mathematics?,CogSci_14,Is the level of mathematics as done by undergraduates different from graduate students or professional mathematicians?,"Is technical ability such as [4] ""mathematical ability"" through arithmetic problems, which focuses only on problem solving, a distinct set of skills that has been shown to be distinct in other studies?",205
Does our consciousness die when we go to sleep or fall into a coma?,CogSci_18,How do we know we don't die when we go to sleep?,"Surely plenty have considered this question, has there been any research?",482
Does our consciousness die when we go to sleep or fall into a coma?,CogSci_18,"Surely plenty have considered this question, has there been any research?",Do we have any kind of answer to this question?,0
Are women naturally inclined to expose their skin more than men are?,CogSci_19,Here are the links to a few images serving as examples:  [website][website][website][website]How should we interpret such a difference in behavior?,Does it reflect some innate difference between the two sexes or is it simply caused by cultural factors?,0
Are women naturally inclined to expose their skin more than men are?,CogSci_19,Does it reflect some innate difference between the two sexes or is it simply caused by cultural factors?,What is the source of those cultural forces?,520
Supplementary Motor Area or Juxtapositional Lobule Cortex,CogSci_20,Where did this change originate?,Is JLC the accepted term now?,0
How does displaying existing votes to a poll influence subsequent voting behaviour?,CogSci_21,Is it true that the displayed results influence voting behaviour by subsequent respondents?,How does it influence the respondents?,0
How does displaying existing votes to a poll influence subsequent voting behaviour?,CogSci_21,How does it influence the respondents?,How strong does it influence the respondents?,0
How does displaying existing votes to a poll influence subsequent voting behaviour?,CogSci_21,How strong does it influence the respondents?,Do smart respondents resist this influence?,0
To what extent do individuals vary in their ability to mentally visualise?,CogSci_22,"Questions:   What is this ""phenomenon"" called where a person cannot mentally visualise images when they close their eyes?",Are there many people who can't see anything with closed eyes?,0
Why do we become bored of stimuli after multiple exposures to it?,CogSci_23,"Why do we become bored of songs, films, stories, jokes, food after being exposed to them or experiencing them multiple times?","Why is it when our cortex becomes adequate at predicting the outcomes of a song, film, joke it seems to be less enjoyable, is this the case?",0
Why do we become bored of stimuli after multiple exposures to it?,CogSci_23,"Why is it when our cortex becomes adequate at predicting the outcomes of a song, film, joke it seems to be less enjoyable, is this the case?",And if so what is the neuroscience behind this phenomena that stops our pleasure center being activated?,0
