title,source,q1,q2,sep
Non-EU citizen with EU Blue Card working outside EU but with address in Germany,Expat_0,"Am I correct to say that if I have an address in Germany (let's say I rent an apartment even though I don't physically live there) but am abroad, my EU Blue Card is still valid?",Do they check passport stamps or only if I had residence registered?,60
"Valid out-of-state DMV driver's license but class 7, moving from British Columbia to Washington",Expat_1,Does this only apply to a full license?,"Or does it apply to someone who is over 18, has their class 7, and has two years of driving experience?",0
How to prove you live somewhere when you live at some friend house for the National Insurance Number in UK?,Expat_2,"Got a problem : I will apply for the National Insurance Number in UK, I need to prove I live somewhere they ask me for an invoice with my name ... : / Yet I live at my friend's house ... How can I prove it then ?",Should I sleep in an hostel for a day ?,0
How can I be with my Swedish wife for the birth of our child?,Expat_3,Are there any laws or anything else we can use in our situation?,What can we do if the 90-day visa is not be approved?,151
How can I have my child born in Australia without going bankrupt?,Expat_4,"So, we can just rely on the RHCA Medicare for that, right?","Hm, that sucks, but what about travel insurance?",604
How can I have my child born in Australia without going bankrupt?,Expat_4,"Hm, that sucks, but what about travel insurance?",Does this mean that in fact I can't secure RHCA Medicare?,122
How can I have my child born in Australia without going bankrupt?,Expat_4,Does this mean that in fact I can't secure RHCA Medicare?,You mentioned conflicting information earlier?,563
How can I have my child born in Australia without going bankrupt?,Expat_4,You mentioned conflicting information earlier?,"What are my options to avoid a ~$15,000 hospital bill for care which would otherwise be free?",563
Non EU citizen living in the uk,Expat_5,Am i now allowed to apply for a permanent visa?,if so what do i need ?,0
What documents are required for the EEA family permit?,Expat_6,"I have gathered the following documents to submit with the application:   My passport (non-EU) Italian Permanent Residency permit (copy) Spouse's passport (EU national) Children's Italian ID cards (copy) Marriage Certificate (Modello B, copy of the Nigerian) Children's birth certificates Certificate of Residency from my commune (in Italian) Tenancy Agreement(dated Feb 2015-Feb 2019) showing both our names with the same address (in Italian) Utility bills showing my spouse's name with the same address (2016, 2017) Hospital bills showing my name with the same address (2017, 2018) Spouse's EU national work contract, payslips, and last 6 month's bank statements (in Italian) Few marriage photos and recent family photos (about 10) Cover letter from my spouse EU national   I would like to know if the employment details and bank statements are really necessary to add?",Are there any other things that are missing?,237
