title,source,q1,q2,sep
What is a safe juice or liquid fast?,Fitness_0,Is this true?,So what a safe way to do this?,178
What is a safe juice or liquid fast?,Fitness_0,So what a safe way to do this?,Should I stop my normal exorcize and Zumba until after the fast?,0
What is a safe juice or liquid fast?,Fitness_0,Should I stop my normal exorcize and Zumba until after the fast?,Or should I just go about my life?,0
How can you determine each running heart rate zone using data from your runs or from specifically designed workouts?,Fitness_1,What workouts can you do to determine each threshold between your heart rate zones?,Is there something similar for each heart rate threshold and what is it?,116
Is juice as healthy as the veggies it comes from?,Fitness_2,So is there anything wrong with letting her have the juice rather than fight with about eating them?,So is the juice the same?,154
Is walking a warm up?,Fitness_3,1) Is walking a warm up before brisk walking?,if not what warm up exercise we should do?,0
Is walking a warm up?,Fitness_3,if not what warm up exercise we should do?,2) Is walking a warm up before jogging?,0
Is walking a warm up?,Fitness_3,2) Is walking a warm up before jogging?,if not then what warm up exercise we should do?,0
Lifting Iron (strength training) vs pushups ( knuckle)+ body weight squats+situps,Fitness_4,Which would improve performance?,Also can they be done side by side?,0
Is there any way or need to empty your bowels before excercise?,Fitness_5,Is it normal?,Or should I reconsider my diet?,0
Is there any way or need to empty your bowels before excercise?,Fitness_5,Or should I reconsider my diet?,Does anyone else have this problem?,0
How long does it take for muscles to recover?,Fitness_6,"I do typical workout routine for every muscle group, I work out every muscle group two times a week, would it be beneficial to do 3 times a week for every muscle group or even more?",Does recovery time differs a lot for advanced lifter and beginner?,81
How long does it take for muscles to recover?,Fitness_6,Does recovery time differs a lot for advanced lifter and beginner?,Is it possible that all my muscle groups can recover as fast as 12 hours after workout?,0
Working out when tired,Fitness_8,How do you get yourself out of the trap wherein you start using tiredness as a reason (not an excuse) to skip your workouts ?,I do feel great after a workout and usually use this as motivation but is it right to be pushing yourself when you're genuinely tired ?,0
Training the legs and Muscle growth,Fitness_9,First of all why ?,I know it's because the leg muscle are the biggest muscle in the body but what's the link ?,0
Training the legs and Muscle growth,Fitness_9,I know it's because the leg muscle are the biggest muscle in the body but what's the link ?,And second question : Should I train my leg in every training to gain muscle or once a week is enough to give the boost for muscle growth ?,0
"Is the book ""Wheat Belly"" credible?",Fitness_10,Does anybody know of any studies relevant to these claims?,Does anybody have any personal experience relevant to these claims?,0
I want to get ripped but don't know where to start. HELP!,Fitness_11,A specific question i have is: How many calories should I be eating everyday for weight gain?,And does it matter if it's junk food?,0
Are situps actually harmful?,Fitness_12,"That said, has there been an supporting or opposing research on his claims?",Is there any proof other than a 1999 paper?,0
What is the most effective plan to get abs?,Fitness_13,Need to know:    Is it helpful that a certain percent of food consumption that should be protein?,What is the most effective plan to get abs?,0
Can you do circuit training every day?,Fitness_14,Is circuit training most beneficial if you do it everyday?,Should you take days off or alternate with something else to get better results?,0
How can I calculate calories burned during an activity?,Fitness_15,Is there a way to calculate how many calories I burned during an activity with some reliability?,Does it matter if I train in intervals?,0
Is there a rule of thumb for setting running goals?,Fitness_16,Is there any rule of thumb I should know of for setting goals?,"For example, each week run two minutes more or something like that?",0
Chest workouts without pull-ups or bench-presses,Fitness_17,What chest exercises are available for people who don't have access to a pull-up bar or a bench/barbell?,Are there any specific exercises that stand out as extremely good?,0
"Shoulder pain, around the cuff. Any help?",Fitness_18,What does this indicate?,Could it be squat related?,46
"Shoulder pain, around the cuff. Any help?",Fitness_18,Could it be squat related?,Nerves etc?,0
Getting in shape after age 30+,Fitness_19,"I was thinking to start working out to get a nice muscular body, but is it worth it considering I'm 32 years old already?",Is it too late?,0
Post running meal,Fitness_20,Am I mistaking?,"Should I at least eat a banana, a shake or something else?",0
Post running meal,Fitness_20,"Should I at least eat a banana, a shake or something else?",What do you recommend?,74
Zyzz body without steroids,Fitness_21,Can a shredded body like Zyzz had be attained without the use of steroids?,Actually can you get shredded at all without steroids?,0
Full body workouts and rest periods,Fitness_22,"This strikes me as not being enough to meet my goal, is this correct?","Would you recommend moving to an isolated training regimen, where I focus on one muscle group in each session?",0
Full body workouts and rest periods,Fitness_22,"Would you recommend moving to an isolated training regimen, where I focus on one muscle group in each session?","I've always wondered how you can rest isolated muscle groups whilst working others, for example... if I work my arms on Monday, then Wednesday I would need to work my shoulders without hitting my arms, but I don't see how this is possible?",0
The best protein intake to build muscles,Fitness_23,First of all: Is it all the same?,Or are there different types of protein?,0
The best protein intake to build muscles,Fitness_23,Or are there different types of protein?,Which food is better for our body to create muscles and why or is same?,241
The best protein intake to build muscles,Fitness_23,Which food is better for our body to create muscles and why or is same?,Which option is better for foods?,173
The best protein intake to build muscles,Fitness_23,Which option is better for foods?,Which of those types of protein is more helpful to build muscle?,0
Knees hurt after running a few days in a row. Injury possible?,Fitness_24,I wanted to know if this is temporary and if I should see a doctor because of this?,Should I stop running or just shorten the distances I run and start lengthening them once my legs are more used to it?,0
Excess fat around jawline and hips,Fitness_25,How can I lose the excess fat around my jawline (particularly under the chin) and around my hips?,"Is this ab exercise I do enough to get rid of the spare tire, or should I be doing different things?",0
Will calcium supplements affect my strength gain?,Fitness_26,"Will taking a supplement of something I was deficient in, in this case calcium, have any noticeable influence on my exercise results?",Will I notice any effect that would be attributed to eliminating a deficiency suddenly?,0
How to increase muscles for a pull-up,Fitness_27,What's the best way to achieve this?,"Would I be better using the assisted machine (where I can obviously do more) or using the rubber-bands to assist (where again, I can obviously do more), or should I avoid both and use the lat pull-down or supine row instead?",275
Are there exercises to help strengthen my little toe?,Fitness_28,"Is there any sort of good exercise I can do to strengthen it up so that, when I incidentally put more weight on it, it doesn't hurt as much?","My guess would be that this is something which has come up before, perhaps in dancing?",0
Lifting heavier weights with my right arm,Fitness_29,What is the consequence of doing this to the left side of my body?,I mean is there corresponding muscles that could inadvertently be toning my left side whilst working my right?,0
Lifting heavier weights with my right arm,Fitness_29,I mean is there corresponding muscles that could inadvertently be toning my left side whilst working my right?,Could that be due to more strength training on my right arm?,53
Resting muscle groups within one session,Fitness_30,"So I had a dilemma:   I wanted to keep the squat rack, since there is no guarantee that if I leave it, I'd get it back right away when I want it again I wanted to do other leg exercises (extensions, curls, calf raise), but I'd have to leave the rack   Question  Is there any measurable drawback to doing one big leg exercise, then doing upper body work for a while, and then doing legs again?",But besides that?,125
Using packing peanuts to fill a punching bag?,Fitness_31,Does anyone have cheap suggestions for boxing bag filler?,Would packing peanuts work if I packed them densely enough?,0
Importance of Rest Days,Fitness_32,Why are rest days important?,What is the rationale behind this?,138
"Question about calories, protein and energy?",Fitness_33,"If calories are a measure of energy, and protein contains more calories per gram than carbohydrates then how does Atkins work?",What is the difference between the energy provided by the 'carbs' and the 'calorie' energy that is in all food?,0
"Question about calories, protein and energy?",Fitness_33,What is the difference between the energy provided by the 'carbs' and the 'calorie' energy that is in all food?,Why does eating no carbohydrates make your body go into 'fat burning' mode for energy if everything contains calories?,0
What is the difference between 'Burning Fat' and 'Burning Calories'?,Fitness_34,What is the difference between 'Burning Fat' and 'Burning Calories'?,"To reduce my weight, how to know whether I need to burn calories or fat?",26
Sore glutes from running,Fitness_35,"General question: why would the upper glute area (piriformis, gluteus minimus, gluteus medius) get disproportionately tight and sore from running?",What do you recommend (given that I'm already doing all the stretches you recommended)?,1450
Can I still drink and train to run a marathon?,Fitness_36,Should I quit drinking for the rest of my training?,?,220
Mom Losing Her Mobility Because of her Weight Gain,Fitness_37,What can a girl in my position do?,What should I do?,0
Mom Losing Her Mobility Because of her Weight Gain,Fitness_37,What should I do?,What the heck is going on?,0
