title,source,q1,q2,sep
Which side of a house will get the most sunlight?,Gardening_0,Which side of a house will get the most sunlight?,Is this because it is dependent on location?,58
How can I revive a tree that's been stripped of bark?,Gardening_1,Is there any way to revive the tree and minimize the damage?,Should I prune off branches that appear to be mostly dead?,0
How can I revive a tree that's been stripped of bark?,Gardening_1,Should I prune off branches that appear to be mostly dead?,"Also, on the topic of preventative action: Are there products that successfully keep animals (dogs in my case) away from trees and shrubs?",0
What's the most effective way to harvest rhubarb?,Gardening_2,How should I harvest my rhubarb to encourage it to regrow quickly?,"Should I cut it off near the base, pull it up from the root, or something else?",0
What's the most effective way to harvest rhubarb?,Gardening_2,"Should I cut it off near the base, pull it up from the root, or something else?","Should I harvest it all at once, or should I leave some of the stalks in place?",0
Replanting out of control raspberries,Gardening_3,So how do I go about plucking these shoots out of the ground and transplanting?,"Any special considerations for the new row, such as ground temperature, fertilizer or spacing?",0
Replanting out of control raspberries,Gardening_3,"Any special considerations for the new row, such as ground temperature, fertilizer or spacing?",Should they be in a hill?,0
Do Pawpaws do well in common landscape settings in hardiness zones 6B?,Gardening_4,"So, is it possible to grow them productively on Long Island?","What are the soil, lighting, fertility, and watering requirements?",0
Do Pawpaws do well in common landscape settings in hardiness zones 6B?,Gardening_4,"What are the soil, lighting, fertility, and watering requirements?",How far from optimal could conditions vary while still producing fruit?,0
Have a grafted fruit tree. Want to have less of one of the fruits,Gardening_5,How aggressively can I prune the pomelo branches without killing the lemon?,Will the lemon be able to support the root/trunk of the tree if I cut back the pomelo completely?,0
"I accidentally froze my papaya seeds, how will it affect them?",Gardening_6,How will this episode affect germination?,"And if a plant does sprout from these seeds, can it be any different because of it?",0
How do I grow root vegetables in pots/grow-bags?,Gardening_7,"Is it possible to grow these in a pot, container or grow-bag, or do they need too much depth for this?","If it is possible, what containers would be recommended?",0
How do I grow root vegetables in pots/grow-bags?,Gardening_7,"If it is possible, what containers would be recommended?",I assume deep pots - but would those get enough drainage?,0
How often should I fertilize my lawn?,Gardening_8,How often should I fertilize my lawn?,Should I follow a certain schedule?,0
