title,source,q1,q2,sep
Is there any way to help color blind people feel the true color like normal people?,Health_0,But can I be cured?,"Or if not, is it possible for me to have a imagine of my blinded color?",0
How long does it take to die from drowning?,Health_1,A few hours later?,Is that plausible (realistic)?,0
recovery expectations/timeline for ankle-joint osteosynthesis removal,Health_2,Does it make sense to remove considering it is there for 10 years?,Can one expect her walking and travelling in a month or few?,0
Why I am lossing memory if I work hard?,Health_3,Will it be common to have such memory loss or else will it cause permanent loss?,Is there a way to avoid such memory loss?,84
What's important when getting an artificial sunlight lamp?,Health_4,Image from Wikipedia and is licensed under the Creative Commons Attribution-Share Alike 4.0 International license  What's know about how they can be used the best way?,Do we have knowledge that some lamps are better than others?,0
What is the proper time to eat Vitamin B2 and B6?,Health_5,Does this apply to  Vitamin B2 and B6?,Is it better to eat at other time than near dinner?,141
What is the proper time to eat Vitamin B2 and B6?,Health_5,Is it better to eat at other time than near dinner?,"If I am not allowed to eat them near dinner, what time is second best to eat ?",0
What is the proper time to eat Vitamin B2 and B6?,Health_5,"If I am not allowed to eat them near dinner, what time is second best to eat ?","(Morning, Noon, Afternoon, Dusk, Night, MidNight ?",0
Do pharmaceuticals which increase dopamine and norepinephrine levels in the brain significantly increase histamine levels?,Health_6,"Q 1: If an individual has problems with high histamine levels related to frequent stress response activation and subsequent cortisol spikes, would medications such as adderall and other stimulants greatly exacerbate histamine related physiological imbalances?","Q 2: If, as I suspect, stimulant medications do have too much of an effect on histamine levels, what alternatives are there for remedying low dopamine levels and poor executive functioning due to depression and ADHD?",66
Research On Chinese Medicinal Treatment For Anxiety?,Health_7,"So, is there any study / research / literature on these Chinese treatments, relating to psychological / psychiatric treatments?",Has any proof ever been found for the body energy they call Chakra / Qi energies?,0
Will flying potentially damage my ears further?,Health_8,My Question  Is it safe for me to fly today?,Is there any chance that flying will injure me further?,0
Can Charcoal Toothpaste/Powder Whiten a Slight Fracture-Line on a Tooth?,Health_10,"However, I have a slight fractured tooth due to a chip, it looks kind of like this: And, I'm wondering:   would the charcoal product whiten this line??",or would it essentially do nothing to it??,0
Can Charcoal Toothpaste/Powder Whiten a Slight Fracture-Line on a Tooth?,Health_10,or would it essentially do nothing to it??,"Or worse, would it stain the line black?",0
Can Charcoal Toothpaste/Powder Whiten a Slight Fracture-Line on a Tooth?,Health_10,"Or worse, would it stain the line black?",How to whiten the fractured line?,0
Does research show that Metformin alleviates/mitigates Adult Acne in PCOS women?,Health_11,"Since PCOS can be one of the several causes for Adult Acne, does research show that Metformin alleviates/mitigates Adult Acne in PCOS women?",I was wondering if Metformin is not meant to help with Acne... or if... my Acne would just be worse without it?,83
How much is green tea really good against tooth decay?,Health_12,"The question has three parts really, they are:   Is green tea really good against cavity?",How much?,0
How much is green tea really good against tooth decay?,Health_12,How much?,Is it even worth mentioning?,0
How much is green tea really good against tooth decay?,Health_12,Is it even worth mentioning?,Do you have some reliable source?,0
How should I account for a blood donation while couting calories/trying to lose weight?,Health_13,How should I account for these extra calories in my day?,Should I ignore them and not record them?,0
How should I account for a blood donation while couting calories/trying to lose weight?,Health_13,Should I ignore them and not record them?,Should I record them and just accept I will eat more than usual?,0
Effects and side effects of artifical oxytocin,Health_14,"I have heard that oxytocin    improves mood drastically,  is secreted in the body during certain activities,  can be synthesized artificially,  and the artificially synthesized oxytocin can be consumed   Does consumption of artificially synthesized oxytocin cause any side effects?",Does the artificially synthesized oxytocin cause the same effects on the body as the hormone which is naturally secreted?,0
Which nuts are best to snack on for a high-fibre diet?,Health_15,Do some nuts have a higher fibre percentage than others?,Which are the best for a high-fibre diet?,0
What's the rush in the case of sudden hearing loss?,Health_16,Why the urgency to take care of sudden hearing loss?,Is it due to a concern that it will worsen to the point that it will not be curable?,0
What's the rush in the case of sudden hearing loss?,Health_16,Is it due to a concern that it will worsen to the point that it will not be curable?,after an amount of time?,58
What's the rush in the case of sudden hearing loss?,Health_16,after an amount of time?,Or is it just due to the discomfort of being unable to hear for an amount of time?,0
What do the European reference intake values used for food labels actually mean?,Health_17,But what do these values actually mean?,Are all of them maximum amounts?,0
What do the European reference intake values used for food labels actually mean?,Health_17,Are all of them maximum amounts?,What about minimum amounts?,0
What do the European reference intake values used for food labels actually mean?,Health_17,What about minimum amounts?,How do I know which values I should aim for?,0
Reversal of excess fat in men by increase in testosterone,Health_18,If we increase testosterone can we reverse the extra fat storage in the body?,If yes how can we increase testosterone?,0
Cleaning to rid house of cat allergen after cat is gone,Health_19,Forgive me if this isn't the right place to ask (maybe the biology SE?,Will washing clothes and other linens in very hot water kill whatever it is in the hair and dander that causes a reaction?,126
Cleaning to rid house of cat allergen after cat is gone,Health_19,Will washing clothes and other linens in very hot water kill whatever it is in the hair and dander that causes a reaction?,"So that even if the hair is present, it won't affect her?",0
Cleaning to rid house of cat allergen after cat is gone,Health_19,"So that even if the hair is present, it won't affect her?",Is there a kind of soap or other agent I can use?,0
"What causes acne, and how do I get rid of it?",Health_20,a) What are the root cause(s) of acne?,"b) What are the most effective, scientifically-proven ways to clear it up?",0
"What causes acne, and how do I get rid of it?",Health_20,"b) What are the most effective, scientifically-proven ways to clear it up?",c) Is it possible to undo the damage of the last few years on my pockmarked forehead in order to make it smooth again?,0
Why is such a low carb intake mandated for keto-adaptation?,Health_22,Why so low?,"Even if I consumed half of my calories from carbs and glycolysis supplied half of my requirements, the other half would have to come from ketosis, no?",37
Why is such a low carb intake mandated for keto-adaptation?,Health_22,"Even if I consumed half of my calories from carbs and glycolysis supplied half of my requirements, the other half would have to come from ketosis, no?","And if I spend half of every day in ketosis, won't I (slowly) become keto-adapted?",0
Why does a yeast infection burn?,Health_23,"However, I am curious as to why a yeast infection burns and itches?",What is the bacteria doing to my body that causes such a reaction?,0
Is there any cure for keloids?,Health_24,"Apart from surgery, is there any medication like herbal treatment that could reduce the scar?","In general, is there any traditional medicine to treat keloids?",0
Is there any cure for keloids?,Health_24,"In general, is there any traditional medicine to treat keloids?",Do they work on keloids too?,51
Is their a way to train my body out of being allergic (to pollen)?,Health_25,Can I somehow get my body 'used' to pollen?,How?,0
Is immunotherapy effective against allergies?,Health_26,Are there studies that show that immunotherapy is effective?,Is it more effective for some allergies rather than others?,0
Are babies under 5th percentile mean they will be small forever?,Health_27,What does this mean?,Does this mean the baby will be small forever?,0
I'm afraid of going to dentist,Health_28,I'll brush my teeth regularly and increase calcium intake trying to prevent more damage.. Will this work?,Am I making the right decision?,117
Normal life with heavy weights?,Health_29,Gradually building up could one be able to carry evenly across there body 3 times there weight and feel normal?,What would be the upside and downsides?,0
Aphthous ulcer in pancreatic cancer,Health_30,Have anyone else face this issue before?,any useful treatment for this?,0
Do toilet bleach tablets prevent the spread of enteric diseases?,Health_31,Can adding bleach tablets to my toilets at home reduce the chance that that mist can effectively spread disease?,If so are there specific health risks to using bleach tablets that offset this benefit?,0
How does immunosuppressant affect immune system?,Health_32,Does it kill all white cells?,Does it reduce the number of white blood cells?,0
How does immunosuppressant affect immune system?,Health_32,Does it reduce the number of white blood cells?,Or does it just prevent them from doing their function?,0
How does immunosuppressant affect immune system?,Health_32,Or does it just prevent them from doing their function?,What if a virus entered my body?,0
Is diarrhea acidic?,Health_34,What causes the burning sensation when you have diarrhea?,Can farts be acidic too?,0
Normal resting heart rate and how to measure it,Health_35,"However, most sites also mention that it's normal for athletic people to have heart rates as low as 40, and that people should try to keep it below 70:     Myth: A normal heart rate is 60-100 beats per minute?","This is rather conflicting, since 76 is at around 40% of the 60-100 range, implying it even gravitates to the ""fitter"" range?",320
Normal resting heart rate and how to measure it,Health_35,"This is rather conflicting, since 76 is at around 40% of the 60-100 range, implying it even gravitates to the ""fitter"" range?","Is the ""new standard"" correct?",0
Normal resting heart rate and how to measure it,Health_35,"Is the ""new standard"" correct?","Is the in-bed resting heart rate really the ""correct"" indicator of fitness?",403
How do sterile bandages stay sterile if the packaging can absorb and release air?,Health_36,Does that semipermeable paper stuff allow molecules but not organisms?,"Edit:  This is the manufacturer's product page, and I'm referring to #512 and #5161  I called the manufacturer, and he said his manufacturer (isn't it great how that works today?",136
Insulin and cellular glucose capture,Health_37,Then why do stable Type 1 Diabetes patients have to inject less insulin in case of scheduled sport activities?,Don't muscles cells need insulin as well to tap glucose?,0
Effectiveness of Plant Based Diet to losing weight,Health_38,Are these plant based diets beneficial/required for losing weight?,If so what resources exist for creating and planning meals using those diets as a guide?,0
Does tightening abdominal muscles reduce abdominal fat?,Health_40,Is that true?,Does tightening abdominal muscles all the time not harm my body?,0
Does tightening abdominal muscles reduce abdominal fat?,Health_40,Does tightening abdominal muscles all the time not harm my body?,"If 2 is false , when and what situation I can tighten my abdominal muscles?",0
Does tightening abdominal muscles reduce abdominal fat?,Health_40,"If 2 is false , when and what situation I can tighten my abdominal muscles?",Riding motorbike Eating?,213
Does tightening abdominal muscles reduce abdominal fat?,Health_40,Riding motorbike Eating?,"(I don't think it is safe while eating, or it force me eat less?",0
Does tightening abdominal muscles reduce abdominal fat?,Health_40,"(I don't think it is safe while eating, or it force me eat less?",I also see some articles say Tighten abdominal muscles would improve the digestive function)   Are above situations fine to do such exercise?,0
TReatment for open blisters,Health_41,What to do?,Any alternatives?,1257
TReatment for open blisters,Health_41,Any alternatives?,Is this assumption correct?,95
Preventing thrombosis during long distance travels,Health_42,Are there any other preventive measures known to reduce the risk of thrombosis during long haul flights?,"Is it worth taking one of those antithrombotic drugs (such as Fragmin), which are given in the hospital for people, who can't move?",0
