title,source,q1,q2,sep
What does a slitterman do?,History_0,"On my Great-Uncle's Naval Entry Form, it says:     Occupation upon entry: Slitterman (paper)   I found this article, which says a slitterman is:     A representative for the Travellers Aid Society    Can anyone explain this in more detail?","Specifically, what does the ""paper"" part mean?",0
Estimating gross domestic product in ancient times,History_1,Is there a way to estimate these numbers for ancient economies such as the Roman republic?,"Alternatively, is there another way to estimate the size of agriculture relative to the size of other industries?",0
What was the first broadcast television programme?,History_2,Was it The Queen's Messenger or The Man with the Flower in his Mouth?,So which was it?,125
Why was the Hexamillion wall incapable of preventing invasion?,History_3,Was it a lack of control of the surrounding ocean that prevented the wall from being successful during it's history?,Or perhaps the construction of the wall itself that allowed it to be easily breached?,0
Why was the Hexamillion wall incapable of preventing invasion?,History_3,Or perhaps the construction of the wall itself that allowed it to be easily breached?,"Maybe a series of ill-led, under strength defenders?",0
What language(s) were spoken within the Holy Roman Empire?,History_4,What language(s) were considered the primary language for the Holy Roman Empire?,Were there many different languages spoken due to the many different regions?,0
Iran and the point four program and the mutual defense act of 1949?,History_5,What were the US's and Iran's terms in these agreements?,What was the total amount of aid Iran recieved from the US during this time?,0
Travel time for African Slave trade,History_6,What was the average travel time for African slaves being moved from the interior of Africa to the coast for export?,"Also, how long did they tend to wait on the coast until they were exported?",0
What events led to the fall of the Zhou Dynasty during the Warring States period?,History_7,"The title above is fairly broad, so more specifically, what specific events led to the Warring States period experienced towards the end of the Western Zhou Dynasty in ancient China?","As the lineage and vassal systems are broad answers to this question, what specifically about them contributed to this period in the otherwise illustrious and steadfast Zhou Dynasty?",0
Until what time was the Ancient Roman calendar era used?,History_8,"Until what time was the Ancient Roman calendar era, based on the founding of Rome, used?",Or what was the latest historical event that was mentioned in chronicles with an Ab Urbe Condita year?,0
Is there any proof that Robin Hood existed?,History_9,Is there any written proof/documentation that Robin Hood ever existed?,Did he ever get arrested and got his name written in the prison books or something like that?,0
Why did Chamberlain act to appease Hitler leading up to the outbreak of World War 2?,History_10,"Given the clear provocations of Germany during this time, why did Chamberlain actively choose to appease Hitler leading up to World War 2?","Furthermore, why didn't parliament and influential advisers seek to override his decisions?",0
Where and when did Nietzsche's sister meet Hitler?,History_11,My question:  When and under what circumstances did Elisabeth Nietzsche meet Hitler?,"More generally, where could we find more examples of spoken statements by E. F-N. where she (mis)applies her brother’s thought to Hitler or to the Nazi regime more broadly?",0
How did Native Americans defend militarily?,History_12,palisades)?,Did they make use of any other inherent advantage of defense?,0
Nero and the Great Fire of Rome 64AD,History_13,I would like to ask:   What did Tacitus write exactly?,"Was he believing, that Nero was involved?",0
Nero and the Great Fire of Rome 64AD,History_13,"Was he believing, that Nero was involved?",Are there any other reasonable theories?,0
Nero and the Great Fire of Rome 64AD,History_13,Are there any other reasonable theories?,"Have some been written down by ""contemporary witnesses"" of this period?",0
"Why did physicians recommend curing the ""dancing plague"" with more dancing?",History_14,"Given that the physicians of the time gave a diagnosis of ""hot blood"", why was dancing considered a superior option to bleeding (the typical treatment for such diagnoses)?","And more importantly, if people were dying of dancing to the point of exhaustion, why did the authorities encourage more dancing?",0
"Why did physicians recommend curing the ""dancing plague"" with more dancing?",History_14,"And more importantly, if people were dying of dancing to the point of exhaustion, why did the authorities encourage more dancing?",Wouldn't that lead to more people dying?,0
Where was the pre-war (ww2) border between Poland and Germany?,History_15,Is there any data available in a public resource?,"Can anyone describe waypoints along the border in terms of modern day cities and towns, or better yet longitude and latitude data for the frontier?",0
What particular watershed events led to the War of the Roses?,History_16,What were the key events that led to the War of the Roses occurring in England during the 15th century?,Was there any particular event that was the tipping point?,0
Who were the Huns and/or Xiongnu?,History_17,Who were the Hun people who made several appearances in Eurasian history?,"Were they Finno-Ugric, Paleo-Siberean, Mongolic or Turkic?",0
Who were the Huns and/or Xiongnu?,History_17,"Were they Finno-Ugric, Paleo-Siberean, Mongolic or Turkic?","Were the Hun who attacked Roman Empire extensions of the Xiongu, the first nomadic sovereign state in Central Asia?",0
Who were the Huns and/or Xiongnu?,History_17,"Were the Hun who attacked Roman Empire extensions of the Xiongu, the first nomadic sovereign state in Central Asia?","Were the Hun a confederation of different tribes speaking different languages, or was there one specific ethnically distinct tribe who were the Hun?",0
"Why does Northern Ireland not include the counties Donegal, Monaghan and Cavan?",History_18,Did not the entire province of Ulster vote to stay in the Union?,"If so, why was it partitioned?",0
Did barracks exist in the middle ages?,History_19,Where did medieval soldiers actually train ?,Did such specialised buildings exist ?,0
Did barracks exist in the middle ages?,History_19,Did such specialised buildings exist ?,"Most peasants probably got no training at all, and nobles trained at home I suppose, but what about levy troops that did train ?",0
"Did President Kennedy really cut 100,000 government jobs during his presidency?",History_20,Is this figure accurate?,Where can I find any resources that would document the actual reductions?,0
What were the founding fathers' views on Native Americans?,History_21,What were the founding fathers' views on Native Americans?,"Did the founding fathers have a lack of respect for the natives, or were they accounted for positively in the enacting of the constitution?",0
What were the founding fathers' views on Native Americans?,History_21,"Did the founding fathers have a lack of respect for the natives, or were they accounted for positively in the enacting of the constitution?",Are there any personally written anecdotes from them showing a particular opinion?,0
Why don't/can't the different ethnolinguistic groups of people in erstwhile Yugoslavia get along with each other?,History_22,Why haven't they been able to live together as one country?,What are the reasons for their bitter and bloody feuds?,0
Why don't/can't the different ethnolinguistic groups of people in erstwhile Yugoslavia get along with each other?,History_22,What are the reasons for their bitter and bloody feuds?,Since when did these divisions exist?,0
Where are Genghis Khan's Mongols?,History_24,What about the Mongol soldiers and common people in the areas?,Were they assimilated or dissolved in any sense or do the descendants of Mongols still live in areas other than Mongol proper?,0
Why wouldn't the South make salt from seawater during the American Civil War?,History_25,Why would the South be getting its salt from across the Atlantic?,Why wouldn't they make salt from seawater in the coastal regions and ship that to the various parts of the Confederacy?,0
