title,source,q1,q2,sep
Are German Merkur or Herkules hops noble enough to sub in a Pilsener?,HomeBrewing_0,Has anyone had experience using them for their aroma?,Or using them at all?,0
Are German Merkur or Herkules hops noble enough to sub in a Pilsener?,HomeBrewing_0,Or using them at all?,"Does it sound like I might get appropriate bitterness if I left out a bittering hop and threw one of them in around 30 minutes, and the other around 5?",331
Are German Merkur or Herkules hops noble enough to sub in a Pilsener?,HomeBrewing_0,"Does it sound like I might get appropriate bitterness if I left out a bittering hop and threw one of them in around 30 minutes, and the other around 5?","And more importantly, which one should be used for each step?",0
"Brett, Pedio, Lacto. Reuse and kegging",HomeBrewing_1,If I wanted to reuse these cultures could I just throw wort on top?,The beer that goes into the kegs is gone within a month so is this really an issue?,245
"Brett, Pedio, Lacto. Reuse and kegging",HomeBrewing_1,The beer that goes into the kegs is gone within a month so is this really an issue?,Would one use a separate keg for bugged beers?,0
"Brett, Pedio, Lacto. Reuse and kegging",HomeBrewing_1,Would one use a separate keg for bugged beers?,Has anyone used the same equip for bugged beers and had issues?,0
What is the best way to flavor beer with Oak?,HomeBrewing_2,The Question:  What is the best way to add oak (chips) to a beer in order to impart the most flavor?,What say you?,0
What bourbons work well for flavoring beer?,HomeBrewing_3,Question:  What bourbons/whiskies result in a good flavor in beer?,"For anyone starting out with flavoring using bourbon, this is a question that will likely be raised along with:   Is there a difference between soaking oak in bourbon and just adding the bourbon straight into secondary?",0
What bourbons work well for flavoring beer?,HomeBrewing_3,"For anyone starting out with flavoring using bourbon, this is a question that will likely be raised along with:   Is there a difference between soaking oak in bourbon and just adding the bourbon straight into secondary?",Adding Bourbon flavor to a beer How much bourbon is the right amount?,0
What bourbons work well for flavoring beer?,HomeBrewing_3,Adding Bourbon flavor to a beer How much bourbon is the right amount?,And potentially:   What is the best way to flavor beer with Oak?,0
Brettanomyces and Bottle Conditioning,HomeBrewing_4,"When working with brettanomyces ""Brett"" should I adjust the amount of priming sugar I use?",of carbonation in the bottle?,76
"Need help accenting the ""clove"" character of my Hefes",HomeBrewing_6,Does anyone have a mash schedule they use to accent the clove character?,"And if its not too much, would you mind explaining what volumes of water you use to hit those steps?",0
"Does a malt ""late addition"" affect OG?",HomeBrewing_7,Will the late addition cause a higher SG?,Should I add more malt to kick it up?,0
"Does a malt ""late addition"" affect OG?",HomeBrewing_7,Should I add more malt to kick it up?,Or could there be something else at play?,0
Estery fruit flavors in my vanilla bourbon imperial porter,HomeBrewing_8,"Is there any hope for this beer turning out, or for those fruity flavors to disappear?",Could someone please point me in the right direction?,99
What is a protein rest?,HomeBrewing_9,What is a protein rest?,What water ratio do I use for this?,0
What is a protein rest?,HomeBrewing_9,What water ratio do I use for this?,"How do I get the mash up to 152 after this (mash in a cooler so I can't apply a heat source), just by add boiling water to it?",0
What is a protein rest?,HomeBrewing_9,"How do I get the mash up to 152 after this (mash in a cooler so I can't apply a heat source), just by add boiling water to it?",If so what should I be looking to keep left over for the sparge/mashout?,0
What is a protein rest?,HomeBrewing_9,If so what should I be looking to keep left over for the sparge/mashout?,"I am assuming the 'Sacch Rest' is same as my regular mash step, and the mashout being the sparge?",103
What is a protein rest?,HomeBrewing_9,"I am assuming the 'Sacch Rest' is same as my regular mash step, and the mashout being the sparge?",Is this not correct?,0
Kegging and less-than-keg-sized batches,HomeBrewing_10,What are the drawbacks (if any) of using a 4-gallon batch with a 5-gallon kegging system?,And what if the batch is only two gallons?,0
How to safely remove mold from corks?,HomeBrewing_11,What is a safe way to remove the mold from the corks?,Will I need to open and re-cork all of the bottles?,0
How to safely remove mold from corks?,HomeBrewing_11,Will I need to open and re-cork all of the bottles?,What can I do to prevent this in the future?,0
How to safely remove mold from corks?,HomeBrewing_11,What can I do to prevent this in the future?,Will a wax coating help?,0
How to safely remove mold from corks?,HomeBrewing_11,Will a wax coating help?,"EDIT  I've looked around online a bit, and now I have another question...   Is a moldy cork actually bad?",0
How to safely remove mold from corks?,HomeBrewing_11,"EDIT  I've looked around online a bit, and now I have another question...   Is a moldy cork actually bad?",Will filaments from the mold eventually dig in to the body of the cork deep enough to reach the mead?,0
Can carbonate reducing solution lead to off flavours?,HomeBrewing_12,"My question is, at this level Am i likely to taste the CRS?",Is there a better acid source to achieve my goal?,165
Adding strawberries to half of a batch - too much oxidation in carboy?,HomeBrewing_13,"I have another 5 gallon carboy that I can use, but am I risking significant oxidation by having half the carboy full of air?",Is there anything else I can do?,0
Adding strawberries to half of a batch - too much oxidation in carboy?,HomeBrewing_13,Is there anything else I can do?,Should I buy a couple 1 gallon growlers?,0
Adding strawberries to half of a batch - too much oxidation in carboy?,HomeBrewing_13,Should I buy a couple 1 gallon growlers?,Other options?,0
Benefits and drawbacks to different tubing types?,HomeBrewing_15,Silicon tubing has better temperature characteristics I hear?,Does it last longer?,0
Benefits and drawbacks to different tubing types?,HomeBrewing_15,Does it last longer?,Do you worry at all about impacts on the beer?,0
Benefits and drawbacks to different tubing types?,HomeBrewing_15,Do you worry at all about impacts on the beer?,Are there other better options out there?,0
Benefits and drawbacks to different tubing types?,HomeBrewing_15,Are there other better options out there?,Do you all use the clear plastic tubing or have you found a way that works better?,392
Yeast for very high gravity (1.138) stout,HomeBrewing_16,"In my case in particular, can a yeast really affect attenuation that much?","More subjectively, would you recommend another yeast for high alcohol fermentation?",0
Yeast for very high gravity (1.138) stout,HomeBrewing_16,"More subjectively, would you recommend another yeast for high alcohol fermentation?","Is this appropriate, or will I be hampering fermentation?",106
Yeast for very high gravity (1.138) stout,HomeBrewing_16,"Is this appropriate, or will I be hampering fermentation?","Lastly, should I let let the ""base yeast"" ferment until it has virtually stopped before pitching my high-alcohol-tolerance yeast, or should I pitch as it nears its theoretical tolerance limit?",0
What's the minimum safe immersion time to sanitize something with StarSan?,HomeBrewing_17,How long should I keep something immersed in StarSan/swish it around for to ensure that it's as sanitized as I could reasonably hope it'll be?,How long does StarSan take to effectively sanitize something (clean plastic or metal)?,168
Any need to stop yeast before kegging?,HomeBrewing_18,I am planning to force carbonate and was wondering: Are there was any steps I need to take to stop any active yeast before putting it in the keg and gassing it up?,Is this even something I need to worry about?,0
How to properly keep a warm kegged beer (short term),HomeBrewing_19,"So, my questions, in ""teach a man to fish"" style (and assuming there are no leaks in my system, which I believe to be true):  1) what is the phenomenon that changes how the carbonation level of the beer appears when it is at room temperature?","Now, at room temp CO2 expands I believe (?",522
How to properly keep a warm kegged beer (short term),HomeBrewing_19,"Now, at room temp CO2 expands I believe (?","), but why exactly did that result in what I observed?",0
How to properly keep a warm kegged beer (short term),HomeBrewing_19,"), but why exactly did that result in what I observed?","2) Given #1, and knowing that the beer style matters as far as how it ages, what would you target as a general rule/deadline to get it cold again?",74
How to properly keep a warm kegged beer (short term),HomeBrewing_19,"2) Given #1, and knowing that the beer style matters as far as how it ages, what would you target as a general rule/deadline to get it cold again?","3) Given #1 and #2, should I purge the keg while it is warm and sitting until it's cold again?",0
How to properly keep a warm kegged beer (short term),HomeBrewing_19,"3) Given #1 and #2, should I purge the keg while it is warm and sitting until it's cold again?","If so, why?",0
How to get rid of gas from mead?,HomeBrewing_20,"Does it mean, that the mead is still immature or will the gas leave when I put the mead in room temperature?",So what should I do?,88
How to get rid of gas from mead?,HomeBrewing_20,So what should I do?,Wait a little more or is it safe to bottle the mead now?,0
Storing a counter-flow chiller,HomeBrewing_21,I was wondering what the best way to possibly store the chiller for a couple of weeks would be so I don't get any weird growth or something inside?,Any thoughts?,0
Storing a counter-flow chiller,HomeBrewing_21,Any thoughts?,Is blowing it out good enough?,0
Storing a counter-flow chiller,HomeBrewing_21,Is blowing it out good enough?,Can I keep starsan in it and just cap the ends?,0
Storing a counter-flow chiller,HomeBrewing_21,Can I keep starsan in it and just cap the ends?,Is that bad for the copper?,0
Brew kettle ball valve straining,HomeBrewing_22,"Right now I leave a sizable amount of liquid at the bottom of the kettle, since the ball valve is off the bottom just a tad ( which turns out to be a bit of liquid in a 10 gallon kettle)...what is the best way to go about this?","Also, with the dip tube of some sort, is there a way to maybe strain some of the hot break out?",0
Brew kettle ball valve straining,HomeBrewing_22,"Also, with the dip tube of some sort, is there a way to maybe strain some of the hot break out?",Any thoughts?,68
Brew kettle ball valve straining,HomeBrewing_22,Any thoughts?,Is it worth it?,0
Yeast Starter blew out!,HomeBrewing_23,My questions are:  Did I lose too much yeast?,I'm not brewing until tomorrow morning so will there be enough reproduction of yeast cells by then to replace the lost yeast?,0
Yeast Starter blew out!,HomeBrewing_23,I'm not brewing until tomorrow morning so will there be enough reproduction of yeast cells by then to replace the lost yeast?,"Or, should I just not worry and pitch it like planned?",0
How long can you store StarSan in its concentrated form?,HomeBrewing_24,Has anybody here had to store StarSan for a long period of time (2-5 years)?,"And if so, how did it work out?",0
Fastest method of wort chilling,HomeBrewing_25,"I've heard of many different methods of chilling wort,  What is the fastest?",And what's the best cost vs speed solution?,0
Does suspended yeast contribute to high SG?,HomeBrewing_27,Is there anything that could be affecting the hydrometer reading?,Am I wrong?,136
Does suspended yeast contribute to high SG?,HomeBrewing_27,Am I wrong?,Is there something else that could contribute to an anomalously high gravity reading?,0
Worried about extent of inflation of Wyeast 4766 package,HomeBrewing_28,Should we buy a new one or do you think it is just a slowly growing yeast and it should be fine?,Did anybody else have experiences when using this yeast for mead/wine or cider?,0
Should I worry about this smell?,HomeBrewing_29,Is this due to how young it is?,Should I worry about it?,0
Carbonating a keg outside of a fridge until it is ready,HomeBrewing_30,"Given that my room temperature in the day is about 78F, but my refrigerator is 40*F, how do I set the PSI to account for the change in temperature 2 weeks from now?","Do I simply set the PSI to account for room temperature, and then change the PSI downward after I move the kegs into the colder environment?",0
Yeast Problems!,HomeBrewing_31,Can I repitch?,Or is it needing to be dumped?,0
Yeast Problems!,HomeBrewing_31,Or is it needing to be dumped?,"And if I can repitch, does it need to be transferred to a new bucket first?",0
Additional equipment for cornelius kegging,HomeBrewing_32,Here's my list so far:  Keg:    Gas Regulator:    Gas Tank (I'm sceptical about this):    Beer/Gas line and fittings:  Disconnects:    Beer Tap:    Or  (Seems quite pricey but if it's far superior then I'd get it)   Beer Line (Only needed with compensator tap?,):    Gas Line:    Washers for good measure?,0
Additional equipment for cornelius kegging,HomeBrewing_32,):    Gas Line:    Washers for good measure?,:    Does this seem like a reasonable shopping list?,0
Additional equipment for cornelius kegging,HomeBrewing_32,:    Does this seem like a reasonable shopping list?,Do I need one / more of anything?,0
When should I add campden tablets?,HomeBrewing_33,"I want to know, at what stage should I add my campden tablet(s) to remove all chlorine from the water?","Should I put the water in the bucket tonight, add the tablet(s) and then leave it 24hr, before adding the mixture, sugar and yeast?",0
When should I add campden tablets?,HomeBrewing_33,"Should I put the water in the bucket tonight, add the tablet(s) and then leave it 24hr, before adding the mixture, sugar and yeast?","Or, should I wait till tomorrow, add the sugar and mixture, then add the tablets and wait 24 hours before adding the yeast?",0
When should I add campden tablets?,HomeBrewing_33,"Or, should I wait till tomorrow, add the sugar and mixture, then add the tablets and wait 24 hours before adding the yeast?",Bonus Question: Best ways to add carbonation to my cider?,0
Best way to estimate remaining fermentable sugars?,HomeBrewing_34,"The important point is, how do you know whether that supposedly stuck beer has any fermentable sugar left?",Or maybe the mash temp was missed by a lot?,70
Best way to estimate remaining fermentable sugars?,HomeBrewing_34,Or maybe the mash temp was missed by a lot?,"Other than re-pitching and hoping for the best, is there any way to measure the simple sugars?",75
Dynamics temperature measurement,HomeBrewing_35,"In the dynamics of fermentation temperature control, how/where is the best spot to measure the temperature ?","Center, edges, 1/2 from the center ?",0
Which kind of hop should be used on a First Wort Hopped (FWH) beer?,HomeBrewing_36,Should I use Aroma or Bittering hop on my FWH?,The time between the FWH and the boiling should be taken into account or it does not matter?,0
Mash Boiler – What's a good boiler?,HomeBrewing_37,What makes a good boiler?,Where should I start?,0
Sweeting and Bottling a cider/cyser,HomeBrewing_38,How do I prevent the honey from fermenting it back down to 1.0 and still sweeten the cyser?,"If I stop the fermentation with Campden, can I still bottle carb it?",81
Kegging process and serving PSI,HomeBrewing_39,"My first question is, what PSI to serve at?",Would I then have to set the pressure back to 10 PSI to ensure the beer stays carbonated?,547
"Homebrewing Soda, Safety Concerns",HomeBrewing_40,"I boiled water with sugar ~15 minutes, and combined it in 2-liter soda bottles with cool tapwater (dangerous?",But I know microbes can really mess things up and I just wanted to ask: Could the method I used be dangerous?,215
