title,source,q1,q2,sep
How to deal with racism in shops and restaurants?,InterpersonalSkills_0,"It's a safe question, right?",How should I respond to such situations?,332
How to deal with racism in shops and restaurants?,InterpersonalSkills_0,How should I respond to such situations?,"Do I confront them, ask something like ""Have I done something that upsets you?",154
How to deal with racism in shops and restaurants?,InterpersonalSkills_0,"Do I confront them, ask something like ""Have I done something that upsets you?","Do I just give up, grin and bear it, the way my ancestors did for generations?",35
How to deal with racism in shops and restaurants?,InterpersonalSkills_0,"Do I just give up, grin and bear it, the way my ancestors did for generations?",Do I have other options available to me?,0
How to deal with avoiding someone I don't like,InterpersonalSkills_1,Is this the correct approach?,Or should I try to tell him that I am avoiding him or break it to him some other way that I do not enjoy his company?,0
How can I communicate that failure to follow through on commitments bothers me?,InterpersonalSkills_2,"So, why am I interested in inviting him in the first place?",How can I communicate to my roommate that his repeated failure to follow through on commitments is bothering me?,235
Joining an existing group of friends,InterpersonalSkills_3,"What can I do to make the rest of the group of friends more at ease with me, and possibly accept me into their group?","More specifically, what should I do so that they would invite me to meet-ups?",0
How can I notice if someone is speaking with sarcasm or irony?,InterpersonalSkills_5,"Specifically for the latter, as it's a very thin line between seriousness and joking (and the meaning of sarcasm and irony is also not always well-defined), how should I be aware of someone using irony and/or sarcasm?","If I'm not wrong, then how can I ""adapt"" this reflex?",80
How can I notice if someone is speaking with sarcasm or irony?,InterpersonalSkills_5,"If I'm not wrong, then how can I ""adapt"" this reflex?","If I'm wrong, then what should I consider?",0
How to ask cashier out for date,InterpersonalSkills_6,"My question is how I can ask for her number, or ask her out for coffee while she is only sitting at the checkout?",Or even worse if I read the signs wrong and she rejects me?,156
When should I use Mrs. or Ms. in emails?,InterpersonalSkills_7,"When I am addressing a woman, I may not always know their marital status and don't know whether to use ""Mrs."" or ""Ms.""  Assuming I have no way of knowing this person's marital status, should I use ""Mrs."" or ""Ms.""?",Or is it a best practice to use neither?,0
What to do when meeting an online friend in real life for the first time?,InterpersonalSkills_9,Is there a certain way I should act/behave with her when we first see each other?,Are there things I should do during her stay?,0
What is the politest way to follow up on an ignored email?,InterpersonalSkills_10,"When I need an answer, how should I follow up?",Is this too passive aggressive?,177
"When is it more suitable to say ""no problem"" versus ""you're welcome""?",InterpersonalSkills_11,"In terms of a societal standpoint, are there people out there who prefer one of the two answers?",When is it best to say one answer over the other?,0
"When is it more suitable to say ""no problem"" versus ""you're welcome""?",InterpersonalSkills_11,When is it best to say one answer over the other?,Or is it just likable using both terms - or does the terms go better with certain situations?,0
Managing a bad temper in close relationships,InterpersonalSkills_12,What can I do to help circumvent or prevent my anger building to a point I lose my temper and say things I regret?,What skills can I use to exit the discussion gracefully to find space to calm?,0
"How to continue a friendship, which was lost years ago",InterpersonalSkills_13,What should be the first step I have to take?,Calling or messaging?,0
"How to continue a friendship, which was lost years ago",InterpersonalSkills_13,Calling or messaging?,Also how to handle the situation?,0
What to talk about with a person you meet through a mutual friend on the bus?,InterpersonalSkills_14,What to do in such situation?,What to talk about?,0
How to converse about a topic you don't like or know about?,InterpersonalSkills_15,They constantly ask me if I watched a certain movie or am caught up on a particular show?,"My question is, how should I handle myself in these situations - and how can I prevent future situations like these?",278
Help my mother to understand my choice when it comes to having children,InterpersonalSkills_16,"So my question is: How can I get my mother to support our choice, even if she does not agree with it?",Note : this question is close to the question How can I tell people that my girlfriend and I don't want children of our own?,49
How do I make friends with service staff at restaurants/bars?,InterpersonalSkills_17,My problem is how do I go about inviting them to hang out outside of their workplace?,"At what point/time in the relationship do things reach the ""next level""?",0
How to rebuff probing questions when introducing my girlfriend to acquaintances as a friend?,InterpersonalSkills_20,"How do I gracefully indicate that while I respect them, they are not our parents and really have no business having to know the details of where and how we met and how we know each other, or have a problem with how much time I spend with D?","In general as well, when I don't want to go into the whole 'D is my girlfriend' and have to deal with potential homophobia or shocked faces, how do I get people to be satisfied with 'I'm a friend of D's' and not have to answer detailed questions of how and why?",0
Politely ask friend to turn down car radio,InterpersonalSkills_22,"Is that the best route, or should I ask him to do it?",Any ideas?,0
How do you deal with someone who always has to one up everyone?,InterpersonalSkills_23,Have you ever met one of those people who's been everywhere and done everything and doesn't know anyone who hasn't?,"Like no matter what you have to say they have to tell a bigger, better, and often longer story?",0
How do you deal with someone who always has to one up everyone?,InterpersonalSkills_23,"Like no matter what you have to say they have to tell a bigger, better, and often longer story?","What's an appropriate way to get this kind of person to settle down, without shutting them down completely?",330
How can I ask all my classmates to do as I want to do?,InterpersonalSkills_24,My question is: How can I ask all my classmates to come with me and  ask our principal to change the time table?,How can I determine which other classmates will join me?,0
What is the etiquette for asking whether someone has a special diet,InterpersonalSkills_25,Is there an etiquette for asking if there are certain things a person does not want or cannot eat?,"If I cook for a group of people, is it on them to tell me about it, or do I ask them?",0
What is the etiquette for asking whether someone has a special diet,InterpersonalSkills_25,"If I cook for a group of people, is it on them to tell me about it, or do I ask them?",health issues?,71
Would it be unseemly or worse to ask a Japanese acquaintance if I could name my cat after him?,InterpersonalSkills_26,The question is: would it have been intrinsically offensive to ask a Japanese to name a cat after him?,Or would it just depend on how much he liked cats?,0
What is the etiquette for asking a dog owner before I pet their dog?,InterpersonalSkills_27,"Which made me wonder, should I always ask a dog owner before I pet their dog?",Is it more polite for me to ask than for me to not?,198
What is the etiquette for asking a dog owner before I pet their dog?,InterpersonalSkills_27,Is it more polite for me to ask than for me to not?,What is the etiquette for asking a dog owner before I pet their dog?,141
What is the etiquette for asking a dog owner before I pet their dog?,InterpersonalSkills_27,What is the etiquette for asking a dog owner before I pet their dog?,"Is it required to ask, or can I just pet the dog?",0
Should I monetarily reward the person who found my phone?,InterpersonalSkills_28,Would the other person be waiting for some type of monetary retribution?,"If not, could I myself offer such reward?",0
Should I monetarily reward the person who found my phone?,InterpersonalSkills_28,"If not, could I myself offer such reward?",Would it not be considered rude?,0
How to deal with wife's ex coming to our house over finances-related issues?,InterpersonalSkills_29,"Why would an NYPD cop come all the way to near Chicago to beg his ex-girlfriend for money, and also, why in his cop uniform as well?",What is the appropriate response in this situation?,158
How to deal with wife's ex coming to our house over finances-related issues?,InterpersonalSkills_29,What is the appropriate response in this situation?,Is there even one?,0
Should I demand to be treated equally to my siblings by my relatives?,InterpersonalSkills_30, Inspired by a related question: How should I handle disagreeing with my sisters cash cow milking?,"Questions   Should I be concerned about the money of my parents and relatives as if they were somehow ""my"" money?",2783
Should I demand to be treated equally to my siblings by my relatives?,InterpersonalSkills_30,"Questions   Should I be concerned about the money of my parents and relatives as if they were somehow ""my"" money?",Should I be concerned about been treated unfairly by my parents and relatives?,0
Should I demand to be treated equally to my siblings by my relatives?,InterpersonalSkills_30,Should I be concerned about been treated unfairly by my parents and relatives?,Should I be concerned about the risk of getting the responsibility of helping them out in the long-term?,0
How can I approach my friend about why he's ignoring me?,InterpersonalSkills_31,How can I ask him if there's a reason why he's ignoring me?,"And if I do, should I try it over text or just wait until I see him in person?",0
Is it rude to ask someone where they are from originally?,InterpersonalSkills_32,"After some introduction, like where I met Alice and Eve for the first time, a dialogue between Eve and Alice ensued:     Eve: Where are you from?",But where are you from originally?,74
Is it rude to ask someone where they are from originally?,InterpersonalSkills_32,But where are you from originally?,Is there maybe a better way to phrase the question?,1127
"How to respond to ""When are you getting married""?",InterpersonalSkills_33,My question is similar to: How can I respond when someone asks me when I&#39;m going to get married to my girlfriend?,"(completed with a wink) and they ""move on"" after ruining my whole day?",357
"How to respond to ""When are you getting married""?",InterpersonalSkills_33,"(completed with a wink) and they ""move on"" after ruining my whole day?",So how can I respond in a polite way which would let the other person know that I am seriously not interested in this topic?,888
Is it rude to ask how much a new neighbour paid for their apartment?,InterpersonalSkills_34,TLDR;  Is it rude to ask how much a new neighbour paid for their apartment?,"""We'll, that's none of your damn busine--""      ""Actually never mind, they have a price list on their website""   Generally speaking, is my perspective on this reasonable?",1544
How can I correct my family's use of language related to LGBT+ issues without making them uncomfortable?,InterpersonalSkills_38,How can I correct my family's use of language related to LGBT+ issues without making them uncomfortable?,"Again my question is, how do I correct some of these language problems without making them uncomfortable talking about these issues?",1266
"I forgot my friend's birthday, how can I convince him to forgive me?",InterpersonalSkills_39,How can I convince him to forgive me?,How can I communicate with him so that he will forgive me?,1184
How to handle negative campaign about me by a colleague,InterpersonalSkills_40,Is it okay to ignore all these?,"If not, then how can I react to this silly propaganda?",0
How to handle unexpected expenses during a road trip?,InterpersonalSkills_41,How to handle such problems?,"Would it really be normal to show up before the trip with a long list of possible but highly unlikely scenarios and debate which costs should be shared and which shouldn't, and then when it happens, argue and rules-lawyer about which category it really belongs to?",396
How do I tell line jumpers that I was waiting in line?,InterpersonalSkills_43,He replied angrily:     How am I supposed to know you were in line?,"How can I convey to him that I was in line, without offending him?",106
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,So how can I be more assertive when telling her that a serious relationship is not an option?,"I fear that this situation will both hurt   me and her if it were to go further.""?",502
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,"I fear that this situation will both hurt   me and her if it were to go further.""?","Has she actually said that she wants a relationship with you, or are   you just interpreting that from other things she said/did?",16
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,"Has she actually said that she wants a relationship with you, or are   you just interpreting that from other things she said/did?","If it's the   latter, what things?",0
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,"If it's the   latter, what things?","Blah blah blah"" and ""What do you want?",166
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,"Blah blah blah"" and ""What do you want?",Or maybe I'm just assuming?,236
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,Or maybe I'm just assuming?,What does   the word beta refer to here?,59
How to tell a person who is interested in me that a relationship is not an option?,InterpersonalSkills_44,What does   the word beta refer to here?,Can you add a culture or location tag?,114
How can I ask an unfamiliar coworker to eat more quietly?,InterpersonalSkills_45,Is there anything I can do to get him to quit slurping?,"However, if this is the best solution, how would you go about it?",365
"How to accept an apology, without implying that there was no problem?",InterpersonalSkills_46,"He then apologizes and I want to accept the apology, but how?","So how should I communicate something that preferably gives the feeling to that person that I said ""It's OK"" under the previously mentioned constraints?",493
"As an outsider to Korean culture, how do I work within the age system?",InterpersonalSkills_47,"As an outsider interacting with an expatriate Korean community (and not in a context where we will be speaking Korean), how should I work within this age system?",Do I need to figure out my place in their culture?,0
"As an outsider to Korean culture, how do I work within the age system?",InterpersonalSkills_47,Do I need to figure out my place in their culture?,Are there conventional (polite) ways to ask everyone how old they are?,0
"As an outsider to Korean culture, how do I work within the age system?",InterpersonalSkills_47,Are there conventional (polite) ways to ask everyone how old they are?,Or as a Westerner am I not expected to need to worry about any of this?,0
Dementia: How to cut off useless advice to a caregiver from well meaning people?,InterpersonalSkills_48,"How can I civilly cut off discussion of these obvious points and convey what would really would be useful, which is (a) stimulating conversation about anything else but and (b) an occasional casserole because as everyone knows, I loathe cooking?",Or is (b) really out of line?,0
"What is ""holding space"" and how do I do it?",InterpersonalSkills_49,What is holding space?,Is this short summary roughly correct?,869
"What is ""holding space"" and how do I do it?",InterpersonalSkills_49,Is this short summary roughly correct?,"How can ""holding space"" best be described, without being self-contradictory?",116
"What is ""holding space"" and how do I do it?",InterpersonalSkills_49,"How can ""holding space"" best be described, without being self-contradictory?",How can I hold space?,0
"What is ""holding space"" and how do I do it?",InterpersonalSkills_49,How can I hold space?,"Speaking of validation, the article makes it painfully obvious that validation is important,     Validation, validation, val-i-da-tion   What kinds of things can I say to someone that will achieve the multifaceted goal of keeping the focus on the person I am holding space for, and simultaneously validate their feelings, but without encouraging negative, self-deprecating thoughts?",920
"What is ""holding space"" and how do I do it?",InterpersonalSkills_49,"Speaking of validation, the article makes it painfully obvious that validation is important,     Validation, validation, val-i-da-tion   What kinds of things can I say to someone that will achieve the multifaceted goal of keeping the focus on the person I am holding space for, and simultaneously validate their feelings, but without encouraging negative, self-deprecating thoughts?","What if they happen to have low self-esteem, does this change things?",0
How to mend relations with someone I realize I have been mean to for four years?,InterpersonalSkills_50,I manifested this abrasive behavior in the form of is this taken care of?,do you have this down?,0
How can I follow up if a polite request to follow the rules has been declined?,InterpersonalSkills_51,How should I follow up if a polite request to adhere to the rules is ignored or declined?,The Question  How do I follow up?,471
How can I follow up if a polite request to follow the rules has been declined?,InterpersonalSkills_51,The Question  How do I follow up?,What do I do when a polite request to adhere to the rules has been ignored or declined?,212
How do I deal with my friend's abusive partner who I've cut contact with?,InterpersonalSkills_52,How do I hang out with her now?,How do I still be her friend and around her?,0
How do I deal with my friend's abusive partner who I've cut contact with?,InterpersonalSkills_52,How do I still be her friend and around her?,How do I hang out with her?,351
Etiquette for a person who has already queued once,InterpersonalSkills_53,"Worse still, as my ticket was being printed and my change counted we shouted at each other in an angry exchange where I argued that she had asked a question, and had been disappointed with the answer, so why did she ask the question if she felt entitled to go first?",What is the correct etiquette regarding re-queuing for the first in line?,152
How to deal with someone attempting to “push buttons” and pick fights during casual social gatherings?,InterpersonalSkills_55,"“Oh, I don’t remember you… But we met a few years ago?”   And I reply:     “Yes…”   And he says again:     “Well, I don’t remember you… But you remember me right?","So when all is said and done, could there have been a way to politely get this guy to stop being a jerk at this event?",1366
How to deal with someone attempting to “push buttons” and pick fights during casual social gatherings?,InterpersonalSkills_55,"So when all is said and done, could there have been a way to politely get this guy to stop being a jerk at this event?",How would it be possible to stop someone like this without making a scene?,0
How to deal with someone attempting to “push buttons” and pick fights during casual social gatherings?,InterpersonalSkills_55,How would it be possible to stop someone like this without making a scene?,"Is the solution as simple as a, “Hey… Let’s talk…” followed by leading said person to a quiet place—even outside of the venue—to confront them?",0
How to handle a partner trying to control whom I follow on instagram?,InterpersonalSkills_56,How could I tell her that this sort of request is unwarranted in a healthy relationship and make her understand that she can trust me?,"Or otherwise, make sure that if she has any fears, she should mention them right away instead of scape-goating them on such demands ?",0
Is a senior prohibited from asking for help from a junior level employee?,InterpersonalSkills_59,Questions   Is it very serious for a senior programmer to ask a junior level for help because I do not know a technique or library?,Does my boss have a hidden message in this?,0
Is a senior prohibited from asking for help from a junior level employee?,InterpersonalSkills_59,Does my boss have a hidden message in this?,Is it American culture to not let a senior ask a junior for help?,0
Relationship with alcoholic cross country?,InterpersonalSkills_60,What are the best things I can do to support my friend dealing with alcoholism cross country?,"In response to comments about this being to broad, what are conversation topics and communication strategies that will make my friend feel supported?",0
How do I tactfully refuse to donate money?,InterpersonalSkills_61,"At a family dinner, my snippy uncle ""reminded"" me:     Have you donated to my church's charity yet?",So how can I refuse without offending him?,167
How do I tactfully refuse to donate money?,InterpersonalSkills_61,So how can I refuse without offending him?,[Uncle:]  You don't want to help our church help homeless and poor locals?,98
How do I tactfully refuse to donate money?,InterpersonalSkills_61,[Uncle:]  You don't want to help our church help homeless and poor locals?,[I:] Can we discuss this after our meal?,69
How to deal with someone accidentally spitting in my food while dining out,InterpersonalSkills_62,How can I handle this?,What options can I possibly have besides saying I feel full?,0
How to deal with someone accidentally spitting in my food while dining out,InterpersonalSkills_62,What options can I possibly have besides saying I feel full?,Is there any way to bring up the fact she spits while she talks sometimes?,0
Do I say 'You're Welcome' to a thank you message that would normally not require an answer?,InterpersonalSkills_63,Question  Should I answer with a you're welcome?,Or do I not because the message would normally not require an answer?,0
Do I say 'You're Welcome' to a thank you message that would normally not require an answer?,InterpersonalSkills_63,Or do I not because the message would normally not require an answer?,Would it be rude to not send a message back?,0
What does one do at a dance without a date?,InterpersonalSkills_64,"Connected to my previous question, what do you do at a dance where you know very few of the participants and you have no date?","Instead of hanging out by myself and being sad in the corner by the DJ, what could I have done to be more socially active and enjoyable?",400
A casual acquaintance keeps offering me gum,InterpersonalSkills_65,"Either way it is kind of awkward, should I try and find out why?",If so how do I approach the conversation?,0
Offering Payment for a Favour,InterpersonalSkills_66,"In the United Kingdom or Ireland, when is it appropriate to offer payment to a friend who has done you a favour?",How do you approach the issue of paying them for their petrol (gas) without: 1. insulting them by devaluing their good intentions and friendship 2. taking advantage of their generosity and friendship by not offering?,77
How does one show respect when others pray?,InterpersonalSkills_68,"But how does this work in a ""neutral"" setting such as a restaurant or public picnic?","Should you show the same restraint/silence as in the ""guest"" situation, or is it okay to begin to eat your own meal, or even carry on a conversation with ""third parties"" that might be with you?",0
When should I pay for dinner or drinks?,InterpersonalSkills_69,When should I offer to pick up the tab or check?,How can I tell if someone else plans on picking up the check?,0
When should I pay for dinner or drinks?,InterpersonalSkills_69,How can I tell if someone else plans on picking up the check?,"If they offer, should I counter offer?",0
"How to politely say, ""I know, right?""",InterpersonalSkills_71,How should I reply?,Can you use it for information you already know?,196
How can I learn to be a good active listener?,InterpersonalSkills_72,What does this mean?,"If people don't think that I'm a good listener, is this something I can develop?",0
How can I learn to be a good active listener?,InterpersonalSkills_72,"If people don't think that I'm a good listener, is this something I can develop?",What are some specific active listening skills I can learn?,0
Long Response Times Before Texting Back,InterpersonalSkills_73,Are my expectations too high?,Am I reading things wrong?,0
Long Response Times Before Texting Back,InterpersonalSkills_73,Am I reading things wrong?,Should I make a joke about the reply times in order to see what's up with her?,0
Long Response Times Before Texting Back,InterpersonalSkills_73,Should I make a joke about the reply times in order to see what's up with her?,Should I keep engaging in texting her and hoping she'll take the time to call me?,0
Awkwardly passing someone on a long empty road?,InterpersonalSkills_74,So how do I act to make these encounters a bit less uncomfortable?,Wave from the moment we make eye contact?,0
Awkwardly passing someone on a long empty road?,InterpersonalSkills_74,Wave from the moment we make eye contact?,Ignore them altogether as if I'm blind?,0
