title,source,q1,q2,sep
Archiving digital documents for a long term usage,LifeHacks_0,How I can be sure that we are able to read an .docx document in about 100 years?,Which format would be advisable?,211
Long-term storage of personal belongings?,LifeHacks_1,"What are some practices / what should I do to ...   prevent stuff from degrading and prevent pests from spreading / catching on (moths, silverfish, ...)?",Should I put everything in vacuum bags?,113
Long-term storage of personal belongings?,LifeHacks_1,Should I put everything in vacuum bags?,Is this enough?,0
Long-term storage of personal belongings?,LifeHacks_1,Is this enough?,Should I put my stuff in the freezer overnight just in case to kill anything and everything?,0
Long-term storage of personal belongings?,LifeHacks_1,Should I put my stuff in the freezer overnight just in case to kill anything and everything?,Should I put my stuff in an airtight box (plastic?,0
Long-term storage of personal belongings?,LifeHacks_1,Should I put my stuff in an airtight box (plastic?,metal?)?,0
Long-term storage of personal belongings?,LifeHacks_1,metal?)?,Should I fill said box with a noble gas so that no chemical reactions happen?,0
How to prevent or remove rust on the inside of a paint can?,LifeHacks_2,Is there a way to prevent this rust from forming in the paint can?,"If not, is there a way to remove rust flakes from paint?",0
Deodorizing a smelly dishwasher,LifeHacks_3,Is there something we should be putting in the dishwasher to remove the odor?,"We shouldn't have to run it every single day, should we?",0
How do I stop the collars on my collared shirts from twisting?,LifeHacks_4,Is there any way to fix or prevent this?,Does this event have to do with the material of the shirt?,0
What domestic glue to put back a phone's LCD?,LifeHacks_5,What domestic glues (not superglue as I've heard it cracks when dry) could I use to put my LCD screen back onto my phone please?,I was thinking a more glutenous glue like vinyl repair or heated glue?,0
How to prevent NiMH batteries from leaking?,LifeHacks_6,Why can this be?,I have to hit the device to get the battery to pop out; maybe the reason is purely mechanical?,214
How to prevent NiMH batteries from leaking?,LifeHacks_6,I have to hit the device to get the battery to pop out; maybe the reason is purely mechanical?,What are other reasons NiMH batteries can leak in such a scenario?,85
How to get rid of a mouse from home,LifeHacks_7,Does ultrasonic repellent work?,Do home remedies work?,29
How to fix loose wire in headphone?,LifeHacks_8,"How would you fix the issue that you get with headphones where you have to have the wire at a specific angle so that the audio does not sound like it is underwater, or even so the audio plays at all?",Or is it not possible without buying new ones?,0
Unlock a suitcase with a possible broken lock,LifeHacks_9,"Is it possible to unlock the suitcase, so that I can retrieve the items inside?","Is there some way to pull the hidden handle away from the zipper sliders, so that the sliders can be released?",43
Unlock a suitcase with a possible broken lock,LifeHacks_9,"Is there some way to pull the hidden handle away from the zipper sliders, so that the sliders can be released?",Is the lock repairable?,0
Unlock a suitcase with a possible broken lock,LifeHacks_9,Is the lock repairable?,"If not, can the suitcase be secured in some way after unlocking?",0
How to prevent creases and imprints while hanging clothing to dry to prevent ironing?,LifeHacks_11,Any ideas on that?,Is there any problem with that?,114
How to prevent creases and imprints while hanging clothing to dry to prevent ironing?,LifeHacks_11,Is there any problem with that?,"Say for example, should clothing be ironed for some other reason than removing creases?",0
How to prevent creases and imprints while hanging clothing to dry to prevent ironing?,LifeHacks_11,"Say for example, should clothing be ironed for some other reason than removing creases?",What other solutions aside from coat hangers are there?,0
How to keep laptop on your lap and still be safe?,LifeHacks_12,What would be safe way to use it ?,Will a lapdesk for laptops protect me from the laptop radiation ?,0
How to keep laptop on your lap and still be safe?,LifeHacks_12,Will a lapdesk for laptops protect me from the laptop radiation ?,Any other suggestions ?,0
How to tell a technical support call center worker that I am technically inclined?,LifeHacks_13,"I have tried many things, including:   ""I know what I'm talking about"" - is impolite, annoys them, doesn't work ""Can you skip that part?","I've already done that"" - Sometimes it works, sometimes they don't believe me, sometimes they tell me they can't(‽) Purposefully dropping hints ranging from very subtle to not subtle at all ""Shibboleet"" - response is one of ""What?",0
