title,source,q1,q2,sep
"Is there significance behind the name ""Scout"" from To Kill A Mockingbird?",Literature_0,"Is there significance behind the name ""Scout"" from To Kill A Mockingbird?","If so, what is the significance of ""Scout""?",0
Is this fictional event of a ship becoming airborne because of a storm based on a real event?,Literature_1,Is this possible?,"If so, are there records of it happening to other sailing ships, that Terry Pratchett could have possibly used as inspiration?",0
What does Nuvoletta's disappearance signify in Finnegans Wake?,Literature_2,What does the event suggest and signify?,What is the background of Nuvoletta (whom I suppose is a character in the novel) that makes such metaphor appropriate?,0
"What was ""Rip Van Winkle"" based on?",Literature_3,"Was it, in fact, based on one?","Or did Washington Irving come up with the story out of whole cloth, inspired merely by the idea and atmosphere of traditional folk tales in general?",0
"What was ""Rip Van Winkle"" based on?",Literature_3,"Or did Washington Irving come up with the story out of whole cloth, inspired merely by the idea and atmosphere of traditional folk tales in general?","Was ""Rip Van Winkle"" inspired by a particular traditional folk tale or older story?",0
"To the Lighthouse -- ""Whitening before rain""",Literature_4,"The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing brooms knocking, dresses rustling -   How do leaves ""whiten before rain""?",Is this something common to all plants?,0
"To the Lighthouse -- ""Whitening before rain""",Literature_4,Is this something common to all plants?,"Additionally, is a ""rook"" a type of raven, or what is a rook?",0
How did people know the meaning to Shakespeare's new words?,Literature_5,How did anyone know what they meant?,"I know some were portmanteaus, and some were nouns transformed into verbs, the meaning of which may have been discernible, but what about entirely new words he made up?",0
How did people know the meaning to Shakespeare's new words?,Literature_5,"I know some were portmanteaus, and some were nouns transformed into verbs, the meaning of which may have been discernible, but what about entirely new words he made up?",Did each play come with a list of words he'd invented?,0
How did people know the meaning to Shakespeare's new words?,Literature_5,Did each play come with a list of words he'd invented?,Was there a glossary attached to his works?,0
How did people know the meaning to Shakespeare's new words?,Literature_5,Was there a glossary attached to his works?,Or did he just tell the actors what they meant and let them try portray the meaning to the audience?,0
How did people know the meaning to Shakespeare's new words?,Literature_5,Or did he just tell the actors what they meant and let them try portray the meaning to the audience?,"How did this word come to mean or was discovered to mean ""thing that copies another thing"" or  ""to copy another thing""?",61
"Where did the idea of a ""true name"" come from?",Literature_6,"Where did this idea come from, originally?",Does it have a clear source?,0
Did Shakespeare consider Julius Caesar a tyrant or a martyr?,Literature_7,"What is the evidence - either from the text of the play itself, or from surrounding evidence, if any - of which of these interpretations the writer himself intended?","Or to put it another way (assuming everyone involved thought themselves in the right), from whose point of view was the play meant to be written?",239
Why do the Grayer twins switch places?,Literature_8,Have I really been here so long?,Have all those years been stolen from me?,0
Why do the Grayer twins switch places?,Literature_8,Have all those years been stolen from me?,"This seems like a mistake to me, but is there any evidence whether or not it really is (from inside or outside the book)?",403
Why do the Grayer twins switch places?,Literature_8,"This seems like a mistake to me, but is there any evidence whether or not it really is (from inside or outside the book)?","Has this been changed in another edition, has Mitchell commented on it, etc?",0
"Do I need to read all the supplementary material for The Expanse, and in what order?",Literature_9,Does it matter what order I read the non-novel material in?,Can/should I skip the non-novel material entirely?,0
Was Jonah Wizard based on any specific celebrity?,Literature_10,"Here's an example:     ""Wassup, Pierce Landing?","-The 39 Clues; Unstoppable: Flashpoint, chapter 27   Was Jonah based on any specific celebrity?",175
Why did John le Carré choose a French pseudonym?,Literature_11,But why did he choose that particular pseudonym?,"As a British intelligence officer writing about British intelligence officers, why did he decide to use a French-sounding name?",0
Why did John le Carré choose a French pseudonym?,Literature_11,"As a British intelligence officer writing about British intelligence officers, why did he decide to use a French-sounding name?","And for that matter, why that particular name - what was the significance to him of a square?",0
Is there any evidence that George Orwell read 'For whom the bell tolls'? Did Hemingway read 'Homage to Catalonia' or (later) '1984'?,Literature_13,"Hemingway was relatively favourable towards the official Communists, did this contribute to Orwell's antipathy towards him?",Did he ever read Hemingway's novel about the Spanish Civil War?,0
Is there any evidence that George Orwell read 'For whom the bell tolls'? Did Hemingway read 'Homage to Catalonia' or (later) '1984'?,Literature_13,Did he ever read Hemingway's novel about the Spanish Civil War?,"Did Hemingway read Orwell's book on the Spanish Civil War, Homage to Catalonia?",0
Is there any evidence that George Orwell read 'For whom the bell tolls'? Did Hemingway read 'Homage to Catalonia' or (later) '1984'?,Literature_13,"Did Hemingway read Orwell's book on the Spanish Civil War, Homage to Catalonia?","Did Hemingway read 1984 (obviously, after he had written For whom the bell tolls)?",0
"In Wind in the Willows, why is Mole's garden full of Italian heroes?",Literature_14,This seemed so incongruous that  I couldn't help but wonder: why are they there?,Is this some oblique political statement by the author?,0
"In ""Love,"" who is Junior's ""Good Man,"" and what does that imply about her?",Literature_15,"Why does Junior ""adopt"" Cosey and cast him into the role of her ""Good Man""?",What does this signify about her character?,0
"In ""Love,"" who is Junior's ""Good Man,"" and what does that imply about her?",Literature_15,What does this signify about her character?,"Are we meant to understand her as being insane, unstable -- or is this part of her character more thematic?",0
"In ""Love,"" who is Junior's ""Good Man,"" and what does that imply about her?",Literature_15,"Are we meant to understand her as being insane, unstable -- or is this part of her character more thematic?","What theme is being expressed here - and how does such an instant, intense, intimate imaginary connection to Cosey fit in with the rest of the book, thematically?",0
"What makes L unique in ""Love,"" and what is her significance?",Literature_16,What do we actually know about L?,"Is any justification for her uniqueness given -- do we get any sense of why she is a reliable guide and narrator, when all the other characters are wrapped up in their flaws and histories?",0
"What makes L unique in ""Love,"" and what is her significance?",Literature_16,"Is any justification for her uniqueness given -- do we get any sense of why she is a reliable guide and narrator, when all the other characters are wrapped up in their flaws and histories?",What structural or thematic role does her character fulfill in the book?,0
Is this the longest sentence by Twain?,Literature_17,"Does anyone know the ""story"" behind this?",Was Twain deliberately seeing how long he could draw out a sentence?,0
Is this the longest sentence by Twain?,Literature_17,Was Twain deliberately seeing how long he could draw out a sentence?,Are there any longer ones in any of his works?,0
Why does the former nurse create with metal?,Literature_18,"I guess it's possible that the women's life-creating powers don't relate to their former occupations, but then those don't really need to be mentioned at all, right?","But, assuming I'm right in my assumptions about the women and their former jobs, why does the nurse create with metal?",514
"What is the ""Intentional Fallacy""?",Literature_19,What exactly is the intentional fallacy?,Is the concept still used in academia?,0
Who killed this Forsaken in The Fires of Heaven?,Literature_20,"""You?",Who killed Asmodean?,57
Who killed this Forsaken in The Fires of Heaven?,Literature_20,Who killed Asmodean?,"I am pretty sure it was one of the Forsaken, but which one?",0
Who killed this Forsaken in The Fires of Heaven?,Literature_20,"I am pretty sure it was one of the Forsaken, but which one?",Demandred or Graendal or someone else?,0
How many gables are there in the four-gabled house?,Literature_21,"I do understand that there is magic in this story, so the house could conceivably be a Hogwarts sort of place with shifting architecture, but is there another explanation?",How many gables could there be in a four-gabled house?,0
How many gables are there in the four-gabled house?,Literature_21,How many gables could there be in a four-gabled house?,"Is there a possibility of a gable that isn't counted as part of a set, but is still a gable -- like a house with a peaked roof and four gables that extend from the flat part of the roof (the set of four gables), but the ends of the peaked roof might also qualify as ""gables""?",0
How many gables are there in the four-gabled house?,Literature_21,"Is there a possibility of a gable that isn't counted as part of a set, but is still a gable -- like a house with a peaked roof and four gables that extend from the flat part of the roof (the set of four gables), but the ends of the peaked roof might also qualify as ""gables""?","Take this picture as an example: are there two gables here, or four?",0
