title,source,q1,q2,sep
What is this blob found at the edge of a puddle on a forest logging road?,Outdoors_0,What could this blob be?,A mountainous jelly fish?,245
What is this blob found at the edge of a puddle on a forest logging road?,Outdoors_0,A mountainous jelly fish?,Maybe some kind of bio-chemical reaction from a few different 'ingredients' in the puddle?,0
Lake Erie / Presque Isle Water Level,Outdoors_1,How much can the height of the lake fluctuate over a year?,What time of the year is usually highest and lowest?,0
What knot is this that starts off like a taut line hitch but ends differently?,Outdoors_2,What is this knot?,Does it hold better than a taut line hitch?,0
How can I help an injured crow fledgling with a hurt leg?,Outdoors_4,"The question is, if he can't fly and if he has a limp in one leg, will he survive?","Will his family teach him how to fly, or will they abandon him for not knowing how to fly yet?",0
Were elk solely plains animals before the Europeans came?,Outdoors_5,So was there evidence of elk in the rocky mountains?,Were they really driven off of the plains?,0
Why is there no Wilderness Area within Grand Canyon National Park?,Outdoors_6,What happened?,Why is no part of the Grand Canyon declared as a Wilderness Area?,0
Is altitude tent helpful in preparation for climbing 7000-8000m mountains?,Outdoors_7,Is it possible to reduce this time by adding sleeping in Altitude tent to the preparation trainings?,Is altitude tent something worth buying?,0
Hanging food on the appalachian trail,Outdoors_8,Are there modifications that should be made to a PCT hang to prevent rodents and small animals from getting the food?,"If you are not worried about bears, but are worried about small animals, how should you hang your food?",0
How to keep socks from wicking rain off pants into boots,Outdoors_9,Is one of these a superior choice?,Are there other alternatives we should consider?,0
Can ocean/saltwater fishing gear be used for freshwater/lake fishing?,Outdoors_10,"Can his ocean fishing gear (rods, reels line mainly) be used for trout and bass fishing in lakes, streams and rivers?",IF this can be done can you make suggestions for a versatile setup to get him started fishing in NJ lakes and streams without getting into fly fishing?,142
Why does North Cascades National Park get so few visitors?,Outdoors_11,Why would North Cascades National Park receive so few visitors compared to Olympic and Mount Rainier?,Why is that?,375
What are the benefits of saving bats?,Outdoors_12,Why would they do that?,What's so important about bats that conservationists from all over the world want to save them?,121
How many days does it take to reach hiking X miles per day?,Outdoors_14,Would something similar make sense for backpacking?,"If so, what would be sensible values?",0
Minimum safe rappel rope diameters?,Outdoors_15,"9mm is considered minimum for a vertical rappel with a nylon or polyester kernmantle rope, 6mm with high strength aramid, but what if your rappel isn't vertical?",What's the minimum safe rope diameter for rappelling a slippery slope that may be 60° or less?,0
Minimum safe rappel rope diameters?,Outdoors_15,What's the minimum safe rope diameter for rappelling a slippery slope that may be 60° or less?,When is it considered safe to use ropes &lt;⌀9mm for a descent?,534
How to straighten a bent tent pole,Outdoors_16,Is there a way to straighten the pole again?,Or is it a bad idea to try straightening the pole because is would likely snap anyhow and is replacing the pole the way to go?,0
Beginners guide to fossil hunting,Outdoors_18,How would I go about doing this?,Any beginners guides?,0
What size dry bag is best for keeping and washing clothes?,Outdoors_19,"For washing clothes I think the 10L would work, but since they are close in price and weight, is it better to pick up a larger size?",Can I keep rolling it down to compress it more?,0
Cycling in Ontario — do I need to worry about permission to access logging roads?,Outdoors_21,"When cycling on logging roads in Ontario, is any permission or permit required?","If so, from whom would I obtain the permit?",0
Cycling in Ontario — do I need to worry about permission to access logging roads?,Outdoors_21,"If so, from whom would I obtain the permit?","Would a route such as this one — can I assume that roads that are on Google Maps as well as topographic maps are accessible by bicycle, or do I need to plan in advance for every non-provincial road along the route if I am allowed to go there?",58
Bag technique for washing clothes while backpacking?,Outdoors_22,Related: What size dry bag is best for keeping and washing clothes?,"Washing clothes on long hikes  After reading the first question above, I'm wondering to myself, is there an effective ""bag method"" for washing clothes while backpacking?",0
Bag technique for washing clothes while backpacking?,Outdoors_22,"Washing clothes on long hikes  After reading the first question above, I'm wondering to myself, is there an effective ""bag method"" for washing clothes while backpacking?",Is this a popular thing to do?,233
Bag technique for washing clothes while backpacking?,Outdoors_22,Is this a popular thing to do?,If so then what are some good tips for effectively cleaning your clothes using this technique?,0
water knot vs figure 8 follow through vs X for rock climbing anchor - What is easiest to untie?,Outdoors_23,"This led me to thinking, is there an even better knot for anchor webbing?",Would some sort of bowline variant be useful?,0
Abseiling on one rope: should I attach the prusik to the other one?,Outdoors_24,"So, my question is: should one connect the prusik to the same or the other strand, and why?","Also: if using two different strands, should one also tie a knot on the rope?",0
Ice Axes - Ice blade or Mix blade?,Outdoors_25,Do you recommend to get Mix blade additionally?,What are drawbacks of using Ice blade instead of Mix blade?,0
Why train at less than max intensity? Especially if not training often,Outdoors_26,"20 sec/mile slower than 10k race pace) long slow runs intervals, fartlek, hill reps etc   What doesn't seem to be explained is why bother with all that time and distance at significantly slower than your goal race pace?",Why not just run the distance you're training for as fast as you can?,0
Why train at less than max intensity? Especially if not training often,Outdoors_26,Why not just run the distance you're training for as fast as you can?,Is the idea with lower intensity that you get most of the benefit but much less injury risk (so you can train more often)?,297
Delayed muscle ache after boulder session,Outdoors_27,Therefore I am really wondering what is going on here?,So besides the general opinion that my body needs minerals like magnesium/calcium and lots of liquid what would you suggest?,0
Extra strong sunglasses for sensitive eyes,Outdoors_28,What is available?,Any suggestions?,140
What are the critical dimensions to a safe bear-bag?,Outdoors_29,"In situations where the bear-bag line is not there or it is full, what dimensions should I keep in mind to protect my goodies from bears?","For instance, do I need to keep the bag at least 8 feet off the ground and 6 feet from any climbable structure?",0
Can I sail a raft on a European river with commercial traffic?,Outdoors_30,"Has anybody here attempted something similar, or have some river experience?","Are there traffic lanes on European rivers, so it might be possible to do this if you stay close to the bank?",0
Can I sail a raft on a European river with commercial traffic?,Outdoors_30,"Are there traffic lanes on European rivers, so it might be possible to do this if you stay close to the bank?","Who would I talk to to find out whether this is a completely idiotic plan, or somehow feasible without risking your life too much?",0
What is the safest way to purify water?,Outdoors_31,Which of these is the safest?,Is there another method that's safer?,0
How should I treat poison ivy?,Outdoors_32,"If I'm struck by poison ivy, what should I do?",Is there a way to suppress the itch?,0
Do polarized sunglasses protect against snow blindness?,Outdoors_33,Will regular polarized sunglasses protect me against snow blindness?,And if not what type of glasses/goggles will protect me?,0
Keeping warm in an emergency,Outdoors_34,"What can one do in such an emergency, especially when it's so cold that there's real danger to health or even life?",But what if that's not an option?,68
Keeping warm in an emergency,Outdoors_34,But what if that's not an option?,What else can one do to keep as warm as possible?,84
What are the different methods to purify water?,Outdoors_35,What methods can I use to purify water?,"And what's the difference between those several methods (safety, duration needed, ...)?",0
How do I wash Gore-Tex clothing?,Outdoors_36,Are these safe to put in the washer and dryer?,"If not, how should I clean them?",0
How do I take care of Gore-Tex boots?,Outdoors_37,What is the best way to maintain Gore-Tex walking boots?,Do they need reproofing occasionally or is just brushing the mud off enough?,0
What are the most effective ways to start a fire in the cold?,Outdoors_38,"Considering this climate can get quite cold in the Fall &amp; Winter, what are the best strategies to starting a fire?","Assuming I have a lighter, what materials would be best to gather?",0
What are the most effective ways to start a fire in the cold?,Outdoors_38,"Assuming I have a lighter, what materials would be best to gather?","Are any types of wood structures better for this climate (tepee, log cabin, etc)?",0
"Is digging a ""cold hole"" really effective when sheltering in a snowed area?",Outdoors_39,How many degrees are we talking here ?,"Is it really recommended, or does it just waste energy ?",0
What steps should I take if someone starts sinking?,Outdoors_40,What are the steps that should be taken if someone you're hiking with starts to sink uncontrollably into say a marsh?,What are some good techniques and points that should be used to get them out safely and quickly?,0
What steps should I take if someone starts sinking?,Outdoors_40,What are some good techniques and points that should be used to get them out safely and quickly?,"Is there a type of rope that's good for this, good knots or anything like that?",168
What steps should I take if someone starts sinking?,Outdoors_40,"Is there a type of rope that's good for this, good knots or anything like that?",Things to practice?,0
What steps should I take if someone starts sinking?,Outdoors_40,Things to practice?,"Equally, what's best to do if this happens to you and you're alone?",0
Rougher treks with Vibram Fivefingers,Outdoors_41,How can I protect myself from scratches?,"Will gaiters work, or wear out underfoot without the sole gap provided by boots?",0
"What to look for in a durable, 3-season sleeping bag?",Outdoors_42,What factors should I consider when investing in a sleeping bag?,"For example:   Given that the temperature varies so much in New England, what should I look for in terms of temperature rating?",0
"What to look for in a durable, 3-season sleeping bag?",Outdoors_42,"For example:   Given that the temperature varies so much in New England, what should I look for in terms of temperature rating?",Does having a camping pad underneath the sleeping bag affect what I should look for in a sleeping bag?,0
"What to look for in a durable, 3-season sleeping bag?",Outdoors_42,Does having a camping pad underneath the sleeping bag affect what I should look for in a sleeping bag?,What type of material should I look for?,0
