title,source,q1,q2,sep
How much should you tell your children about your sorrows and joys?,Parenting_0,At what age should this be started?,What is the way to start this?,0
How much should you tell your children about your sorrows and joys?,Parenting_0,What is the way to start this?,What should and shouldn't I talk about?,0
How soon until I can take my newborn to take a walk outside?,Parenting_1,"Knowing this, how soon can I take my newborn outside, for example to take ~1 hours walk in a non-crowded park?",Any particular things to pay attention to when doing this?,0
How can a parent who is known by their child or teen not to be teetotal raise their offspring in sobriety?,Parenting_2,Can the very fact that a child knows their mother or father does occasionally have a drink prompt them to drink prematurely?,Can this make it more difficult for such a parent to talk to their child once they find out the child was drinking prematurely?,0
How can a parent who is known by their child or teen not to be teetotal raise their offspring in sobriety?,Parenting_2,Can this make it more difficult for such a parent to talk to their child once they find out the child was drinking prematurely?,"This made me think, how could such a mother talk to her child after this party?",319
How can a parent who is known by their child or teen not to be teetotal raise their offspring in sobriety?,Parenting_2,"This made me think, how could such a mother talk to her child after this party?",Fine enough?”  I suppose such a dialogue isn’t going to be any helpful…  Or should parents of children of any age be teetotal to gain credibility while expecting their children not to drink?,63
How do you prepare a toddler to sleep in a strange place (a hotel room)?,Parenting_3,Is it common for children of that age to become upset about sleeping in a strange bed?,Is there anything I can do to prepare that might make it easier on him?,0
How to deal with two 10- and 12-year-old brothers fighting?,Parenting_4,As a father how do I handle this situation without hurting any of my kids?,"How to solve the situation with the younger brother being hit by lovable, good older brother, who loses his patience with his younger brother's regular playful ness?",0
How do I deal with my baby pulling herself up in her crib?,Parenting_5,Would bumpers for the crib be safe?,What should I do?,0
Can my 18 months old boy learn from watching movies?,Parenting_6,"Before I am going further, actually, can my 18 months old boy learn from watching movies?","If it is yes, do you have any recommended movies which has good contents for my boy to learn?",0
From what age should I require the child to speak the foreign language which I want her to learn?,Parenting_7,Considering: Should I make my child respond to me in my language?,"So, from what age should I apply the tactic that ""I will reply to you only when you speak in X with me""?",347
At what age can we expect a baby to be carried in a back pack baby carrier?,Parenting_8,At what minimum age is it considered safe to put the baby in the back pack?,At that age we have no choice other than to carry him in our hands?,98
At what age can we expect a baby to be carried in a back pack baby carrier?,Parenting_8,At that age we have no choice other than to carry him in our hands?,Do we?,0
Have there ever actually been any studies proving some immunizations cause autism?,Parenting_9,   Possible Duplicate:   What are the objective arguments against immunizations for infants and children?,Have there been any?,120
Have there ever actually been any studies proving some immunizations cause autism?,Parenting_9,Have there been any?,Or have there even been any strong correlations?,0
Condoms in a care package: Parents advice,Parenting_10,"As parents, is there literature or packaging that should accompany these in the care packages?","What, from a parent's personal experience, is the best way to include condoms in a college care package?",305
Condoms in a care package: Parents advice,Parenting_10,"What, from a parent's personal experience, is the best way to include condoms in a college care package?",Instructions?,0
Condoms in a care package: Parents advice,Parenting_10,Instructions?,Put them in an envelope to avoid initial embarrassment?,0
"Is it possible to train a 3-month-old breastfed baby to sleep through the night? And if yes, how?",Parenting_11,I wonder whether it is possible to train a 3-month-old breastfed baby to sleep through the night?,"If she can't sleep the whole night without waking up because she will be hungry, then at least can we reduce the frequency of feeding?",0
"Is it possible to train a 3-month-old breastfed baby to sleep through the night? And if yes, how?",Parenting_11,"If she can't sleep the whole night without waking up because she will be hungry, then at least can we reduce the frequency of feeding?",Can we possibly train her to do that?,0
How often should the cloth diaper be changed and how to know when it is the time to change the diapers?,Parenting_12,"Infant will be on his bed, so how will I know that it is the time to change his diaper?",Do I have to wait for his crying?,0
How often should the cloth diaper be changed and how to know when it is the time to change the diapers?,Parenting_12,Do I have to wait for his crying?,Do I have to check every 15 minutes whether his diaper is wet or not?,0
How often should the cloth diaper be changed and how to know when it is the time to change the diapers?,Parenting_12,Do I have to check every 15 minutes whether his diaper is wet or not?,New question:     How to check the diaper every hour at night?,29
How often should the cloth diaper be changed and how to know when it is the time to change the diapers?,Parenting_12,New question:     How to check the diaper every hour at night?,Should I set an alarm after every hour to get up and check for wet diapers every night?,0
How often should the cloth diaper be changed and how to know when it is the time to change the diapers?,Parenting_12,Should I set an alarm after every hour to get up and check for wet diapers every night?,What is a practical solution for this?,0
My 7-year-old doesn't want to go to before-school childcare - how do I engage her with the opportunities in this situation?,Parenting_14,I get that the situation is a bit dreary - what constructive things can I give to my daughter to make the best use of the time?,My question is: My 7-year-old daughter doesn't want to go to before-school childcare and dawdles making us an hour late  - how do I engage her with the opportunities in this situation?,0
6 month old hitting her head on the floor when turning over onto her back,Parenting_15,Should I be concerned and stop her from doing so on her own?,Can she suffer a concussion from hitting her head?,0
What symptoms call for an immediate trip to the doctor?,Parenting_16,   Possible Duplicate:   How do you know when it is time to take a child to the Doctor?,Are there any other signs I should look out for?,371
How to help a child understand length of time?,Parenting_17,"Ten minutes is shorter than 3 h.” With younger children, some parents have drawn timelines for the child to illustrate, for example, how 10 min is shorter than 3 h.   And my question is, how do I illustrate that?","Yes, the hour hand moves from one number to another, but how long does it take to do that?",119
How to help a child understand length of time?,Parenting_17,"Yes, the hour hand moves from one number to another, but how long does it take to do that?",At what age will a child get a basic sense of how much time has passed or is yet to pass?,260
How to help a child understand length of time?,Parenting_17,At what age will a child get a basic sense of how much time has passed or is yet to pass?,How can parents help the child understand?,0
"What are the natural ways to increase the blood, and the amniotic acids flow to the uterus during pregnancy?",Parenting_18,"What are the natural ways to increase the blood, and the amniotic acids flow to the uterus during pregnancy?",What should be the duration and intensity of the exercises (if any)?,0
Getting out of rewards for what kid does,Parenting_19,"So, come June, he passes the final exam, he gets the Xbox and then what?",How do I convince him that he needs to continue learning?,84
Pros and cons of C section (Cesarean) delivery?,Parenting_20,Are prenatal classes worth it?,"Since I have myself chosen the C section type of delivery for my baby, I am curious to know why would this be termed ""traumatic""?",396
Pros and cons of C section (Cesarean) delivery?,Parenting_20,"Since I have myself chosen the C section type of delivery for my baby, I am curious to know why would this be termed ""traumatic""?",What can be the reasons to be traumatized by a C section?,255
Pros and cons of C section (Cesarean) delivery?,Parenting_20,What can be the reasons to be traumatized by a C section?,Do I need to be wary to some side effects of any kind?,0
How long should a 3 year old be sent to his room?,Parenting_21,So my question is: Is an entire day too long for a 3-year-old to be sent to his room?,"If so, what is a more appropriate length of time?",0
How long should a 3 year old be sent to his room?,Parenting_21,"If so, what is a more appropriate length of time?",Thoughts?,267
"A stranger's child throws a piece of garbage onto the ground, out of sight of their parents. Should I say or do anything?",Parenting_22,"In such a situation, should I do anything?",Anything else?,527
Is it appropriate for parents to cry in front of their children?,Parenting_23,"Is it harmful, or could it even be good, to cry sometimes in front of your children?",What does research say?,0
Why do toddlers hate getting their face cleaned off with a wet washcloth and is there a better way?,Parenting_24,Is there an easier way to clean a toddler's face which is just as efficient?,And why do they hate it so much?,0
Learning to propel oneself in a swing,Parenting_25,At what age do children generally learn to propel themselves in a swing?,"Is this something that they generally figure out on their own, or do parents/older siblings teach the skill?",0
Learning to propel oneself in a swing,Parenting_25,"Is this something that they generally figure out on their own, or do parents/older siblings teach the skill?",How do you teach it without personally demonstrating?,0
Making isolation not feel like a punishment,Parenting_26,What ideas do people have for isolating an extremely extroverted child without him perceiving it as a punishment?,"Put another way, how do you help an extremely extroverted child learn to enjoy playing on his own?",0
Party games for the 4-th birthday,Parenting_27,"), so that the kids are happy, and there are no casualties and property damage at the same time?",What kind of party games would you propose for this age group?,0
What would be a good kit for cardboard construction projects for a pre-teen?,Parenting_28,What would be a good selection of materials and tools to provide my daughter that would allow her to make cardboard-based construction projects safely?,What level of supervision would be required given the materials recommended?,0
How to plan/prepare for raising a child,Parenting_29,"How do I know when to feed, when to start teaching language, when to start teaching my child things in general?",How does one get to know these things?,0
How to plan/prepare for raising a child,Parenting_29,How does one get to know these things?,Are there any good factual studies?,44
How to plan/prepare for raising a child,Parenting_29,Are there any good factual studies?,Guides?,0
What house rules are appropriate for pre-teens?,Parenting_30,What house rules are appropriate for pre-teens?,And how did you arrive at these rules?,0
How to ensure that necessary things get done when time is short?,Parenting_31,"A similar problem is getting ready on time: If I tell him, to put his clothes/shoes on... and he does not do it, what measures are there to motivate him to do it in time?",So how could I motivate him to support me without using force?,0
How do my wife and I stop our son from learning to swear from us?,Parenting_32,What can my wife and I do to avoid our son picking up some of our more colorful vocabulary?,How can we mitigate the damage of any lapses?,95
How do my wife and I stop our son from learning to swear from us?,Parenting_32,How can we mitigate the damage of any lapses?,"Are there any general strategies that can demonstrate proper behavior without causing confusion along the lines of ""do what we say, not what we do""?",0
Should I be concerned about my daughter's behavior (or my wife's)? Trying to co-parent,Parenting_33,Based on what is given here should I be worried about anything?,I am just wondering what if anything can be done?,857
Is this diaper rash caused by starting on solids?,Parenting_34,"Has anyone else seen something like this, with either Earth's Best brand or just with apples or carrots in general?","If so, what did you do about it?",0
"How can I make my preschool child brush his teeth, and similar mandatory tasks?",Parenting_35,How do you deal with these mandatory tasks?,How do you come up with suitable consequences that are both immediate and reasonably linked to the task?,0
"How do you gauge if a show, movie or story may be too frightening for your child?",Parenting_36,"Since that line between ""fun scary"" and ""too scary"" varies wildly from child to child (we have a 4 year old cousin, for example, who finds the music from Thomas and Friends too scary), how do you identify where the line is for a particular child?","I'd like to   Are there cues that can be used that don't rely on the child saying ""this is too much""?",95
How concerned should I be about husband's anger display around baby?,Parenting_37,How concerned should I be?,"If husband won't seek help, is there any way he will get better, though?",1159
How concerned should I be about husband's anger display around baby?,Parenting_37,"If husband won't seek help, is there any way he will get better, though?",Can anyone offer any perspective/insight?,1065
How concerned should I be about husband's anger display around baby?,Parenting_37,Can anyone offer any perspective/insight?,Is my olnly option to end if?,0
How concerned should I be about husband's anger display around baby?,Parenting_37,Is my olnly option to end if?,Am I blame shifting?,0
Do babies want to be carried in order to develop their eyes?,Parenting_38,Since my baby wants to be 1) held 2) on its stomach (which gives it a good view) and 3) moving (changing scenery) boredom must be playing a factor here as well?,"Maybe babies, who are just developing their eyes, need to be carried in order to train their eyes?",0
Do babies want to be carried in order to develop their eyes?,Parenting_38,"Maybe babies, who are just developing their eyes, need to be carried in order to train their eyes?",Is there any research backing or disproving this?,0
Putting a one year old in the crib and shutting door,Parenting_39,"Will it hurt a one year olds development if the crib is used as a place to play with toys, turn cartoons on and shut the door as a way to keep them from under foot several times a day?",Am I wrong to feel this way?,168
5.5. month old not eating as well anymore,Parenting_40,I am just wondering if anyone else had a superstar eater turn into a ho-hum eater?,Any suggestions?,0
Are fidgets an effective tool for helping ADHD children focus?,Parenting_42,Is there scientific research that supports the utility of fidgets?,"Are some ADHD children more likely to benefit than others -- e.g., would a primarily-inattentive student be more or less helped by a fidget than a primarily-hyperactive student?",0
Is that wrong to shake a bottle with baby formula milk?,Parenting_43,"There were two reasons mentioned:   air bubbles will ""destroy"" vitamin A the bubbles will cause excessive burping    Does it make any sense?",Am I wrong?,108
"Questions about ""Peaceful Parent, Happy Kids""",Parenting_44,"I really like some of the things I've read about this approach to parenting, but I have some questions:   Does Dr. Markham actually recommend rewarding misbehavior?",Does Dr. Markham really say you should turn behavior problems into games?,331
Convincing 18-month baby to sleep in the morning - using a training clock?,Parenting_45,Has anyone used the toddler training clock in a similar case?,Is an 18-month old too young to get the clock concept?,102
Convincing 18-month baby to sleep in the morning - using a training clock?,Parenting_45,Is an 18-month old too young to get the clock concept?,Any tips on how to introduce it to him?,0
Convincing 18-month baby to sleep in the morning - using a training clock?,Parenting_45,Any tips on how to introduce it to him?,Any other tips?,0
Why would a 15-year-old just stop talking. Like 'Selective Mutism'?,Parenting_46,Could this be over this and that she's depressed and doesn't want to talk to anybody but her friend or what?,Can somebody please tell what to do about this?,44
What should parents consider when selecting a pacifier?,Parenting_47,What criteria should parents use in selecting a pacifier?,Should it be based solely on finding the one that a child will accept?,0
Can temper tantrums indicate a behavior problem?,Parenting_48,Can temper tantrums be indicative of problems that should be addressed?,"If so, how do you tell the difference between ""normal"" temper tantrums and ones that indicate a problem?",0
Why don't my twins sleep for a longer stretch of time?,Parenting_49,Is this normal?,Aren't they supposed to sleep for a stretch of 5-6 hours yet?,0
Child worse than tattling she lies,Parenting_50,Anyone have any thoughts on this?,Who can blame them?,791
When do you start increasing the amount of solids?,Parenting_51,When can I be offering her a solid food for dinner?,How much food can you offer a baby at one meal?,0
When do you start increasing the amount of solids?,Parenting_51,How much food can you offer a baby at one meal?,Should I persist for a longer period of time with the one food?,0
What are the pros and cons of using a nanny-cam?,Parenting_52,"More questions follow me, a resident of Michigan: Could such a 'hidden-camera' it be termed illegal, and could it lead to lawsuits, etc.?",Should the presence of a camera be disclosed to the nanny (employer-employee contract)?,0
How to talk to my 4.5-year-old daughter about death?,Parenting_53,What is the appropriate conversation to have if any?,How do you tell a 4.5-year-old kid about the death of her great grandma?,77
How to deal with an 11-month-old child crying during/after eating?,Parenting_54,"It's generally been food that he likes (and he may resume eating it once calmed down) - Is this probably down to teething, or could it be related to anything else?",Have other people experienced this and do you have any advice for dealing with this issue?,399
How to deal with an 11-month-old child crying during/after eating?,Parenting_54,Have other people experienced this and do you have any advice for dealing with this issue?,"The other point to note is that we were away visiting relatives on the weekend, and he's been doing this since we have come back, could this also be related to the issue?",34
Giving the baby away in New Jersey?,Parenting_55,"I am a pregnant woman: if my baby is proven mentally retarded, what's the procedure I should take to give my baby away to the state foster care?",Do I have to pay the state child support if I give my baby away?,0
How to address hemming and hawing?,Parenting_56,So how long is it normal to hem and haw at his age?,How can we differentiate between when he is honestly thinking or just stalling?,0
How to address hemming and hawing?,Parenting_56,How can we differentiate between when he is honestly thinking or just stalling?,What are some good strategies to address it?,0
What can help my son overcome his fear of ghosts and demons?,Parenting_57,"I read the questions and answers about fear of ghosts, so I thought that as movies help to scare them, what about movies helping them lose their fears?",What are some common things that can be done to help children adress their fear of ghosts and demons?,0
"Is ""hot saucing"" bad parenting?",Parenting_58,Has anyone else tried similar ideas?,Were they effective?,0
"Is ""hot saucing"" bad parenting?",Parenting_58,Were they effective?,"I understand that one technique cannot solve all problems, but what are the major pitfalls of such techniques?",0
"Is it okay to restart breastfeeding after a delay, and continue until after a child is 2 years old?",Parenting_59,Is that ok?,And also is it ok if we plan to breastfeed him for longer than 4 months?,0
Should we get her a doll?,Parenting_60,What would be the benefits of having a doll against having her making a doll of whatever she can find ?,Should we get her one ?,0
Why would my 9-week-old refuse to nurse from breast?,Parenting_61,What can the problem be?,And how do we get her to nurse from the breast again when she refuses?,0
How will a child learn to express themselves in the absence of verbal communication?,Parenting_62,I'm curious to understand - if you don't teach a child how to speak then will the child develop a new language to express itself?,"So if you play with a child, smile, laugh and take care of it well, but never talk to it then how will it learn to express itself?",296
How will a child learn to express themselves in the absence of verbal communication?,Parenting_62,"So if you play with a child, smile, laugh and take care of it well, but never talk to it then how will it learn to express itself?","Nevertheless, assuming that everything else remains the same what will the child learn in the absence of verbal communication?",150
How can I supplement my Pre-K child's education?,Parenting_64,Is this a phase most Pre-K kids go through?,Since she can't start Kindergarten until next year what kind of things can I do to give her more education that she seems to be craving?,0
How can I supplement my Pre-K child's education?,Parenting_64,Since she can't start Kindergarten until next year what kind of things can I do to give her more education that she seems to be craving?,"Likewise, what kind of schooling should I be looking into for her to excel once she is in school?",0
How can my toddler learn to stay under the blanket at night?,Parenting_65,"I've learned to stay underneath my blanket during sleep, but I have no recollection how I learned it -- can we somehow ""teach"" him, or does it only come naturally with age?",How can we keep him under the blanket?,0
Why use rice cereal as a first food?,Parenting_66,Why is it recommended or common to feed infants rice cereal as their first food?,Why would we feed our daughter a processed food over a natural alternative?,0
How long do children normally read without comprehending?,Parenting_67,Is that normal for a child just finishing his first year of school?,"If so, when should I expect him to start comprehending what he reads?",0
How long do children normally read without comprehending?,Parenting_67,"If so, when should I expect him to start comprehending what he reads?",Is there anything I can do to help?,0
"How do I get my child to eat healthier, better and more varied?",Parenting_68,"So, what should I do?",Should I talk to her friends' parents and tell them to brace themselves to host a particularly picky eater?,0
"How do I get my child to eat healthier, better and more varied?",Parenting_68,Should I talk to her friends' parents and tell them to brace themselves to host a particularly picky eater?,Should I force diversity into her weekly diet so she gets used to variety?,0
"How do I get my child to eat healthier, better and more varied?",Parenting_68,Should I force diversity into her weekly diet so she gets used to variety?,Should I talk to her friends?,0
How do I persuade my 4 year old daughter that School is Cool?,Parenting_69,What are my options?,Should I make our home boring?,0
Should I cancel child support?,Parenting_70,What are my options here?,"Should I insist she give up legal rights if I cancel it, so I can at least have a silver lining of not being legally required to deal with her more problematic outbursts?",0
Should I cancel child support?,Parenting_70,"Should I insist she give up legal rights if I cancel it, so I can at least have a silver lining of not being legally required to deal with her more problematic outbursts?",Should I just leave support in place and let her deal with her own mess?,0
"Games mentioned in ""Baby Talk"" by Sally Ward",Parenting_71,Have you heard of these?,How do you play them?,0
"Games mentioned in ""Baby Talk"" by Sally Ward",Parenting_71,How do you play them?,Clap hands Hidey peep (not peekaboo) Patacake (is that just the pattycake rhyme?,0
Breaking 5 year olds tantrums,Parenting_72,What am I supposed to do?,Has anyone else dealt with this behaviour?,75
Breaking 5 year olds tantrums,Parenting_72,Has anyone else dealt with this behaviour?,Does anyone have any advice?,0
How can I convince my parents to accept my approach on school?,Parenting_73,"My real question is: How can I get my parents to accept that I'm only trying to pass (that I will, in fact, pass), and that I'd like to spend my time doing harder/better things?",How can I get them to treat me like the age I am?,410
How can I convince my parents to accept my approach on school?,Parenting_73,How can I get them to treat me like the age I am?,How can I even start this conversation without them immediately shutting it down?,85
4-year old unconcerned about pending death of pet,Parenting_74,Is this a normal reaction?,Something to be concerned about?,0
"In what way does reading story books to babies help them (besides falling sleep), and at what age should it be started?",Parenting_75,"I would like to know that besides making the baby sleep and eat properly, are there any other long term benefits in reading story books to babies?",At what age should the process be started?,0
How to make my 8-year-old son repay for a broken item?,Parenting_76,"Should the cost of replacing said protector come from allowance for general chores or have its own dedicated (and preferably unliked) payment, such as cleaning the bathroom a few times?",Should it be handled another way entirely?,0
Why is a 7 year old always suggesting catastrophic outcomes?,Parenting_77,"What's a good way to deter ""worst case"" questions?",son: What if the car blows up?,136
