title,source,q1,q2,sep
Should my dog be able to clean out an appropriately sized Kong?,Pets_0,Does this mean that the Kong is too small for her tongue?,"Should she be able to clean out thoroughly an appropriately sized Kong, given enough time?",0
House gecko for sustainable basement insect control?,Pets_1,"Would the gecko know to seek out the warm habitat or might it just wander off, get lost &amp; potentially die?","If I keep a small supply of water &amp; mealworms (or other non-traveling bugs), will the gecko know to rely on that area for sustenance?",43
"Inactive and scared inside, rambunctious playful outside",Pets_2,Is there anything that I could possibly do to help the transition from dirty pen to loving home??,?,0
Dog continually licking thighs,Pets_3,Maybe it's itchy?,Is there anything I'm overlooking that could be wrong?,590
When can I remove my dog's bandage?,Pets_4,:(  Is it too soon to cut off the bandage for him?,Should I wait until Monday to bring him to our vet and have them examine him then?,0
GSD Female cancer when not mated?,Pets_5,Is it true?,Please tell me will she have cancer?,157
Is this kind of puppy's stool normal?,Pets_6,Is it normal that 13 days old puppy's stool is liquid and with foam (little bubbles) ?,Why?,190
Is this kind of puppy's stool normal?,Pets_6,Why?,Should I take the puppy to the vet?,0
Is this kind of puppy's stool normal?,Pets_6,Should I take the puppy to the vet?,Or is something passenger?,0
Green water after refilling dry tank with no fish,Pets_7,"What I can't figure out is, why did this happen and what do I do about it?",Could that be it?,383
Green water after refilling dry tank with no fish,Pets_7,Could that be it?,"And if so, do I just need to keep changing the water until it goes away?",0
Green water after refilling dry tank with no fish,Pets_7,"And if so, do I just need to keep changing the water until it goes away?","Also, is it safe to add fish, or should I wait until this is resolved?",0
Aquarium Salt and Pink Salt,Pets_8,Is Himalayan pink salt okay to use in fish tanks?,I have read that aquarium salt is good for conditioning water but I was curious if pink salt would do the trick as well?,0
Keep Gerbils Quiet,Pets_9,What is an appropriate way to keeping gerbils quiet?,Are there soundproof cages maybe?,103
"Maltese gasps after eating fastly, is that something to worry ?",Pets_10,Is this really a thing to worry ?,"I heard that this can be a issue with small dogs, but is there a way to deal with that ?",0
Cat pees outside of litter box while being treated for urinary tract infection,Pets_11,Is there anything we can do to encourage peeing in the box?,Should I get a shallower box so that she can easily go in it to pee?,0
Fleas in washing machine water exhaust hose and fleas in pipes,Pets_12,"For the past 3 days, I've filled it with my flea killing shampoo,diatomaceous earth, and water concoction and closed off the end of the tube with some saran wrap and a rubber band, but I still get a few when I do a wash.   Has anyone else faced this?",Any ideas on how to put the final kibosh on these last few remaining fleas?,0
Does my Betta fish look Ill?,Pets_13,Could it be fin rot?,Or am I paranoid?,0
Really large dogs in Scotland; Which breed are they?,Pets_14,Which dog breed is this and is it local to Scotland?,Would you please kindly add some links so i can study about them before trying to import one?,0
questions about leveling and positioning a 4 foot fish tank,Pets_15,Is this normal/will solve itself once there is water in the (200 liter) tank?,Or do we need extra foam to be safe?,0
questions about leveling and positioning a 4 foot fish tank,Pets_15,Or do we need extra foam to be safe?,Is doing it like shown in the photo acceptable or is there more to making sure our cabinet is stable?,191
questions about leveling and positioning a 4 foot fish tank,Pets_15,Is doing it like shown in the photo acceptable or is there more to making sure our cabinet is stable?,"will this position be meeting the requirement of ""no direct sunlight"" enough, or are we likely to have problems?",469
Cat suddenly became paralyzed,Pets_16,Should I discontinue the treatment against the vet's recommendation?,Is there any way for her to recover?,0
"In the US what are the requirements for drug manufacturers for pets, to list side effects",Pets_17,What are the actual legal requirements for pet medications?,Does the vet or the manufacture need to report this possible side effect?,0
"How can I improve my relationship with my Husky, and it's living situations",Pets_18,"But what could I be doing better to speed things up, or help our relationship as a whole?",Based on my post:  Q: How can I improve my relationship with my puppy husky?,0
"How can I improve my relationship with my Husky, and it's living situations",Pets_18,Based on my post:  Q: How can I improve my relationship with my puppy husky?,How can I improve her reckless behavior?,0
"How can I improve my relationship with my Husky, and it's living situations",Pets_18,How can I improve her reckless behavior?,How can I give her a better and more sustainable living environment?,0
Are cats aware that lilies are toxic?,Pets_19,"Now, I can't ask her to remove them (because she won't, I tried) so I was wondering if there was another way to stop them from going there?",I had these cats for years and I've never had problems with lilies before so I was wondering do cats maybe know by instinct that lilies are not good for them?,0
New puppy devours food impossibly quick,Pets_20,Is this normal for a puppy to eat so quickly?,Or is this a result of not being fed properly/normally until he was rescued?,0
Chronic low-level cyanide poisoning in dogs,Pets_21,Can you be specific about the symptoms?,to a specific limb?,94
Chronic low-level cyanide poisoning in dogs,Pets_21,to a specific limb?,"Did it come and go, or was it persistent?",0
Chronic low-level cyanide poisoning in dogs,Pets_21,"Did it come and go, or was it persistent?",Did the animal recover eventually after removing the cyanide exposure?,0
Nitrite 5 ppm why are my fish still alive,Pets_22,Has nitrite toxicity to fish been overstated?,Why are my fish still alive?,0
15 month Dashound overly demanding for walks,Pets_23,My goodness it has even started effecting me mentally I'm a nervous reck what is wrong with Her?,I give her bones to chew and she only wants the ones she can chew up in 30 minutes sorry there very expensive to buy for her to go thru that fast I've even bought the bigger harder ones she doesn't even want them all she wants is go out for walks all day if she got her way should I just stop walking her for a couple of days ???,0
What are reasons for the nitrit/NO2 peak during aquarium installation/start phase?,Pets_24,Which one(s) of these conditions (and possible others) cause the nitrit/NO2 peak?,Which one(s) have more or less influence?,0
Reverse a debeaked hen?,Pets_25,How do I reverse that?,Trim the lower beak until it is shorter than the top?,0
Reverse a debeaked hen?,Pets_25,Trim the lower beak until it is shorter than the top?,Best way to do that?,0
Reverse a debeaked hen?,Pets_25,Best way to do that?,?,0
In what ways are dogs affected by alcohol?,Pets_26,But just how bad?,Q: Is there any hard-data on how much alcohol affects a dog in what way?,722
How do I encourage my cat to jump over a baby fence,Pets_27,How do I encourage his jumping?,How do they encourage movie cats?,295
General Care of a Dog's Pads?,Pets_28,Need I be concerned?,"If so, what would I do (other than a vet trip, which I will if needed, but would rather home remedy it)?",0
General Care of a Dog's Pads?,Pets_28,"If so, what would I do (other than a vet trip, which I will if needed, but would rather home remedy it)?","How should a dog's pads be cared for, generally speaking, or do we simply leave them alone?",0
Assimilating new puppy to cats,Pets_29,Is this the best approach?,Any other ideas?,0
Space between bars of bird cage guidelines,Pets_30,"For either making or buying a bird cage, are there any standards or conventions specifying the space between bars appropriate to each species ( cockatoo, cockatiel, parakeet, finch, etc.)?","Is that common across most cages, or does it vary by bird species?",79
4 month old puppy RAN from crate to her bed in the living to pee on it after peeing outside just an hour ago. Always likes to pee on her bed. Why?,Pets_31,"I can't understand why and I'm thinking maybe she wants to ""claim"" the bed as hers but in that case shouldn't she just mark it with a little pee not the whole flow?",Why?,392
4 month old puppy RAN from crate to her bed in the living to pee on it after peeing outside just an hour ago. Always likes to pee on her bed. Why?,Pets_31,Why?,Can someone help me understand her psychology / what's going on in her mind?,0
Dog destroys everything I plant in flower pots,Pets_32,How can I stop him from de-planting all my plants out of their flower pots?,Any ideas?,0
What treats are safe for horses?,Pets_33,So the question is:  What treats are safe for horses and in what amounts?,Are there any considerations that we need to be aware of when feeding horses treats?,0
Any research on whether we should adopt a companion for the cat?,Pets_34,"Does my cat feel lonely, sad, or depressed because she does not have anyone to play or fight with?",Is there any research on the topic?,57
My cat won't stop licking himself?,Pets_35,Is there something wrong?,Should I see a vet?,0
"Medically, what does it mean when a dog smacks her lips repeatedly?",Pets_36,Does anyone know why she might be doing this?,"Or know if it is ""normal"" behavior in a very vertically-challenged dog?",0
"I'd like to adopt a cat, but I have allergies",Pets_37,Are there any species (I was adviced to adopt siberian cat) that I could live with?,Mostly once a day   Is there anything else I should consider before adopting?,131
Is okay for my dog to not eat or excrete waste while receiving Buprenex for pain relief?,Pets_38,"I have worries such as:   Is this normal, considering she is so inactive?",How long can she go without eating or using the bathroom?,0
Is okay for my dog to not eat or excrete waste while receiving Buprenex for pain relief?,Pets_38,How long can she go without eating or using the bathroom?,"I haven't seen her drink, what should I be thinking in regards to that?",0
Is okay for my dog to not eat or excrete waste while receiving Buprenex for pain relief?,Pets_38,"I haven't seen her drink, what should I be thinking in regards to that?","If she moves as if in pain (limping or hopping gingerly, walking awkwardly, bottoming out instead of supporting her weight on the bad knee) but has a normal appetite and digestive cycle, is that better than how she is now?",0
How is owning a deaf cat different from a cat who can hear?,Pets_39,Anyone own or used to own deaf cat?,"If so, what was it like?",0
How is owning a deaf cat different from a cat who can hear?,Pets_39,"If so, what was it like?",Was it lot of works compared to hearing cat?,0
How is owning a deaf cat different from a cat who can hear?,Pets_39,Was it lot of works compared to hearing cat?,What kind of signs/signals you use to communicate deaf cat?,0
"Mouse is acting strangely, what should I do?",Pets_40,How do I fix this mouse so it can go back into the wild and do mouse things?,"But this mouse seems really unlucky or prone to dying, what should I do?",257
Should I get a bigger cage for my Lovebird?,Pets_41,"so my family has had a single Lovebird for plenty of years now, but its cage is about 15"" W x 15"" L x 18"" H. It wasn't until recently that I learned that the cage I bought might be bad for them, so I wanted to ask, should I get a bigger one?","If so, what size would be recommended?",0
Why does my cat's meow have no sound?,Pets_42,Are there any cat experts that can explain this?,Why does her meows give no sound?,230
Why are dog belly buttons so different from our own?,Pets_43,"Here's a photo of one, which should make it easier to understand why we usually don't notice them:    I'm guessing that the difference between the two has something to do with the way the knot is tied, but is there a more thorough explanation?",Why are dog belly buttons so different from our own?,0
Are the cats' tail movements voluntary or not?,Pets_44,Are these movements (not only limited to the expression movements) voluntary or not?,Is that voluntary?,92
How can I decipher how aggressive my Betta is?,Pets_45,But how do you know if your betta is overly aggressive?,Is there some way to test of your betta fish is overly aggressive?,271
Bunny-sitting at home exclusively or not?,Pets_46,"When going in vacation for an extended period of time, meaning 1 or 2 weeks, would you consider leaving your bunny to a pet-boarding place?","Knowing that rabbits are vulnerable to stress, would it be safe for them?",0
How can I reduce and control bird dander?,Pets_47,What can I do to reduce the amount of bird dander?,Is there anything else I can do to control the amount of bird dander?,228
Alligator as a pet,Pets_48,But I might have children in the future and what if they find alligators so fascinating and even see baby alligators that are being sold?,"I search on google for ""How to raise an alligator"" and what do I get?",911
Alligator as a pet,Pets_48,"I search on google for ""How to raise an alligator"" and what do I get?",So what should I tell my children if they really do want an alligator and have had experience with reptiles?,393
Alligator as a pet,Pets_48,So what should I tell my children if they really do want an alligator and have had experience with reptiles?,Should I tell them that I can't get a gator for them since there isn't much I can find about raising gators?,0
Alligator as a pet,Pets_48,Should I tell them that I can't get a gator for them since there isn't much I can find about raising gators?,Or should I tell them that they can have a gator but they have to be very careful since even young gators can give someone a deadly bite?,0
Why is my dog's fur growing back so unevenly after shaving?,Pets_49,Why would hair grow normally and then all of a sudden abnormally?,Does she have cancer in her hair follicles of her legs and an early telogen phase on a part of her back or something?,0
Can WiFi be harmful for my budgerigar family?,Pets_50,Has anybody ever faced such a situation?,Is it risky?,0
ASF = Multimammate?,Pets_51,"I went over to my iHerp profile to log it, and the options available included   ASF - Adult ASF - Fuzzie ASF - Hopper ASF - Jumbo ASF - Pinks   Google tells me that ASF is an abbreviation for African Soft Furred rodent, which describes what a multimammate is, but are they the same thing?","And if so, then which size on iHerp will correspond to what I bought as a ""small"" one?",0
"Yorkshire Terrier, Long snout versus short snout?",Pets_52,"Hence my question, are there any health (or bite) issues related to a Short Snout, as opposed to a Long Snout?","Are there any other Pro's/Con's to one, as opposed to the other?",0
Can cats survive solely on dry food?,Pets_53,Is it safe to only feed a cat dry food?,Should cats have a more complete diet or not?,0
Why do some dogs turn their heads to look up at their owner?,Pets_54,"Is this genetic or trained, and if genetic, what breeds tend to do this?","What is this behavior, and what does it mean about the dog?",0
Why do some dogs turn their heads to look up at their owner?,Pets_54,"What is this behavior, and what does it mean about the dog?","Are such breeds particularly friendly, eager to please, and trainable?",0
How do you clean poop out of a long hair cat's fur?,Pets_55,What is the best way to clean up this mess?,Do I need to give her a full bath?,0
Recommendations for introducing adult cats to newly adopted adult cats,Pets_56,Is there anything different that should be done for new adult cats?,Was this a mistake?,572
Recommendations for introducing adult cats to newly adopted adult cats,Pets_56,Was this a mistake?,Does their age allow us to do the transition more quickly?,402
Recommendations for introducing adult cats to newly adopted adult cats,Pets_56,Does their age allow us to do the transition more quickly?,Or is it more likely to cause territoriality/dominance issues with the other cats?,0
Why is my turtle refusing to eat anything but dried prawns?,Pets_57,As a side note: can cooked chicken like escalope or just the normal chicken served with rice be fed to the turtle?,What do you recommend I do?,0
How do you make sure a guard Llama stays protective but is also used to your own dogs?,Pets_58,If I keep doing this will he get to used to dogs and not be as protective of the sheep?,Will he know the difference between my dog and a dog that means harm?,0
How do you make sure a guard Llama stays protective but is also used to your own dogs?,Pets_58,Will he know the difference between my dog and a dog that means harm?,How else can I get him in if I shouldn't use my dog?,362
What are shoal-fish and how many should be in a group?,Pets_59,What are shoal-fish?,"If I should not add just one, how many should I add?",0
Would this setup stress the fish?,Pets_60,"Would that be stressful or harmful to the fish, having a rival right there with no way to reach him?",But what if I got a larger tank and did the same kind of divider?,70
How long does it take for a snail to mature into an adult?,Pets_61,Maybe I should try to put them in the sump?,How fast should the snails grow / how long until they reach their full size?,0
How can botulism occur in hay and is it hazardous to my pet?,Pets_64,A recent question Why can&#39;t my rabbit lift it&#39;s head?,"When I think of Botulism I think of poorly canned food, how could it occur in hay?",66
How can botulism occur in hay and is it hazardous to my pet?,Pets_64,"When I think of Botulism I think of poorly canned food, how could it occur in hay?",What are the risks for my pet?,0
Why are my fish dying?,Pets_65,"At least one of the fish in this picture looks swollen, or is that normal?",I looked in the filter and can see lots of insects that look like black maggots inside moving around (those black things on the foam)....    Could there be a problem with the filter?,0
Why are my fish dying?,Pets_65,I looked in the filter and can see lots of insects that look like black maggots inside moving around (those black things on the foam)....    Could there be a problem with the filter?,should there be insects/life inside?,0
Why are my fish dying?,Pets_65,should there be insects/life inside?,Also is the pond too busy?,139
Why are my fish dying?,Pets_65,Also is the pond too busy?,Could the fish be getting trapped or stuck in one area of the pond?,120
Why are my fish dying?,Pets_65,Could the fish be getting trapped or stuck in one area of the pond?,To summarize the key concerns...  Do one or more of the dead fish look swollen?,347
Why are my fish dying?,Pets_65,To summarize the key concerns...  Do one or more of the dead fish look swollen?,What kind of fish are they?,0
Why are my fish dying?,Pets_65,What kind of fish are they?,Should the filter have life/insects in it?,0
Why are my fish dying?,Pets_65,Should the filter have life/insects in it?,and is it dirty looking?,0
Why are my fish dying?,Pets_65,and is it dirty looking?,Is the pond overstocked?,0
Why are my fish dying?,Pets_65,Is the pond overstocked?,Should they be gulping at the surface?,0
Why are my fish dying?,Pets_65,Should they be gulping at the surface?,Is the feeding pattern ok?,0
What is the recovery profile for botulism?,Pets_66,"Assuming my pet rabbit survives botulism poisoning, what should the recovery process look like?","I am not finding anything solid about step 5, ""Recovery...""     Is the recovery descending (head gets better first), reversed, or general?",516
What is the recovery profile for botulism?,Pets_66,"I am not finding anything solid about step 5, ""Recovery...""     Is the recovery descending (head gets better first), reversed, or general?",when 'this' happens things only get better)?,50
What is the recovery profile for botulism?,Pets_66,when 'this' happens things only get better)?,What are common difficulties that must be overcome?,0
Is filtered water healthy for dogs?,Pets_67,healthy for dogs?,"If so, what are the risks?",0
How To Introduce Additional Clownfish,Pets_68,Do I need to get a pair of smaller clowns?,A pair of larger clowns that aren't as vulnerable or even a few more clownfish all at once?,0
How To Introduce Additional Clownfish,Pets_68,A pair of larger clowns that aren't as vulnerable or even a few more clownfish all at once?,Maybe be patient for a week or two with the breeder net?,0
How To Introduce Additional Clownfish,Pets_68,Maybe be patient for a week or two with the breeder net?,Or do I have to give up and get rid of these clowns and start over??,0
How do I make sure my fish tank is safe after my apartment has been fumigated?,Pets_69,How can I make sure that the tank is safe for my fish after the bug-bomb?,Is it too risky to assume that the tank is safe/should take the tank apart and thoroughly clean it?,179
How can I make sure my Bearded Dragon's terrarium is safe after my apartment has been fumigated?,Pets_70,Is that enough to know that the tank is safe for me to put him in again?,Would scrubbing the tank with soap and water be enough?,89
How can I make sure my Bearded Dragon's terrarium is safe after my apartment has been fumigated?,Pets_70,Would scrubbing the tank with soap and water be enough?,How do I make sure the tank is safe after the bug-bomb?,0
Can corn snakes see everything?,Pets_71,Can a corn snake see everything?,I mean snakes like to do things in the night but if corn snakes or any snake can't see then how are they able to kill their prey?,137
What causes a dog to lunge at an unknown child and how should the owner respond?,Pets_72,"So my question is two-fold:   Is this newly aggressive behavior towards people a result of his lack of exercise, etc., or is it him becoming more protective towards me?",How should I have reacted in this situation?,0
What causes a dog to lunge at an unknown child and how should the owner respond?,Pets_72,How should I have reacted in this situation?,Should I try to calm him with pets and praise?,0
What causes a dog to lunge at an unknown child and how should the owner respond?,Pets_72,Should I try to calm him with pets and praise?,"Should I ""rain treats""?",0
What causes a dog to lunge at an unknown child and how should the owner respond?,Pets_72,"Should I ""rain treats""?",Or should I be firm and forceful about not doing that again?,0
Is corn based food bad for my dog?,Pets_73,Is this true?,"If so, what would be a good alternative?",0
Can cats safely eat raw meat?,Pets_74,"Is it safe to feed my cat raw meat, or should we cook the meat first?",Or should we stick exclusively to factory produced cat food instead?,0
My friend is allergic to only some of my cats; why is that (and how do I mitigate for future cats)?,Pets_75,What characteristics of the cats affect this?,"Short of bringing my friend with me to the animal shelter, is there anything I can do to minimize this consideration when adopting a new cat?",0
How much exercise should a young cat be getting?,Pets_76,How much activity should they be getting during the day?,How long each day should I try to get them to play apart from their chasing of each other?,142
"Why do cats lick plastic bags, and is there any harm in it?",Pets_77,"Assuming that they are not tearing off bits of plastic and swallowing them, but just licking, is there any harm in this?","What are they getting out of this -- is it just a texture thing, or are they leeching some chemical out of the plastic, or what?",0
"How old is my non-kitten, non-senior cat?",Pets_78,What do people look for when estimating the age of a cat who is full-grown and not yet obviously elderly?,What other clues to age are there and how reliable are they?,441
What can I do to ease my dogs' fear of loud noises?,Pets_79,What is the best way to handle dogs when you cannot control the sounds?,Is there medication I can give them when I know that a thunderstorm is approaching?,0
What can I do to ease my dogs' fear of loud noises?,Pets_79,Is there medication I can give them when I know that a thunderstorm is approaching?,:-))?,219
How can I keep my cat stimulated when she's stuck inside the house during winter?,Pets_80,"So, what can I do to keep her from getting bored?",What else can I try?,621
Should my cat follow daylight savings?,Pets_81,"Since the sunset presumably forces him to think that it is later than it really is, should I change his eating schedule when the clocks change?",Does the sunrise/sunset have any effect on when I should feed my cat?,0
What are healthy treats for a house rabbit?,Pets_82,What are some positive traits I should look for in a bunny treat?,What shouldn't rabbits be allowed to have as a treat?,0
Why does my cat put toys in my shoes?,Pets_83,Is this a common behavior?,Is there any explanation for why he does this?,0
How can I protect a fish pond during the winter?,Pets_84,How can I ensure the fish survive this period?,"Do I need to keep an area ice-free, and if so, how should I do this?",0
