title,source,q1,q2,sep
why we can't defeat evil with evil?,Philosophy_0,"I have been wondering why we can't defeat evil with evil, why Evil cannot drive out Evil?",Why we can't take evil as a means to an end goodness?,0
why we can't defeat evil with evil?,Philosophy_0,Why we can't take evil as a means to an end goodness?,"Specifically, say why we can't lie to an evil guy, such that his evil plan fails?",0
"Looking at Descartes, does the temporality of consciousness justify doubt in it?",Philosophy_1,Why?,"Is this a genuine weakness in the argument, he didn't notice?",0
What are the truth-values of intuitionistic logic?,Philosophy_2,Intuitionistic logic drops the law of the excluded middle; does it have the same set of truth-values?,If not - then what is its set of truth-values and its cardinality?,0
"If I had a proof that proved that the afterlife was %99.99... likely to be paradise, how would I use that information to die?",Philosophy_3,I want this thread to be about assuming that I have such a proof and it's sound how would I use that fact to die?,Any bright ideas?,431
What is your view of Stoicism as a philosophy for present day living?,Philosophy_4,"Do you approve of the Stoic philosophy presented in the discourses of Epictetus, the meditations of Marcus Aurelius and the writings of Lucius Annaeus Seneca?",How do you reconcile the Stoic idea of relinquishing all attempts to control external events with the need for protection of one's self interests?,0
What is your view of Stoicism as a philosophy for present day living?,Philosophy_4,How do you reconcile the Stoic idea of relinquishing all attempts to control external events with the need for protection of one's self interests?,Wouldn't strict adherence to such a philosophy turn one into an easy target for social and emotional abuse?,0
What is your view of Stoicism as a philosophy for present day living?,Philosophy_4,Wouldn't strict adherence to such a philosophy turn one into an easy target for social and emotional abuse?,Do you accept the ideas of the Stoics as applicable for living in today's times?,0
What is your view of Stoicism as a philosophy for present day living?,Philosophy_4,Do you accept the ideas of the Stoics as applicable for living in today's times?,Do you reject any of their ideas?,0
What is your view of Stoicism as a philosophy for present day living?,Philosophy_4,Do you reject any of their ideas?,What is your view and your criticism of them?,0
What is your view of Stoicism as a philosophy for present day living?,Philosophy_4,What is your view and your criticism of them?,"And if Stoicism cannot be accepted fully, what is a philosophy that may provide reconciliation of the existential chaos with order?",0
Are all logically necessary statements self identity claims?,Philosophy_5,"When we say that x is necessarily P,  are we not asserting that this is the case regardless of all contingent facts, so regardless of what x and P are?","And if x was P regardless of what x and P are, are we not just asserting self identity?",0
Does anyone know pi? Do computers know pi?,Philosophy_6,"I'm sure that the former's been covered in the literature, what about the latter?",Does anyone know the value of pi?,0
Does anyone know pi? Do computers know pi?,Philosophy_6,Does anyone know the value of pi?,Can computers?,0
Does anyone know pi? Do computers know pi?,Philosophy_6,Can computers?,"If we assume that no-one and no computer can tell us all pi's digits, and further that these cannot be computed or known... can computers nevertheless use the real value of pi in calculations, and if not how can mathematicians use the value in rigorous proof ?",251
What is the difference between “to exist” vs “to be real”?,Philosophy_7,What does it mean to say something exists and something is real?,And what is the difference if there is any?,0
What is the difference between “to exist” vs “to be real”?,Philosophy_7,And what is the difference if there is any?,Is it more fitting to say that it exists or that it is real?,37
Are there n-valent classical propositional logics?,Philosophy_8,"But noting that {false, true} is actually a boolean algebra, and in fact the smallest one, can we generalise to a B-valent classical propositional logics by taking values from some boolean algebra B, which need not be finite?",Is that right?,94
Causality vs. implication,Philosophy_9,Is there a formalization of the difference between implication and causality (in the field of metaphysics or philosophy of logic)?,What criteria could one use?,0
"For Kant, are spider moms that eat their kids immoral?",Philosophy_10,"When we talk about morality, do we mean to say morality for human beings?","But, Kant says that ought implies can...However, the spider's biology compels her to eat her babies to live...So the act of baby-eating must not necessarily be universally morally bad, could it?",190
"For Kant, are spider moms that eat their kids immoral?",Philosophy_10,"But, Kant says that ought implies can...However, the spider's biology compels her to eat her babies to live...So the act of baby-eating must not necessarily be universally morally bad, could it?",Does Kant limit his ethics to just humans?,0
What does Schopenhauer mean by etiology?,Philosophy_11,Schopenhauer in Will and Representation writes:     What is the use of explanations that ultimately refer us to something whose inner nature is quite as unknown as the thing we started with?,Do we in the end understand any more about the inner nature of these universal natural forces as we do the inner nature of an animal?,0
What does Schopenhauer mean by etiology?,Philosophy_11,Do we in the end understand any more about the inner nature of these universal natural forces as we do the inner nature of an animal?,Is not the one as much a sealed book as the other?,0
What does Schopenhauer mean by etiology?,Philosophy_11,Is not the one as much a sealed book as the other?,"Wikipedia notes that etiology deriving from aitia is the study of causation; is Schopenhauer saying here, that etiology as a study - a formal body of knowledge and understanding is always relative: that is a relation between two things; and hence is of no direct interest to some-one seeking unconditioned knowledge?",503
What does Schopenhauer mean by etiology?,Philosophy_11,"Wikipedia notes that etiology deriving from aitia is the study of causation; is Schopenhauer saying here, that etiology as a study - a formal body of knowledge and understanding is always relative: that is a relation between two things; and hence is of no direct interest to some-one seeking unconditioned knowledge?",And in this sense are all sciences forms of etiologies?,0
What does Schopenhauer mean by etiology?,Philosophy_11,And in this sense are all sciences forms of etiologies?,Being the study of causes of things?,0
What does Schopenhauer mean by etiology?,Philosophy_11,Being the study of causes of things?,ie genetics - how the phenotype is determined by the genotype?,0
Isn't there an inherent contradiction in creating your own meaning in life?,Philosophy_12,"There are many problems with choosing one's own meaning (for example, how do you reason with a person whose meaning in life is to get drunk and fall into a ditch?",How would a humanist answer this?,502
How would a Utilitarian and a Kantian solve this thought experiment?,Philosophy_13,What would you choose?,How would a Utilitarian and a Kantian solve this thought experiment?,0
"The difference between poetry and philosophy, and whether a quote can describe a philosophy",Philosophy_14,What is the key difference between philosophy and poetry?,Can a quote be identified as poetic with a philosophical idea hidden within it?,0
