title,source,q1,q2,sep
Can I damage the focus system by turning the focus ring when the lens isn't mounted?,Photography_0,Can I damage the focusing system by turning the focus ring when the lens is set to auto focus?,Am I right?,78
What ND filter would you recommend?,Photography_1,"Darkness - what do I need to slow a direct sunlight shot (sunset, sunrise) down to 10-20s exposure?",Type - uniform or gradual?,2
What are the advantages of the Canon 580EX II over the 430EX II?,Photography_2,What are the advantages of the 580EX II?,"For people that have owned both, was the 580EX II worth the extra cost for you?",0
What photo management software would you recommend for Linux?,Photography_3,so what photo management software do you use on Linux?,What are it's strengths and weaknesses?,0
What photo management software would you recommend for Linux?,Photography_3,What are it's strengths and weaknesses?,What sort of users would you recommend it for?,0
Photography: the technical side,Photography_4,"I want to get started somehow, but I have no idea what to do first: buy a decent camera?",read about technicalities?,0
Photography: the technical side,Photography_4,read about technicalities?,Can you please point me to some things I should do before I can start creatively taking photos?,18
How can I know what speed card to get for my camera?,Photography_5,Is there any way to test the maximum write speed the camera is capable of?,Are the read/write speeds documented anywhere?,0
What is shutter latency in a Phase One medium format camera?,Photography_6,What is shutter latency?,The camera I'm using (medium format from Phase One) has the option to set the shutter latency to short or long — what's the difference between the two and when would I use which setting?,0
Would this IR-transparent plastic be useful for blocking unwanted control flash?,Photography_7,"But, I'm not sure if it goes far enough into the deep reds: will my subjects have red reflections in their eyes?",as to the transmission profile of the Nikon product?,247
Would this IR-transparent plastic be useful for blocking unwanted control flash?,Photography_7,as to the transmission profile of the Nikon product?,Should I just break down and buy it?,0
What are the functions of the extra contact points on a Canon hotshoe?,Photography_8,What are the functions of all these other contacts?,"Also the manual says that the camera flash must be up in order for the camera to send signals to slaves, so if I mount my x brand flash, do I have to have the camera flash up also?",0
Why should I use a Graduated ND filter as opposed to the digital equivalent(software)?,Photography_9,"With options like Nik’s Color Efex Pro 4 allowing me to digitally apply a Graduated Neutral Density filter, why would I choose to use a piece of equipment that I have to buy and carry around?",Related Questions:  How do I use Graduated Neutral Density filters?,0
Why should I use a Graduated ND filter as opposed to the digital equivalent(software)?,Photography_9,Related Questions:  How do I use Graduated Neutral Density filters?,What are neutral density filters and how do I use them to create long exposures in daylight?,0
