title,source,q1,q2,sep
What is the role of a QA tester on a Scrum team?,ProjectManager_0,"Also, how do I incorporate QA into the whiteboard?",1) Role and Responsibilies   Should he be involved in helping the developers identifying what unit tests to write for a given module?,0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,1) Role and Responsibilies   Should he be involved in helping the developers identifying what unit tests to write for a given module?,Should he be involved in determining code coverage for testing?,0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,Should he be involved in determining code coverage for testing?,Should he be responsible for the Continuous Integration tool?,0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,Should he be responsible for the Continuous Integration tool?,"Is he the person who declares a story as ""Done""?",0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,"Is he the person who declares a story as ""Done""?","Is he in charge of making sure that a story is testable, and therefore valid?",0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,"Is he in charge of making sure that a story is testable, and therefore valid?",2) QA on the Scrum Whiteboard   Should there be a separate column for QA on the whiteboard?,0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,2) QA on the Scrum Whiteboard   Should there be a separate column for QA on the whiteboard?,Or is it better to mark a story in some other way to show that it is being tested?,0
What is the role of a QA tester on a Scrum team?,ProjectManager_0,Or is it better to mark a story in some other way to show that it is being tested?,"Should bugs be identified as tasks within the story, say on a red post-it, or should they be a separate story unto themselves?",0
Unfinished Stories in a Sprint,ProjectManager_1,Is this the right thing to do?,"Also, are the full points earned upon completion in the next sprint or will this skew the velocity of that sprint?",0
What are typical legal and technical documents that you would provide with a solution as a vendor?,ProjectManager_2,What typical legal and technical documents do you provide with a solution as a software vendor?,Documents would be like:   SLA Privacy Policy Terms and Conditions   When you are responding to a proposal which documents do you typically include?,0
Kanban for multiple projects,ProjectManager_3,Should I use separate boards per mini-project?,Per web/iOS/Android clients?,0
Kanban for multiple projects,ProjectManager_3,Per web/iOS/Android clients?,Is there a good digital kanban that allows you to order individual boards like a backlog?,0
Should I do reference checks on an experienced candidate?,ProjectManager_4,Do you do reference checks regardless of experience?,"If so, what are some arguments in favor of it?",0
Should I do reference checks on an experienced candidate?,ProjectManager_4,"If so, what are some arguments in favor of it?","If not, why not?",0
