title,source,q1,q2,sep
Youre a big drinker right? Can you interpret for the drunk?,Puzzling_0,Can you?,Here's what he's been saying:     burp hare hic sit burp on?,0
Youre a big drinker right? Can you interpret for the drunk?,Puzzling_0,Here's what he's been saying:     burp hare hic sit burp on?,ha hic vie loss hic tit?,0
Youre a big drinker right? Can you interpret for the drunk?,Puzzling_0,ha hic vie loss hic tit?,ewer hell hic ping?,34
Is there a term for ZZ with CFOP F2L?,Puzzling_1,Is there any term for the method that uses ZZ's EOLine and FOP of CFOP for the rest?,Or should I just call it ZZ-CFOP hybrid?,0
What is the name of the board game? #1,Puzzling_3,Next riddle is here: What is the name of the board game?,What is the name of the board game?,159
What is the name of the board game? #2,Puzzling_4,Previous riddle is here: What is the name of the board game?,#1 Next riddle is here: What is the name of the board game?,0
What is the name of the board game? #2,Puzzling_4,#1 Next riddle is here: What is the name of the board game?,What is the name of the board game?,156
The Calculator with Misbehaving `+` and `*`,Puzzling_5,What integers are these values?,"[tex] [tex] where, for all [tex], [tex] and [tex] [tex] [tex] [tex] [tex]   And what's the hint in them taken collectively?",39
What is the name of the board game? #3,Puzzling_7,Previous riddle is here: What is the name of the board game?,What is the name of the board game?,175
Morse Code I can't solve,Puzzling_8,"""myself"" ?",?,0
Mr. Zimmerman knows the answer. Do you?,Puzzling_9,"He came to me, took a piece of paper and wrote the following:     How many roads must a man walk down   Before you call him a man?",How many seas must a white dove sail   Before she sleeps in the sand?,0
Mr. Zimmerman knows the answer. Do you?,Puzzling_9,How many seas must a white dove sail   Before she sleeps in the sand?,"Yes, 'n' how many times must the cannon balls fly   Before they're forever banned?",0
Mr. Zimmerman knows the answer. Do you?,Puzzling_9,"Yes, 'n' how many times must the cannon balls fly   Before they're forever banned?",Can you find the answer to Mr. Zimmerman's questions?,314
Envisage the Answer,Puzzling_10,Can you find them?,Won't you come and have a chat?,28
What am I? (solve this riddle),Puzzling_11,"I might entail of it nature,   Would it just taper?",What am I?,151
Ruklo Town Adventure,Puzzling_12,"While keeping to yourself, you overheard the following conversation behind you:     Man 1: ... but how are we ever going to afford that?",Man 2: You've heard tales of the legendary treasure inside the mountain?,0
Ruklo Town Adventure,Puzzling_12,Man 2: You've heard tales of the legendary treasure inside the mountain?,What makes us any better than them?,126
Ruklo Town Adventure,Puzzling_12,What makes us any better than them?,How can a town be a map?,163
What happened to the boat?,Puzzling_14,"What happened to the mythical boat, Why was it never there?","What happened here with the desert and trolls, What was this strange affair?",0
How to decode a Codebusters Baconian Cipher?,Puzzling_16,What does the message decode to?,Can anyone find a procedure to solve questions like this?,421
Monkey on a Flagpole,Puzzling_18,Question : How much length in Odd jumps does the monkey take to reach the top of the flagpole?,and Why?,0
Four squares into many squares,Puzzling_19,At most how many rectangles can you form by moving only one square as you wish?,and      At most how many rectangles can you form starting from 1 rectangle if you are allowed to move as many squares as possible every turn?,0
What was Detective Sherlock missing?,Puzzling_21,I am missing much important thing and I can't think...What's wrong?,Is it a tumor in my brain or just random thoughts?,0
What was Detective Sherlock missing?,Puzzling_21,Is it a tumor in my brain or just random thoughts?,Or kind of complication?,0
What was Detective Sherlock missing?,Puzzling_21,Or kind of complication?,Isn't it?,1937
What was Detective Sherlock missing?,Puzzling_21,Isn't it?,Was it a sheep?,315
What was Detective Sherlock missing?,Puzzling_21,Was it a sheep?,What the hell?,200
What was Detective Sherlock missing?,Puzzling_21,What the hell?,Have I lost my IQ here?,0
What was Detective Sherlock missing?,Puzzling_21,Have I lost my IQ here?,Who was that lady?,569
What was Detective Sherlock missing?,Puzzling_21,Who was that lady?,What was she doing with dad?,0
What was Detective Sherlock missing?,Puzzling_21,What was she doing with dad?,"Well, question here is, a digital watch?",149
What was Detective Sherlock missing?,Puzzling_21,"Well, question here is, a digital watch?",When did I purchase that?,0
What was Detective Sherlock missing?,Puzzling_21,When did I purchase that?,And wait...What is the hour of the day?,0
What was Detective Sherlock missing?,Puzzling_21,And wait...What is the hour of the day?,Can you find what Sherlock was missing?,1084
"Missing, 'till the very end",Puzzling_22,Where do you need to go?,How do you get there?,0
"Missing, 'till the very end",Puzzling_22,How do you get there?,What do you need to enter?,0
"Missing, 'till the very end",Puzzling_22,What do you need to enter?,Not given on chat:      What's the shortest distance between two points?,75
A mo-Roman sampler,Puzzling_23,"&emsp;&emsp;&emsp; Pluck some relatively easy mo-Roman mini-puzzles while there&rsquo;s relatively easy pickin&rsquo;s.       What two English words, taken as mo-Roman numerals,     form the same number?",What is the simplest mo-Roman representation of zero?,1576
A mo-Roman sampler,Puzzling_23,What is the simplest mo-Roman representation of zero?,Simplest&hairsp;?,48
A mo-Roman sampler,Puzzling_23,Simplest&hairsp;?,What is the simplest mo-Roman numeral     whose value remains unchanged     by&nbsp;removing&nbsp;its&nbsp;last&nbsp;digit?,255
A mo-Roman sampler,Puzzling_23,What is the simplest mo-Roman numeral     whose value remains unchanged     by&nbsp;removing&nbsp;its&nbsp;last&nbsp;digit?,What is the simplest positive mo-Roman numeral     whose value is negated     by&nbsp;removing&nbsp;its&nbsp;first&nbsp;digit?,157
