title,source,q1,q2,sep
What is the role of stochastic calculus in day-to-day trading?,QuantFinance_0,"Now I am wondering, does stochastic calculus play a role in day-to-day trading strategies?",Am I under-utilizing a potentially valuable tool?,0
is there a limit on how many times i can access fxcm xml feed,QuantFinance_1,here is the link [website]does anyone know if there are limits on how many times you can access this data?,any ideas?,303
How to select/construct benchmarks for black-box trading strategies?,QuantFinance_2,"When faced with a black box trading strategy with extensive historical data available, how would one select/construct a representative benchmark?",What about benchmarks for strategies that do not exhibit such clear tendencies in the types of trades they perform?,152
How to select/construct benchmarks for black-box trading strategies?,QuantFinance_2,What about benchmarks for strategies that do not exhibit such clear tendencies in the types of trades they perform?,Which guidelines/ frameworks/methodologies are applicable?,70
Operating parameters of market makers?,QuantFinance_3,Examples: what is their working capital?,How much leverage do they use intraday?,0
Operating parameters of market makers?,QuantFinance_3,How much leverage do they use intraday?,What returns do they achieve?,0
Operating parameters of market makers?,QuantFinance_3,What returns do they achieve?,What is their contribution to trade volume?,0
Operating parameters of market makers?,QuantFinance_3,What is their contribution to trade volume?,How to these numbers compare to other market participants?,0
"What is the ""delta"" option quoting convention about?",QuantFinance_4,What are these deltas?,What are the units?,0
"What is the ""delta"" option quoting convention about?",QuantFinance_4,What are the units?,Why are those 5 values chosen?,0
How to Handle Error in SEC Filings,QuantFinance_5,"How should these errors, and specifically this type of error, be handled?",Is there?,86
How to Handle Error in SEC Filings,QuantFinance_5,Is there?,What to do...?,0
What type of analysis is appropriate for assessing the performance time-series forecasts?,QuantFinance_6,"Since it is common to desire a model that minimises these 'losses' in some sense, how do you deal with the residuals produced in this way?",Is there a way to remove the dependency?,0
What type of analysis is appropriate for assessing the performance time-series forecasts?,QuantFinance_6,Is there a way to remove the dependency?,"Are successive residuals dependent, and how could this dependency be measured?",0
What type of analysis is appropriate for assessing the performance time-series forecasts?,QuantFinance_6,"Are successive residuals dependent, and how could this dependency be measured?",What tools exist to analyse these residuals?,0
Questions on CDS,QuantFinance_7,"I have a few questions on CDS and especially sovereign ones:   I've read that usually CDS are generally traded in millions of notional value, which means that not everybody can purchase sovereign CDS, but who will ?","Banks, other countries, ... ?",0
Questions on CDS,QuantFinance_7,"Banks, other countries, ... ?",This premium is based on X bps or Y bps?,163
Questions on CDS,QuantFinance_7,This premium is based on X bps or Y bps?,"(it would make more sense to me that it would be Y bps but I'm not 100% sure) I've seen many different formulae for the CDS spread and pay-off, are the following formulae accurate?",0
How are distributions for tail risk measures estimated in practice?,QuantFinance_8,"You're really only interested in the left tail, so do you use the whole set of returns to estimate mean, variance, skew, and shape (let's also assume a skewed generalized error distribution - SGED)?",Or would you just use the left tail (let's say the bottom 10% of returns)?,0
How are distributions for tail risk measures estimated in practice?,QuantFinance_8,Or would you just use the left tail (let's say the bottom 10% of returns)?,How are the pros doing this?,288
Option pricing before Black-Scholes,QuantFinance_9,But how had traders actually priced the simplest options before the Black–Merton-Scholes model became common knowledge?,What were the most popular methods to determine arbitrage-free prices before 1973?,0
