title,source,q1,q2,sep
Signification of alternating signs of imaginary and real part of an FFT,SignalProcessing_0,"It's part of a much larger set of signal processing operations, but in order to keep the question contained I'll ask a general question and hope, someone will be able to help me:   Is there any physical or mathematical characteristic that is known for a signal (containing only the odd Harmonics) whose FFT-imaginary and FFT-real parts have alternating signs ?",Is this a sort of finger-printing for a specific physical phenomena ?,1212
Difference between frequency components and harmonic components - Fourier,SignalProcessing_1,What is the difference between frequency components and harmonic components?,"The first concern the continuous domain of frequency, while the second concern the discrete domain of frequency ([tex] with [tex] foundamental frequency)?",0
FFT frequency bands and filtering,SignalProcessing_2,right?,"why does it have a transition band at all, and how does it work?",0
FFT frequency bands and filtering,SignalProcessing_2,"why does it have a transition band at all, and how does it work?",is a filter a sum of sine waves in the specified frequency range?,0
FFT frequency bands and filtering,SignalProcessing_2,is a filter a sum of sine waves in the specified frequency range?,"however, this would lead to a distorted result in each band, because of the transition bands, right?",252
FFT frequency bands and filtering,SignalProcessing_2,"however, this would lead to a distorted result in each band, because of the transition bands, right?","if on the other hand, I do FFT over the whole 1-40 range, and then just 'extract' the results from 8-12 etc, the results would be more accurate?",0
FFT frequency bands and filtering,SignalProcessing_2,"if on the other hand, I do FFT over the whole 1-40 range, and then just 'extract' the results from 8-12 etc, the results would be more accurate?","and how would the extraction mathematically work, is it just the mean of all values at the frequencies between 8 and 12?",0
How to convert single output of microphone into multiple values for using fft?,SignalProcessing_3,how can i convert a single input from microphone to  atleast 8 values for using fft?????,?,0
Aliasing in audio,SignalProcessing_4,Is it any signals ?,or just high frequencies aliasing as low frequencies ?,0
Is this a robust method for analysing correctness of a filtered signal? Is there a more robust method?,SignalProcessing_5,"One method I have applied is minusing the filtered signal from the raw signal in time space and then taking the fft/psd (power spectral density) of the remaining signal and I see that the peak is gone, is this a robust measure of checking the signal I am tracking is correct?",Is there any other methods for analysing this without having a way of measuring the true signal?,0
"Saddle points, Nodes and Edges definitions",SignalProcessing_6,Am I right ?,What do they mean by that exactly ?,156
How to implement a moving average in C without a buffer?,SignalProcessing_7,Is it possible to implement a moving average in C without the need for a window of samples?,Is there a way to express a new moving average result only as a function of the old result and the new sample?,172
Design discrete controller for zero steady state error,SignalProcessing_8,I have the following system   where [tex]   How can I design the C(z) controller so that the steady state error for a step input r(t)=1(t) is zero?,Now how would we deal with this in a discrete system?,230
Design discrete controller for zero steady state error,SignalProcessing_8,Now how would we deal with this in a discrete system?,Do I get my constant time controller and convert it to a discrete controller?,0
Extract graph data from map image,SignalProcessing_9,What would you suggest?,EDIT: perhaps this is something that can be done with a plugin for GIS software?,159
How to determine best fit from two?,SignalProcessing_10,"Or I have to choose the dynamic case (maximum value minus minimum value), where the best fit line is more flat in the graph (not by absolute value)?",What is the best fit?,180
How to determine best fit from two?,SignalProcessing_10,What is the best fit?,The first or the second?,0
