title,source,q1,q2,sep
How many square kilometres of Mars is exactly mapped?,SpaceExploration_0,But how accurate are the maps really?,"Also, how much we have mapped about the surface of Mars?",0
How would a centrifuge module's berthing system work on the ISS?,SpaceExploration_1,How astronauts would move between the non-rotating segments and the rotating segment?,"What is this soft-berth, and mechanically how would this work?",0
Is any non-planetary celestial body smaller than a star known to be a spontaneous radiator?,SpaceExploration_2,Could such debris agglutinate to form a core of higher/heavier elements?,What if some asteroids were to be the debris of an ore-rich planet/satellite that got too close to it's primary?,0
Is any non-planetary celestial body smaller than a star known to be a spontaneous radiator?,SpaceExploration_2,What if some asteroids were to be the debris of an ore-rich planet/satellite that got too close to it's primary?,"Is any small celestial body (other than a star, nebula, whatever) known to be a spontaneous radiator/emitter?",0
What propulsion system would not pollute the surface when landing on a pristine celestial body?,SpaceExploration_3,"Would it suffice to use heated or pressurized cold gas helium as exhaust gas during the final approach to the surface, since it is a chemically non reactive noble gas, and light so that it quickly evaporates?",Would a controlled crash landing with shock absorbing landing legs be an option?,38
"Sea Launch, and other ocean-based launch pads: Stability?",SpaceExploration_4,Is that the main method used for the stability of the platform?,Does that limit the rocket engines thrust to some known maximum?,0
"Sea Launch, and other ocean-based launch pads: Stability?",SpaceExploration_4,Does that limit the rocket engines thrust to some known maximum?,How does it compare to land-based sites?,0
What are the advantages and disadvantages of sending a telescope into deep space?,SpaceExploration_5,"When I first heard of the Voyager missions I thought this: why not do the same, only make it a telescope?",What are the possible significant advantages of sending a telescope out of the solar system?,348
What are the advantages and disadvantages of sending a telescope into deep space?,SpaceExploration_5,What are the possible significant advantages of sending a telescope out of the solar system?,Would it be possible to power such a device?,0
What are the advantages and disadvantages of sending a telescope into deep space?,SpaceExploration_5,Would it be possible to power such a device?,Would such a device be so expensive as to become inviable?,170
"Where were PFS-1 and PFS-2 stowed aboard Apollo 15 and 16, and how were they released?",SpaceExploration_6,"Where were these subsatellites stowed aboard the Apollo spacecraft, and how were they released from it?",Did they have their own thrust capability for deployment?,0
What are the trade-offs to use a radio relay orbiter also as a radar science instrument?,SpaceExploration_7,What is required to complement such a radio relay orbiter so that it can second also as a powerful radar to study the object it is orbiting?,"Would the communication frequency be useful also as a science radar, for surface reflection or ground penetration?",0
What are the trade-offs to use a radio relay orbiter also as a radar science instrument?,SpaceExploration_7,"Would the communication frequency be useful also as a science radar, for surface reflection or ground penetration?",What are the synergies and problems with combining high data rate interplanetary radio communication with a capable multi frequency science radar?,0
What are the trade-offs to use a radio relay orbiter also as a radar science instrument?,SpaceExploration_7,What are the synergies and problems with combining high data rate interplanetary radio communication with a capable multi frequency science radar?,Could every orbiter with a radio dish be used as a science radar instrument too?,0
Has water ever been confirmed on comets?,SpaceExploration_8,Whatchy'all think?,Is this true?,0
Would it have been possible to have sent the Space Shuttle around the Moon?,SpaceExploration_9,"I'm curious about whether or not the Space Shuttle could have been used as a lunar orbit vehicle - basically, would have it been technically capable of getting to the Moon, entering orbit, then leaving orbit?",Would it be possible?,292
Do solid propellant engine needs optimum temperature?,SpaceExploration_10,Do solid propellants have an optimum temperature to burn effectively?,"If so, what is the range of temperature  needed?",0
Can the SpaceX Dragon 2 crew vehicle still use the draco and super draco thrusters to slow down when landing?,SpaceExploration_11,"In an emergency, is it possible to use the draco and super draco thrusters alone to slow down the vehicle after re-entry?","So basically if the parachutes fail(God forbid), are the thrusters capable of slowing down the vehicle after re-entry in Earth to safe touchdown?",99
Can the SpaceX Dragon 2 crew vehicle still use the draco and super draco thrusters to slow down when landing?,SpaceExploration_11,"So basically if the parachutes fail(God forbid), are the thrusters capable of slowing down the vehicle after re-entry in Earth to safe touchdown?",Also is there protection for the draco and super draco thrusters from sea water?,0
How is Dragon-v2 prepared for being docked for months at ISS?,SpaceExploration_12,tested and prepared for the long haul?,"Will there be a first unmanned verification flight of long duration, or will it all depend on simulations, ground tests and calculations of its long-term endurance?",0
How does the Orbit Determination Accuracy depend on the number of measurements?,SpaceExploration_13,How does the number of observations of spacecraft position and velocity affect the orbit determination accuracy?,Why would the accuracy of the orbit be more in the second case?,222
Are there any Mars missions currently in the design phase which could take advantage of NASA's Low Density Supersonic Decelerator?,SpaceExploration_14,"Are there any actual plans to use the technology developed by this project on operational missions, however?","My question is, does the use of LDSD appear in any current mission design, in any form, to Mars?",987
Walking in a rotating spacecraft and Newton's 3rd Law of Motion,SpaceExploration_15,"Also, if the spacecraft is set in motion by the man's walking, will the spacecraft remain in motion and travel in that direction indefinitely?","When he reaches the other end and comes to a stop, will his body mass coming to a stop transfer enough kinetic energy back to the spacecraft to bring the spacecraft to a stop?",410
Where does Io's sulfur come from?,SpaceExploration_16,"Is Io simply unusually rich in sulfur, right back from when it accreted?",Or do the other Galilean moons contain similar amounts of sulfur but just don't wear it on their outsides?,0
Where does Io's sulfur come from?,SpaceExploration_16,Or do the other Galilean moons contain similar amounts of sulfur but just don't wear it on their outsides?,Because they lack volcanism?,0
Where does Io's sulfur come from?,SpaceExploration_16,Because they lack volcanism?,"Because we had less sulfur in the first place, or just because our atmosphere retains lighter elements that dominate over the same amount of sulfur that Io also has?",82
Would an ionocraft have better or worse performance in the upper atmosphere?,SpaceExploration_17,Should this be lower or higher at very high altitudes?,"And considering the entire picture, might an ionocraft (which is non-viable at sea level) become viable if you flew it up to high altitudes first?",0
