title,source,q1,q2,sep
Is there a reason to run exim4 on a relay?,Tor_0,Is there a reason for this?,Do I have a need for a mail service running?,0
Android Orfox - Clearing RAM messes tabs up,Tor_1,Suggestions?,Am I in the right place for this?,0
Would like to use Tor with _and_ without proxy --> unexpectedly ends program,Tor_2,Here are my questions: What do I have to do to be able to use Tor both at home and outside my home?,Where can I set the settings so Tor knows not to search for a proxy?,0
How is tor traffic exempt from censorship/a country's DNS servers?,Tor_3,"But supposing it was me logging onto Tor, is it not possible I could hit an exit node that was from John's country?",Thus being subject to the DNS server that blocks traffic to the server to which I'm making a request?,0
Internet download manager reveals IP using Tor Bundle?,Tor_4,I was using the Tor browser bundle with JavaScript turned off and when I clicked on a page with a video playing my application outside of Tor kicked in and popped up as an overlay over the Tor page asking me if I wanted to download the video!?,Anyone know how this could happen and if the IDM app would have contacted the onion site I was on thus revealing IP and making Tor useless?,0
TAILS - LIVECD & RATs,Tor_5,"QUESTION: When using the livecd, while the host system is RAT infected, can they still see everything I am doing?","QUESTION: While in TAILS, if I open an email that is created to auto-execute with a RAT (or I click a link, etc), and the RAT downloads onto my livecd, could a very sophisticated (3-letter agency) RAT getting onto my HOST OS?",0
How to refer to Tor hidden services network and community,Tor_6,"""Hidden services"" is the name of the technology used (and individual servers), but what is the name of the resulting network and community?","Saying ""Tor hidden services network"" is too long, so what does one say instead of X?",164
Free static web hosting inside the Tor hidden services network,Tor_7,"Do anyone know of any free (as in no payment, no ads, and no invites needed) web hosting provider inside the onion network currently?",Or did everything die with Freedom Hosting?,0
Can somebody clarify the Tor --> VPN and VPN --> Tor notation please?,Tor_8,"For example, does Tor --&gt; VPN mean that I have a VPN client running on my Mac through which all of my traffic is tunnelled, then point Firefox to a locally running instance of Tor thereby all of my Tor  traffic is running inside of the VPN tunnel?",Or is it something else entirely?,0
Can somebody clarify the Tor --> VPN and VPN --> Tor notation please?,Tor_8,Or is it something else entirely?,Can somebody please give me a concrete example of each setup?,0
Entry guards are persistent for a period of time when using Tor. How is it done?,Tor_9,My question is how does Tor keep the entry guards persistent?,What is the actual process to keep the entry guard persistent?,0
Tor security if LE/ISP want me really bad,Tor_10,Is there a way for them to create a surveillance from my ISP ?,"I have to send the encryption code also so the message is decrypted , right?",83
