title,source,q1,q2,sep
What is an accurate and safe way to piece together wood with a rhombus cross section?,Woodworking_0,"Aside from the difficulty in getting the correct cross section, are there other issues / problems with this approach?",Does this seems safe and accurate?,62
Issue sanding between coats of polyurethane,Woodworking_1,Sanding with 220 grit with only a few passes it looks like I sanded through the two coats down to wood!?,Why would they suggest I sand with that grit if it takes away the coats to begin with?,0
Issue sanding between coats of polyurethane,Woodworking_1,Why would they suggest I sand with that grit if it takes away the coats to begin with?,Should I have used a finer grit?,97
Issue sanding between coats of polyurethane,Woodworking_1,Should I have used a finer grit?,Are my poly coats to thin?,0
I wonder how this alternating stain effect is made,Woodworking_2,Is it a double applying of the same product on it's right side?,What kind of tape to use then?,145
Is there a safe way to make a plunge cut with a chainsaw?,Woodworking_3,"pushing the tip of the chainsaw into a thick block of wood, maybe 12 inches thick) or is this just a flat out bad idea?",Is the potential kickback on entry hard to avoid or control?,0
Is there a safe way to make a plunge cut with a chainsaw?,Woodworking_3,Is the potential kickback on entry hard to avoid or control?,Is the wood more likely to bind onto the chain in this case and/or break it?,0
Design considerations for a machinist's work bench,Woodworking_4,What would be a recommended way of constructing the maple top and joining it to the legs?,Do you bolt them together?,208
How do I cut a large log into boards?,Woodworking_5,"Do I chalk this up to beginner's mistake and scrap the idea, or is there something I could still try (bandsaw, chainsaw, etc.)?","Note: This question is different from What is the process, from start to finish, for milling a tree into boards?",0
How can I make a dowel with a table saw?,Woodworking_6,In LeeG's answer to How can I make my own dowels?,Image source  How does one go about doing this?,122
Am I able to make a wooden Zero Clearance Insert for my tablesaw?,Woodworking_7,Can I safely make a wooden ZCI for this table saw?,Would I need to mill one from metal to get the same effect?,0
Would a thick riving knife be useful with a dado stack?,Woodworking_8,Would a riving knife with the same thickness as the kerf of the dado stack prevent this?,Or are non-through cuts just not as dependent on a riving knife for safety?,0
How do I accurately cut a board exactly in half?,Woodworking_10,"This might be a silly question, but how do I accurately measure, mark and cut a board perfectly in half on a miter saw?","But say I have a 8' board, and I want it in half (roughly 4' each, minus the kerf), how do I quickly measure/cut this?",198
How do I accurately cut a board exactly in half?,Woodworking_10,"But say I have a 8' board, and I want it in half (roughly 4' each, minus the kerf), how do I quickly measure/cut this?","Do I just align the blade with the line and cut directly on it, or do I need to measure the blade kerf and account for this somehow?",39
What's a bench hook?,Woodworking_11,Comments in What is a shooting board?,What is a bench hook and how is it used?,43
How can I join two mitred handrails?,Woodworking_13,"If the overall run of the handrails is going to be about 180 inches, and I'm cutting a 17 degree miter about 40 inches from the top, how would you securely join the two pieces?","I've done this for the returns, but one doesn't expect a lot of load on the returns, right?",57
When are pocket holes an appropriate joinery technique?,Woodworking_14,"Are there any times when this is an appropriate joinery technique to use, over alternatives?","Or are they just typically used when someone doesn't have the skill, time (or maybe cost) to build a more robust joint?",0
I am about to stain a new Redwood deck. Does anybody have first hand experience with a good stain for Direct/Heavy Sunlight?,Woodworking_15,Does anybody have first-hand experience with a good stain for Direct/Heavy Sunlight?,Is this recommended?,647
What are my options when laminating wood with butt joints?,Woodworking_16,"Do I actually need to ""glue"" the butt joints together before laminating them to another piece?",Do I work like I would a normal whole piece and just laminate the whole thing with clamps on either end?,0
How strong is a titanium coated bit?,Woodworking_17,How strong is a titanium coated bit?,How much longer does a titanium bit last compared to other bits?,104
How strong is a titanium coated bit?,Woodworking_17,How much longer does a titanium bit last compared to other bits?,"like HSS, or carbon oxide?",0
What are some good ways to hang plywood from a wire?,Woodworking_18,I don't feel like putting a bolt with an eye loop  on it into the edge of a piece of plywood would be very sturdy... What other hardware options do I have?,Mount to the side of the wood?,0
What are some good ways to hang plywood from a wire?,Woodworking_18,Mount to the side of the wood?,If so with what?,0
What are some good ways to hang plywood from a wire?,Woodworking_18,If so with what?,"Use a piece of hardware to straddle a piece of wood and clamp onto it, giving me a D loop on top?",0
