title,source,q1,q2,sep
How to come up with a good title?,Writers_0,Do you have any good tips or ideas on how to come up with a good name?,Meta question - is this really important?,0
How to come up with a good title?,Writers_0,Meta question - is this really important?,"For self-publishing I assume it is, but if I find an agent, would them/the publisher come up with a marketing-ready title?",0
How to come up with a good title?,Writers_0,"For self-publishing I assume it is, but if I find an agent, would them/the publisher come up with a marketing-ready title?",Or are authors expected to create their own titles?,0
Tips For A Good Medieval Fantasy Novel,Writers_1,Any pointers for this type of genre?,Any pointers?,563
"Writing style — comma, period and re-referring the object of the first sentence again as subject in second sentence",Writers_2,Which one of these good for creative writing like story writing?,"If I choose first one(1), is it acceptable?",40
Words for Sounds in Screenplay,Writers_3,Is there any list of words use in screenplay?,What word I can use to describe the sound of metal gate and a sound of a tower built in metal?,11
Writing a character that does not share your ethnic background?,Writers_4,"But, what must you research about a given ethnic group?",How much information is required as a base minimum?,0
controversial rape subject in mainstream novel?,Writers_5,this Q is somewhat linked to Is BDSM becoming mainstream?,I was wondering if such a novel could have a mainstream readership?,883
How does one involve people in writing non-fiction?,Writers_6,My question is:  How does one go about involving people in a book that's secretly more or less about one or more ideas?,"For example, if I wanted to write a book about grammar, what are some ways to get readers interested in the book on a more personal level?",0
Creating a story in which the hero(es) lose,Writers_7,1) Would having a cookie cutter story be okay?,"2) Because stories and books for that matter seem to be on the decline as more and more visual media becomes available, would I need surprise elements or twists that are otherwise unexpected from the said genre in hopes that the story would be read and not passed over as ""another one of these""?",200
Creating a story in which the hero(es) lose,Writers_7,"2) Because stories and books for that matter seem to be on the decline as more and more visual media becomes available, would I need surprise elements or twists that are otherwise unexpected from the said genre in hopes that the story would be read and not passed over as ""another one of these""?",3) Would creating a story that ends with the enemy winning be something interesting to others?,0
Creating a story in which the hero(es) lose,Writers_7,3) Would creating a story that ends with the enemy winning be something interesting to others?,"Would a story that ended with the ""bad side"" winning be a desirable fresh outcome that people would read?",201
Creating a story in which the hero(es) lose,Writers_7,"Would a story that ended with the ""bad side"" winning be a desirable fresh outcome that people would read?",What literature works would fall into a dark fantasy?,270
Creating a story in which the hero(es) lose,Writers_7,What literature works would fall into a dark fantasy?,Would this be too niche?,106
How to handle a pidgin language?,Writers_8,"Question: In reference to this question about how to show a foreign language in a manuscript, I am wondering: What is the best way to handle a pidgin language in a manuscript?",In a wider sense: How would you treat a heavy slang that came up with original words and phrases?,0
How to handle a pidgin language?,Writers_8,In a wider sense: How would you treat a heavy slang that came up with original words and phrases?,What do you think?,1007
Do publishers really need to translate between UK and US English?,Writers_9,Is there really a need for a book to be translated from UK to US English?,"So while I can't see an American throwing an otherwise enjoyable book away in disgust just because there's a 'u' in 'color', is it jarring?",406
Do publishers really need to translate between UK and US English?,Writers_9,"So while I can't see an American throwing an otherwise enjoyable book away in disgust just because there's a 'u' in 'color', is it jarring?","To an American, would the odd British word, (Grey, mum, offence, theatre) actually cause them to not be engrossed in a novel as much as they could be?",0
Do publishers really need to translate between UK and US English?,Writers_9,"To an American, would the odd British word, (Grey, mum, offence, theatre) actually cause them to not be engrossed in a novel as much as they could be?","But publishers spend thousands of pounds translating UK books to US English, so why do they do this?",213
How to handle dialogue?,Writers_10,"So, I have two options here:   Try harder, read more books with lots of dialogue and learn from them and apply this to my own writing?",Which direction should I go?,15
"Are ""print world rights in English"" the same as ""First World Print Rights""?",Writers_11,Is this the same as asking for First World English Print Rights?,"Or am I able to sell First British, First North American etc and then sell them Generic (second) World Rights?",0
What factors to consider when choosing an e-book platform?,Writers_12,Question 1: What are the key factors to consider when choosing an ebook platform?,Question 2: Can they publish one story at a time (on their own) or do we have to publish all stories (as in a collection of short stories)?,0
What factors to consider when choosing an e-book platform?,Writers_12,Question 2: Can they publish one story at a time (on their own) or do we have to publish all stories (as in a collection of short stories)?,"Question 3: Do authors make money from ebooks, especially when the price is often around $0.49?",0
"When self publishing, are there benefits to making a company to represent your books? Is that then a publishing house?",Writers_13,Is it possible to create a company that acts like a publishing house?,Would such an arrangement have any benefits?,237
How to write a gay character from a first person perspective (Twist: The person doesn't know that they're gay!),Writers_14,Remember that story I mentioned in my previous question?,But until they meet that person... How do I subtly hint that a character is gay without revealing that they're actually gay?,168
Is it allowed to write a review on every chapter of a book?,Writers_15,Is it allowed to do that?,Would there be any problem considering legal rules?,0
Thriller sub-genre,Writers_17,"Is there a genre that could be called ""Safe Thriller""?","Similar to a ""Cozy Mystery""?",124
Composing a single narrative by writing small chunks,Writers_18,There may be a better one (maybe TeX &amp; LaTeX?,The Question  What application and configuration is most well-suited to this task?,2727
Composing a single narrative by writing small chunks,Writers_18,The Question  What application and configuration is most well-suited to this task?,Product Idea?,1576
When having a character ask a question...,Writers_19,"Okay, which is the proper way of a character asking a question?",and why is it better one way vs the other?,0
What is the term for an accessible character that knows nothing?,Writers_20,Is it a literary device?,Is this a better way to write?,361
What is the term for an accessible character that knows nothing?,Writers_20,Is this a better way to write?,Is it better to alienate some and connect with a few or write to the masses (with the character question in mind)?,0
What is the term for an accessible character that knows nothing?,Writers_20,Is it better to alienate some and connect with a few or write to the masses (with the character question in mind)?,tldr:   Is there a term for that character in many shows that knows nothing whose sole purpose for being there is so the audience can learn as he does?,0
What is the term for an accessible character that knows nothing?,Writers_20,tldr:   Is there a term for that character in many shows that knows nothing whose sole purpose for being there is so the audience can learn as he does?,Should you use this type of character in writing?,0
Self-publishing / marketing children's book,Writers_21,How realistic is it to self publish?,"Is it advisable to approach prospective publishers, or to build a portfolio first?",242
Self-publishing / marketing children's book,Writers_21,"Is it advisable to approach prospective publishers, or to build a portfolio first?","Is it possible to self-publish and then approach a company that markets these things, or is it at all advisable to attempt the whole thing single handed?",0
"What do you do if you enjoy writing, but have no ideas?",Writers_22,But is that the only way?,Does anyone want to read a story written by someone who doesn't like coming up with ideas?,0
"What do you do if you enjoy writing, but have no ideas?",Writers_22,Does anyone want to read a story written by someone who doesn't like coming up with ideas?,Have any popular writers (past or present) been similarly-minded to myself?,0
"What do you do if you enjoy writing, but have no ideas?",Writers_22,Have any popular writers (past or present) been similarly-minded to myself?,"Or am I overthinking my problem, and this is something everyone struggles with?",0
"What do you do if you enjoy writing, but have no ideas?",Writers_22,"Or am I overthinking my problem, and this is something everyone struggles with?","If so, what are some techniques for coming up with ideas when you don't care what you write, you just enjoy writing fiction?",0
Quick-start to journalism?,Writers_23,What are some resources that I can read to get to know the style of writing and vocabulary?,Are there experienced writers whom I can pay to critique my articles?,87
Quick-start to journalism?,Writers_23,Are there experienced writers whom I can pay to critique my articles?,"If not any of the above, can you guys recommend some writers from newspapers that you love?",0
"think, I think, I don't think",Writers_24,Can you suggest a few ways to reduce it and few alternative ways of saying the same thing?,Why do you think about that?,130
"think, I think, I don't think",Writers_24,Why do you think about that?,Do you think you can break that?,60
"How do I know who's my protagonist? EARLY in writing process (maybe complicated, maybe not)",Writers_25,Actual question: How do I know who is actually my main character of the story?,Will it reveal itself to me?,0
"How do I know who's my protagonist? EARLY in writing process (maybe complicated, maybe not)",Writers_25,Will it reveal itself to me?,"Should I simply trust my gut/original idea, or should I actively work on giving more influence in the story?",0
Maintaining the consistency of voice and spontaneity throughout a piece,Writers_26,"Sounds great, right?",How can I approach editing consistently so I don't feel like I'm removing all the good parts in my work?,1738
Maintaining the consistency of voice and spontaneity throughout a piece,Writers_26,How can I approach editing consistently so I don't feel like I'm removing all the good parts in my work?,Should it even be a concern?,0
Maintaining the consistency of voice and spontaneity throughout a piece,Writers_26,Should it even be a concern?,Is it even doable?,0
Time measures in fantasy worlds,Writers_27,"When it's obvious for me that I won't write ""5 kilometres from here"", would it be satisfactory to write ""an hour of a way from here"" (pardon if it's not a proper grammar way to say that in English, I write stories in my native language)?","Is it reasonable to provide exact time measures in worlds without clocks, basing it on sundials or magic?",0
Time measures in fantasy worlds,Writers_27,"Is it reasonable to provide exact time measures in worlds without clocks, basing it on sundials or magic?","Or is it better to pick up some in-universe measure, like the length of popular local prayer?",153
"When quoting a person's informal speech, how much liberty do you have to make changes to what they say?",Writers_28,"They say ""uhm"", they cut off sentences half-way through, they interject phrases like ""you know?","As somebody who wants to fairly and accurately report the discussion that takes place in an interview, what guidelines should I use in making changes to what a person says?",47
Capitalizing generic names,Writers_29,Is it wrong to do this?,Would I be better off not capitalizing in this way?,0
"Co-authoring, brainstorming but not writing",Writers_30,My friends that helped me with the brainstorming should be credited in what way?,"How should I credit people involved solo in brainstorming, and what about rights?",192
"When quoting a person's informal speech, how much liberty do you have to make changes to what they say?",Writers_31,"They say ""uhm"", they cut off sentences half-way through, they interject phrases like ""you know?","As somebody who wants to fairly and accurately report the discussion that takes place in an interview, what guidelines should I use in making changes to what a person says?",47
Making simple sentences more interesting,Writers_32,Can you suggest ways I can write more interesting sentences?,What books (with lots of examples) will help me write better sentences?,0
Making simple sentences more interesting,Writers_32,What books (with lots of examples) will help me write better sentences?,How can I make the above sentence more interesting or better or unique?,0
What to do with cliched metaphors?,Writers_34,Wouldn't it be a big waste?,What should I do with cliched metaphors?,831
What to do with cliched metaphors?,Writers_34,What should I do with cliched metaphors?,Maybe just remove them?,0
At what point disappointment and frustration within the story makes the reader abandon it?,Writers_35,"Does Game of Thrones get any unpleasant when a whole bunch of characters die every season, for example?","Leaving hooking elements aside, at what point does exploration of uncomfortable aspects from the reader within the story (yes), beloved characters suffering and dying, and unthinkable plots make the reader just put something like that aside?",0
Approach to pop culture quotes in fiction writing,Writers_36,Is a single line precisely quoted a copyright infringement?,What if it's approximately quoted?,0
Approach to pop culture quotes in fiction writing,Writers_36,What if it's approximately quoted?,What if there's a foil character who attributes the quotes?,0
Approach to pop culture quotes in fiction writing,Writers_36,What if there's a foil character who attributes the quotes?,"For example, say something bad happens  A: They must be out of their brilliant minds  B: I heard that somewhere [thinks]  A: furniture   B: what?",0
Need recommendation re: online resume format,Writers_37,Is there a way to use symbols similar to bullets in these text-only online resumes?,Are there techniques for preserving tables in some manner?,0
"""Ocular"" versus ""Optical""",Writers_38,Is the wording of much consequence in this case?,"If so, which would be more appropriate?",0
Referencing another company's product in my product manual,Writers_39,What would be the correct way to note this?,What would be the proper way to note that Levi's is a trademarked brand (and obviously not my brand)?,248
Referencing another company's product in my product manual,Writers_39,What would be the proper way to note that Levi's is a trademarked brand (and obviously not my brand)?,"Also, if I'm understanding correctly from the research I've done, I only need to do this for the first reference in the manual, not every single time I use the word Levi's?",0
Should capitalization be used for emphasis for a character's tone?,Writers_40,"However, should capitalization be used for emphasis as part of a character's tone?","If the character solely speaks in a tone that is harsh, would it be viable to use capitalization as emphasis or should you resort to describing it beforehand and using normal text?",316
A long backstory right at the beginning,Writers_41,"But by doing that, would the readers get bored and want the story to start off already?",So what I ask is: would there be any problem if I leave it this way?,382
A climax where the goal is instantly achieved - Is it satisfying?,Writers_42,Question: Am I wrong in the assumption that the reader will feel cheated?,"Or will ending the novel with Steve turning epic-ly to face the hordes, resolve in his heart, be satisfying?",0
Too much death?,Writers_43,Is a gruesome ending simply not necessary?,Should I ditch this idea entirely?,0
How do I get from the plot outline to an scene-for-scene summary?,Writers_44,Which character are you following during this event?,When do you enter scene and exit scene?,0
How do I get from the plot outline to an scene-for-scene summary?,Writers_44,When do you enter scene and exit scene?,What goals do I have to keep in mind to figure out what the sequence of scenes should be?,233
How do I get from the plot outline to an scene-for-scene summary?,Writers_44,What goals do I have to keep in mind to figure out what the sequence of scenes should be?,"In other words, what ""rules"", or approximate rules, can I use to decide whether one scene is better than another?",0
How do I get from the plot outline to an scene-for-scene summary?,Writers_44,"In other words, what ""rules"", or approximate rules, can I use to decide whether one scene is better than another?","Also, what concrete processes can I use to work it all out?",197
How do I get from the plot outline to an scene-for-scene summary?,Writers_44,"Also, what concrete processes can I use to work it all out?","For instance, do you find it better to start with the opening scene and work from there?",0
How do I get from the plot outline to an scene-for-scene summary?,Writers_44,"For instance, do you find it better to start with the opening scene and work from there?",Make a chart of where the characters are at different points?,0
How do I cite royal names with their titles in MLA?,Writers_45,"For example, how would I reference Elizabeth-Charlotte of Bavaria, Princess Palatine, Duchess of Orleans (all being one single person and their attributes)?",Is there a common practice for royal names in modern language or is that just a thing of the past?,0
Is it ok to begin a new chapter with a completely new character/time/setting?,Writers_46,"I think I've written a pretty good chapter one, but now the question is: where do I go from there?",I mean: should I introduce a new POV character?,0
Is it ok to begin a new chapter with a completely new character/time/setting?,Writers_46,I mean: should I introduce a new POV character?,Can I jump ahead in time a little to somewhat after where the first chapter left off?,0
Is it ok to begin a new chapter with a completely new character/time/setting?,Writers_46,Can I jump ahead in time a little to somewhat after where the first chapter left off?,Can I switch to entirely different setting with a new POV character?,0
"Should I use the terms ""people"" ""person"" ""man"" and ""woman"" in fantasy setting?",Writers_47,"Now I'm wondering if it's okay to use the terms/words ""people,"" ""man,"" ""woman,"" and ""person"" even though the character from that different world is not human?",Or should I create a term specifically for it?,0
What is the difference between writing in the first and the third person?,Writers_48,What kind of story is better suited for each point of view?,Are there advantages or disadvantages inherent to them?,0
How to refer to complex job titles in cover letters?,Writers_49,What is the best practice for referencing the job title in this sentence?,"Is it acceptable to quote the job title with hyphens or should I simplify to an essential title like ""data scientist""?",0
What is the difference between limited third-person narrative and free indirect discourse?,Writers_50,"As an example, Jane Austen used it in Northanger Abbey:     The manuscript so wonderfully found, so wonderfully accomplishing the morning's prediction, how was it to be accounted for?--What could it contain?","Both keep the 'he' and 'she' pronouns characteristic of third-person narrative, but act like first-person by displaying the thoughts and feelings of the protagonist, so is there any difference between how free indirect discourse and third-person limited narrative appear on the page?",754
Self Editing tips/tricks,Writers_52,Does anyone have good tricks for self-editing?,Any tools?,0
