q1,q2,type_lvb,explicit_lvb,ans1,ans2,type_given,source
Are chloroplasts larger than nuclei?,"Specifically, are they larger in a leaf cell.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_2.csv
Are holidays in US safe?,Is it safe for a muslim to go to US?,reformulation,,,,PolarQ-PolarQ,bonnies_data/msq_dataset_4.csv
Are there any alternatives for people who are allergic to certain types of makeup?,"Specifically, I am interested in lipstick.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_1.csv
Are there any countries in the world with no speed limits?,"If yes, I'd like to have examples.",conditional,y,,,PolarQ-S,bonnies_data/msq_dataset_1.csv
Are there any good diagrams of antidepressant action on the web?,"Specifically, I am looking for a diagram which explains how the common drugs work to lay people.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_4.csv
Are there any legal constraints in use of Free Clip-Art supplied with Microsoft Office?,"Can one use it for a logo, in original or modified form?",elaborative,,,,PolarQ-PolarQ,bonnies_data/msq_dataset_4.csv
Are there any negative side effects to salvia?,Do you have any information on doses per extract?,separable,,,,PolarQ-PolarQ,bonnies_data/msq_dataset_0.csv
Are there any websites that can aid in a real criminal investigation?,"For example, I want to obtain information on a suspect, or crime scene.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_2.csv
Can a check ever expire?,"How long do you have before the bank won't honor the check anymore, legally?",reformulation,,,,PolarQ-WhQ,bonnies_data/msq_dataset_0.csv
Can adults get chicken pox?,The question relates especially to seniors (age 60+).,elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_5.csv
Can anyone give me the web address of the website that finds relationships between words?,"For instance, you type in a word and it shoots out 1000 other words that in some way relate to that word.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_1.csv
Can I overfeed my puppy?,How do I know how much she should eat every day?,separable,,,,PolarQ-WhQ,bonnies_data/msq_dataset_1.csv
Can I use my cousin's credit card number (with his permission) to pay a company online?,What are the rules or traditions about using other's credit card number for online shopping purpose?,separable,,,,PolarQ-WhQ,bonnies_data/msq_dataset_4.csv
"Can perfume """"go bad"""" over time?","I mean perfume, not eau de cologne.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_2.csv
