Index,title,body
0,How do I calculate the inclination of an object with an amateur telescope?,"Suppose I would like to calculate the inclination of a satellite from the ecliptic. Would it be possible to do this with an amateur telescope? How would I go about doing so?    Note: A good answer should tell what kind of telescope an amateur would need, what measurements they would need to make, then what calculations they would have to perform to get the inclination (or the ""instantaneous angular measurement from the ecliptic at the time of measurement""). "
1,How are the compositional components of exoplanet atmospheres differentiated?,"How are exoplanetary atmosphere compositional spectra distinguished from those of the parent star(s), from the composition of the planetary surface or any other factor?  Is it actually possible to determine the atmospheric composition precisely using this method?  Are there any specific examples of such an analysis having been performed on an exoplanet? "
2,Why can't light escape from a black hole?,"I've heard that light can't escape from a black hole. Can it? If not, why? "
3,Are astronomers researching or trying to find signs of worm holes?,"In many movies and in the popular culture wormholes are often referenced, as well as ""faster than light travel"", which seems almost to be the same thing, is possible.  Are astronomers seriously considering and researching this phenomenon? What could be the signature of wormholes? Would next generations telescopes as ELT able to detect such signatures? "
4,"Can ""dark matter"" be the additional mass from the speed of the Galactic Cluster?","Considering that the Earth orbits the Sun at 100 000 km/h and that the Sun orbits the Milky Way at almost 1 000 000 km/h, could it be possible that the galactic cluster orbits some super cluster at speeds approaching 1 000 000 000 km/h?   If it did, how would that affect the mass of the cluster and how would we know or be able to measure it?   Can you show any calculations to prove that this additional mass is not in line with what's measured for ""Dark Matter""?  "
5,Why is only one side of the Moon visible from Earth?,Why do we only ever see the same side of the moon?  If this is to do with gravity are there any variables which mean we might one day see more than we have before? 
6,How do star densities work?,"If we take a look at stars more massive than the Sun, their densities vary a lot. UY Scuti is an extremely low-density star that's only 8.5x more massive than the Sun, but is 1000-2000x its size. r136a1, on the other hand, is 256x more massive than the Sun, but is only 30x its size. Neither of them are main-sequence.   The Sun has a lower mass than both of them, yet it's also smaller than both of them.  It doesn't seem like mass makes a big difference. Both reach hydrostatic equilibrium at completely different sizes. r136a1 has a much stronger gravitational pull than UY Scuti, but it should also have much more radiation pressure, right?  So how can we determine the density of a star? Is there a formula? "
7,"Is it proper to refer to objects beyond Neptune as ""Kuiper Belt Objects?""","It seems to me that nowadays the more proper term is ""Trans-Neptunian Object"".  Is there any difference between Kuiper Belt Objects and Trans-Neptunian Objects?  If not, is one term preferred over the other? "
8,Precise declination of Moon,"The moon follows 5.14 deg inclined path. the ecliptic and the Moon's path coincide are called 'nodes', and they travel around the ecliptic in a period of 18.66 years.  Once every 18.66 years, the ascending node coincides with the vernal equinox, and the Moon will reach declinations of about +28° and -28° (much more than the Sun, which reaches ±23°); this is called a 'major lunar standstill'. 9.33 years later, the opposite is true, and the Moon will only reach ±18° during a 'minor lunar standstill'.  I read [website]The 0.88 deg, to time is 53 min, I think it seems to coincide with the fact the moon rises, 53 min sooner, over each day. Is this related to this? 13.2 deg * 4 min/deg = 53 min   The maximum inclination of the moon, for standstill, can it be specified by the eclipse point? On, august 21 2017, an eclipse occurs in 28.88 deg on latitude point. Is this angle the same as the inclination angle specified here: [website]I just want 28.88 deg = 28 deg 53' confirmed.  "
9,How do we know the current state of the universe by observing it from Earth?,"Since light travels at the constant speed and takes more than a billion years to travel from the distant parts of the Universe, how do we know the state of the distant regions? Do those still exist or not? Is our picture of the Universe outdated? "
10,What do gravitational waves allow us to understand?,"Before reading this question, you should read this paper.  From what I understood, we managed to detect gravitational waves for the first time.   Is this discovery going to help us understand something we haven't understood yet? Dark matter? Galaxy movements? FTL travel? Gravity manipulation, Interstellar style?   Though I understand the discovery, I'm a little confused about what it will actually improve for science.   So, what are the doors this discovery will open ?  "
11,Neutrino producton rate over time,Has the rate of neutrino production in the universe varied over time? Are there more or less being created now against the early days? 
12,"A non rotating asteroid of huge mass collides with earth. After the collision, does the length of the day on earth change?","A non rotating asteroid of huge mass collides with earth. After the collision, would the length of the day on earth increase or decrease? Why? "
13,What is the current accepted theory as to why Venus has a slow retrograde rotation?,"According to this NASA overview, the planet Venus is unique (amongst the major planets), Venus has a slow retrograde axial rotation, taking 243 Earth days to make one rotation (which is longer than its orbital revolution).   What is the current accepted theory as to why (and how) Venus developed this anomalous slow retrograde axial rotation? "
14,Can any information leave a black hole?,"Referring to this question, is there any information that can leave black holes? Are they causing a permanent information loss in our universe? "
15,"What is this thin, square-ish object on asteroid Bennu? How big is it?","What could this square thing be? Roughly how big is it? From BGR's Our first up-close look at the Bennu asteroid is a messy one:        rotated, 2x zoomed, and sharpened. unscientifically:   "
16,Can an astronaut ever reach a Black Hole theoretically?,"Ok, bear with me, while I try to explain the question I have.  I read that time slows as we approach a black hole.  So, suppose,theoretically, as astronaut is approaching a Black Hole. And he gets near enough now that time starts slowing down.  If you remember this equation: v=d/t  So, at the moment, t is going infinity, so it means  V is going zero. So the astronaut can never the reach the Black Hole because time is slowing down and its taking longer and longer for him to approach the Black Hole.  But then again, we know, a Black Hole sucks everything and that light cannot even escape it.  So, what's happening to the equation above then? [ this time it means v is going infinity and so, t is almost zero], so the astronaut will be sucked almost immediately.  Which one is the correct theoretical answer? "
17,Can a drastic change in a stars cycle cause harm or affect a nearby star system?,"If Alpha Centauri A our neighboring star happens to shift into a Red Giant or a Planetary Nebula, Will our star system be affected? And if so is there a ripple effect throughout the galaxy causing a disturbance or activating a nearby star to shift into a new cycle? "
18,Why is it said that the far side of the moon's crust is thicker?,"This video states that NASA has determined that the far side of the moon's crust is thicker than the near side's crust. How did they determine this?  Please note I'm not asking for theories or hypotheses on how this came to be, but rather if the difference in thickness indeed is measurable scientifically today.  [So off-topic: If it is in fact true, I favour the theory that the centrifugal force of the earth's gravity along with the fact that the far side is always pointing outwards, is responsible for this and not some other moon smashing into our moon etc. as is shown in that video.] "
19,What are the differences between a Black Hole and a Supermassive Black Hole,"From what I understand, the mass of a black hole should be nearly infinite, how much more massive can something get?    Is the name to be literally interpreted such that a Supermassive Black Hole just has more mass? Or rather, is a Supermassive Black Hole just a regular Black Hole with nearly infinite mass that is larger in diameter? If the difference is in fact a change in diameter, how are the changes in size with the retention of the immense mass reflected in the Supermassive Black Hole's gravitational field?  "
20,Navigation using moon phases,"How to navigate with possible maximal precision using moon phases?  The Moon is the brightest celestial body seen in the night sky, and it is possible to find even through moderate clouds. So it's a good natural object to use in navigation when a compass is not available.   A full Moon is quite an easy case - it's directly on the opposite site from the Sun. However, in the other phases, are there tables or mnemotechnical methods allowing to determine the north based on moon shape, assuming the time is known? Are they different depending on geographical height? Is it possible to estimate both north and the time of the night, when only the geographical height is known? "
21,highspeed black holes or neutron stars on (almost) head-on collision course and kinetic energy,"First: I don't think this is a duplicate question. There are related question on mergers of black holes that orbit around each other etc., so please read on.  I'm having a hard time picturing what might happen in the following scenario: Assume two black holes of the same size on an almost frontal collision course with a very high relative speed of x km/h (replace x with whatever would be necessary to enable the scenarios described below).  If their event horizons don't ""touch"" I'd assume their courses will change considerably but it would be a normal flyby - right ?  But what happens if their event horizons ""touch"", if their event horizons ""overlap"" just a few meters ?  On the one hand both objects have a massive kinetic energy with opposite directional vectors. And on the other hand nothing can escape below the gravitational radius.   Where does all the kinetic energy go ? Would the two black holes extremely deform, like creating a long string before they collapse into spherical form?  And what if in a similar scenario one of the two objects is a neutron star. Would the neutron star be ripped apart when it scrapes the black hole on high-speed flyby ? "
22,A question about using both the Simbad and the Gaia archive,"It seems a bunch of people, including myself, have got it into our heads to create a 3D visualisation of the stars around us - one where you get to fly around them rather than view them from the viewpoint of Earth.  This means, obviously, that I'm limited to stars that have parallax values, which in the case of the Gaia archive is about 2 million whereas in Simbad 100 000. The reason why I'd like to use both is that Simbad appears to have more useful information, including names and types of star. Also, amazingly, the highest parallax (in milliarcseconds) in gaia is in the 200s, which suggests that alpha centauri is not in the archive! My hunch is that Simbad is the place to go for nearby and named stars, whereas Gaia has higher numbers.  I imagine (perhaps incorrectly) that there is a way to identify a Simbad star on the Gaia database and vice versa. Gaia has a bunch of id values (solution_id, source_id, random_index) whereas on Simbad there's just the one (Identifier). I have the suspicion that Simbad may have more columns I'm not aware of.  In any case, my plan would be to query both archives, and weed out multiples based on an identifier of some sort. Maybe there's a third database that links the two? Maybe I'm missing something obvious? Perhaps there's the perfect page out there that tells me precisely how to do this which has eluded my googling.  Any help would be greatly appreciated. "
23,Why can we observe the Cosmic Microwave Background no matter the direction we look?,"I often read that the CMB was released from everywhere in the Universe, in every direction.   If that statement is true, can someone elaborate what ""everywhere in the universe, in every direction"" means ? If not, why can we observe it in every direction ? "
24,Is the colour of a wave from a far galaxy the same for us as for a galaxy which lies between?,"Because of the expansion of the universe, light from a far galaxy is redshifted. The expansion of the universe will make the wavelength of light longer. But is the colour of such light the same for us, as for an galaxy which is between us and the far galaxy.   I first thought that a further galaxy's speed was higher than ours, but I don't think that's right it is relative. But is the speed of the far galaxy from a view of the further galaxy higher than from our view? I don't think so because the universe is expanding faster the further you look. So for the further galaxy the speed of the far galaxy is less high than from our view because the far galaxy is further away from us.   So is the conclusion right that the colour of the same wave is more red for us on earth than from the further galaxy? "
25,What is the accepted theory as to why Uranus' axis is tilted so severely?,"The planet Uranus is another solar system anomaly, where according to the NASA profile has an axial tilt of 97.8 degrees, also considered to be retrograde.  This NASA summary ""Uranus"" suggests the current theory of a large planet-sized impact earlier in its history.  Does the planet-impact theory still hold true or have new accepted theories come to light?    Most of all, are there any results from any simulations available?  A note, this is posted as a separate question to my other question ""What is the current accepted theory as to why Venus has a slow retrograde rotation?"" as the axial tilt is significantly different. "
26,What is driving the expansion of the Universe?," Is it just the momentum from the Big Bang? If yes, how can it account for the acceleration of the expansion? Why isn't the collective gravitational force slowing it down? What part does dark energy play in the expansion?  "
27,"Determination of orbital elements for Trans-Neptunian Objects, how?","How are orbits calculated for Trans-Neptunian Objects?  I understand there are six standard parameters for defining an orbit (link) but I am not sure how telescope observations translate into these parameters.  Telescope observations tell us where the object is on the Celestial Sphere but can't even tell us (without a good spectroscopic line to do a redshift analysis with) how fast the object is moving towards or away from us.    Additionally, the motion of these objects on the sky is dominated by Earth's motion relative to the objects rather than the motion of the objects themselves.  This seems to me to offer additional complications.  My question is: how do 2-D observations get fit with a reasonable degree of accuracy to a 6-D parameter space with the additional complication of Earth's motion relative to the object?  Don't be afraid to be mathematical in your response. "
28,"What aliphatic compounds were found on Ceres, and how where they identified?","Los Angeles Times's article NASA's Dawn mission finds life's building blocks on dwarf planet Ceres says;     While the scientists aren’t sure exactly what the compounds are, the fingerprint is characteristic of material containing carbon-hydrogen bonds, and may include components like methyl and methylene.   I've located the mentioned Science article Localized aliphatic organic material on the surface of Ceres but it is paywalled.  What was found? Is it some spectroscopic feature? Aliphatic compounds are hydrocarbons that are not aromatic. Is there a spectral feature that says ""I am not aromatic"" specifically, or does this just mean that aromaticity was not detected? "
