Index,title,body
0,"Is there a special name for along-course elevation profiles of rivers, and where you can you find them?","Was discussing the terrain and rivers of Europe today with my father and it became apparent that a graph of the elevation versus course of a river would offer interesting insight, including a quick summary into the elevation of various cities of interest along the course, and some loose feel for the possible speed of the river in various spots.  I did find one image fitting the general theme of what I was looking for regarding the upper Mississippi River at an Army Corp of Engineer's website:    But I didn't have any subsequent luck in Googling the terms used there, nor on any additional terms, for rivers like the Rhine and Danube.  Are these along-course cross-sections made enough that there's a name for them?  And if so, is there any resource where such images can readily be found for major rivers worldwide? "
1,Global Land and Sea Surface Temperature Data,We are a spin-off from TU Munich and currently working on equipping a  CubeSat with a thermal imager.  The imager should be able to acquire thermal/ir images with resolution of about 200m/px. In the future we see a high potential for building a constellation of such satellites to enable a 10min temporal resolution over all surface temperature data on the globe.  Do you use any data beside those publicly available from NASA and ESA? Which ones? What may be some uses of such high temporal resolution surface temperature data? 
2,Sulfate reduction,"I read a document in which the authors stated ""Sulfate and sulfide ( bisulfide and dihydrogen sulfide) both exist within a system just in varying proportions, and aqueous speciation is dependent on Eh/pH. If one side of the equation changes, the other will transform to balance it out"".  The system they are referring to is an engineered wetland, with low amounts of labile carbon but was amended with gypsum and therefore has high sulfate concentrations.  The authors have stated that in deeper zones of the wetland (5-10m), where it is fully saturated, and where oxygen penetration is minimal, aqueous bisulfide would be the main form of sulfur that exists. However, they have provided no evidence, and the carbon that exists in that zone is highly recalcitrant (meaning it is not readily degradable by sulfate reducing bacteria). So how can they say that the main form of sulfur is sulfide in this zone if the sulfate reduction process is not occurring, or very limited, due to low amounts of labile carbon? Even if it is not reacting with metals to form precipitates.   Isn't it common for sulfate to be main form of S even in anaerobic zones? The sulfate reduction process sure is usually carbon limited in high sulfate systems (e.g. marine sediments and even salt lakes). As far as I know, the Eh/pH tell you about the stability of the species, but it does not ""magically"" transform the sulfate to sulfide.  Thanks "
3,"Relationship between pressure, temperature and density in meterology","I have been learning meteorology a bit on my own, and one thing that never gets answered clearly is the relationship of pressure, temperature, and density.  When I looked it up, the density of air at various temperatures varies quite a bit - if I recall, from something like 1.1 to 1.5 kg/m3.    My confusion comes from trying to understand weather formation.  A typical text says that, for instance, heating of the earth leads to thermals that rise due to their higher temperature and lower density, leading altitude increasing and to temperature dropping at the dry adiabatic lapse rate, then the moist adiabatic lapse rate, etc.  But it is always done using ""parcel"" arguments.  From basic thermodynamics, heating could lead to a combination of temperature increase, pressure increase, and physical expansion (if there is no fixed container).    Specifically, the ideal gas law gives:  [tex] or [tex] (ignoring the constant of R) or [tex]where [tex] equals density.  Am I wrong to assume that the simplifying assumption is that, to a first order approximation, the density can't really change much about an area since a parcel of air could expand, but the whole atmosphere locally can't (since the 'parcels' all abut)?  In other words, ground heating causes temperature to rise, and thus presumably pressure, but to a negligible degree decreases density?    This would seem to imply higher pressure from heating actually leads to a net kinematic effect of driving the column of air upwards (as molecular pressure against the ground increases), where it can expand against lower pressure air above due to the fact pressure falls quickly with altitude - but there really isn't expansion or a decrease in density near the surface itself.  The typical ""parcel lifted by a helicopter"" argument fails to explain how it really all holds together and actually happens, since there is no 'container' for the gas in reality.  Another way to see this is in this example.  Suppose I have a hot tub in Antarctica in winter (I have one in Idaho in winter which is close enough).  The ambient temperature may be -30C or about 240K, and when I open the cover there is water at about 30C or 300K.  I can see thermals climb; the air, perhaps, is heated to 270K (being generous).  But the new air that gets sucked in and heated over the surface to 270K and then rises would immediately seem to be at higher pressure than ambient air since [tex] I could even believe the kinematically more energetic air could cause an expanding 'plume' radially a bit as it rises, since the higher P and T slightly pushes out on less energetic ambient air.  But that just means [tex] is slighlty reduced to take into account the expanded volume of the plume; [tex] has dropped slightly, but nowhere near how fast it will drop if it gains altitude and has truly lower pressure about it.  In reality, it seems:   locally the (synoptic) pressure is close to fixed - and varies only a few percent globally at sea level; the gradient of pressure change is in the [tex] direction; local heating increases T and thus P, except to the degree that increased P allows it to form an expanding plume (which is a few percent, so second order); Really, the more energetic (kinetic) molecules have no where to go but up, what is really causing any updraft.    "
4,"What are typical ranges of rainfall drop sizes, speeds, and areal or volume densities?","I'd like to look into the possibility of using a Raspberry Pi and the PiCam module to detect rain, and to try to make some measurements of droplet size and rate. This could be done using an LED flash or a (modified/pulsed) laser pointer equipped with a fan-out element, synchronizing the flash/pulse with the Pi camera's electronic shutter for a ""freeze frame"" effect, followed by some Python image analysis (e.g. PIL).  This is for fun, and not meant to be a quantitative rain gauge necessarily.  In order to better estimate the challenge, I'd like to get some feel for the distribution of sizes, speeds, and either areal rates (drops per sec per square meter) or number densities (drops per cubic meter). I can convert between various units and histograms, but I don't know where to find a good survey to understand over what ranges these can vary.  See also Will long-term viewing of a sunny sky hurt the Pi Camera? for pics of a cool Pi sky camera by @ThomasJacquin as described here.  Edit: per this comment I should point out my Raspberry Pi will be within a few meters of the Earth's surface, where I can keep an eye on it. "
5,Why does Earth have two kinds of crusts?,"Why does Earth have two clearly differentiated kinds of crusts, namely continental and oceanic? How did they differentiate initially and why don't they get mixed up over time?  "
6,Conversion of body wave magnitude to moment magnitude,"I have been tasked with homogenizing a catalog of events obtained from the USGS website, however, the data is a mix of different type of magnitude measures. How do I convert the different type of magnitude to moment magnitude and what do they depend on? Is it a pure empirical relationship? "
7,What is Boomy McBoomFace?,"The EarthSky article Great Pacific Garbage Patch now 3 times size of France links both to the newly published article in Scientific Reports Evidence that the Great Pacific Garbage Patch is rapidly accumulating plastic and to the YouTube video of one of the authors Boyan Slat - The New Picture of the Great Pacific Garbage Patch (2018), which discusses both data collection and analysis, and the possibility and scope of potential cleanup efforts of a huge patch of garbage within the North Pacific Subtropical Gyre.  Near the end of the video, after 07:00 is shown a very large structure being welded. It's been humorously named Boomy McBoomFace in reference to the RRS Sir David Attenborough story and the UAV Boaty McBoatface.  Is this boom part of a subsequent garbage collection experiment, or a cleanup prototype, or something else?    Click the screen shots below for full size display:      "
8,What would happen to the Subtropical Ridge/Horse latitudes and Polar front if the Earth was rotating 5% faster?,Would they move towards the Equator/Poles? Stay in the same place?  What about if the Earth was rotating 10% slower?  Is there a rotation speed for Earth which will lead to 4 wind belts instead of 3 ? 
9,How did CO₂ originate on Earth before there was life?,"To start life there has to be [tex].  [tex]  [tex]  So to start this cycle, life needs [tex]. Where did the [tex] came from?   [tex]  Volcanoes erupt [tex] in the Atmosphere.  Is this the answer? "
