Index,title,body
0,Non-EU citizen with EU Blue Card working outside EU but with address in Germany,"I am in a weird situation here and need your advice. I am an EU Blue Card holder and I currently work for a company in Germany. I would like to go back to my home country but remain working remotely for this German company. I would still pay German taxes, healthcare, etc.  Am I correct to say that if I have an address in Germany (let's say I rent an apartment even though I don't physically live there) but am abroad, my EU Blue Card is still valid? Because in theory I never left Germany since I ""live"" there. Do they check passport stamps or only if I had residence registered? "
1,"Valid out-of-state DMV driver's license but class 7, moving from British Columbia to Washington","I just moved to Seattle from British Columbia, Canada and I have my class 7 license. According to dmv.com, ""If you have a valid out-of-state DMV driver’s license, you will not be required to pass any additional tests."" I have also heard that if you are over 18 and have two years of driving experience, you do not need to take any tests. Does this only apply to a full license? Or does it apply to someone who is over 18, has their class 7, and has two years of driving experience?  "
2,How to prove you live somewhere when you live at some friend house for the National Insurance Number in UK?,"Got a problem : I will apply for the National Insurance Number in UK, I need to prove I live somewhere they ask me for an invoice with my name ... : / Yet I live at my friend's house ... How can I prove it then ? Should I sleep in an hostel for a day ?  I asked my friend about the lodget agreement but she answered me a lodger agreement would mean my mum's household income would be higher so it would be bad for her.   Here is the official link about applying for a National Insurance Number :  [website]So far I have tried to open an account up and put our address on there, so that I have something official as Bank statements seems to be a good thing to prove address. Yet I told them I had no revenue but no mortage and that I lived with these friends since a bit less than a month and I got this message :   :     UNFORTUNATELY, WE CAN'T OFFER YOU A CURRENT ACCOUNT AT THIS TIME Hi   Mr XXX,      We're very sorry, but we won't be able to offer you a Current Account   at this time, as the submitted application didn't meet our criteria..      We came to this decision after looking over your personal details, as   well as information from trusted third parties including the Credit   Reference Agency (CRA).      It may be worth checking that your Photo ID image is clear as this can   also play a part in our decision.      In line with data protection regulation, you can review how we use and   store the information you give us here.      If you have any questions, please call us on 0345 08 08 500 or visit   us in store   I ask this question there following an advice from David K on Workplace "
3,How can I be with my Swedish wife for the birth of our child?,"My wife is Swedish and she has been visited me over and over again in my country, more then 8 times, which gets expensive.  Now my wife is pregnant with our child and she will give birth in February. I applied to Sweden for a short stay visa, for a 90-day visit starting in December. I will get the answer on Friday. I didnt apply for along stay visa.  I'm not working in my country and I just finished high school. Our mariage is registered at the Swedish tax agency. I'm worried that I'm not going to be with her for the birth of my first child.  Are there any laws or anything else we can use in our situation? I know we rushed a little in getting pregnant before even we settled arrangements, but it's very important for us to be together, especially right now.   What can we do if the 90-day visa is not be approved? "
4,How can I have my child born in Australia without going bankrupt?,"I've tried doing my best to research this subject on my own. Official resources are giving me conflicting information (more on that below). Unofficial (anecdotal) resources, such as forums, are giving me some worst-case scenarios, and now I'm dreading exorbitant hospital bills. The answer to this question could be the difference between free health care (as it's now in The Netherlands) and $15,000 or more in bills (if I am to believe anecdotal sources).  I'm looking for answers backed by official sources. Anecdotal answers can provide me with information and prepare me for what's coming, but I really want to know for sure.  I'm migrating to Australia from The Netherlands with my daughter and pregnant wife on a 482 Temporary Skills Shortage visa. When we arrive, my wife will be 7 months pregnant. As a citizen from The Netherlands, we are eligible for Medicare under the Reciprocal Health Care Agreements (RHCA). This should give us a Yellow Medicare Card:     A Medicare card is [...] usually green in colour, although interim cards are light blue and cards for Reciprocal Health Care Agreement visitors are light yellow.   To secure the TSS visa, we'll also take out an Australian health insurance that meets the immigration requirements, because it's possible that RHCA Medicare doesn't fully cover those. However, these insurances all seem to have a waiting period for pregnancy coverage, usually at least 12 months before the due date. Since my wife is due to give birth 2 months after we arrive in Australia, the insurance needed for the TSS visa will not cover the childbirth.  So, we can just rely on the RHCA Medicare for that, right?  Well, if you take a close look at the requirements, you'll notice (emphasis mine):     You’ll need to show your passport, evidence of your current visa and:         proof you have valid insurance in the Netherlands Health Insurance Scheme, or   your valid European Health Insurance Card with the initials NL      So here's the catch: in The Netherlands, you cannot stay insured if you do not receive income from The Netherlands and do not live in The Netherlands. I'll be employed by an Australian employer, only receive income from Australia, and I will no longer be registered in any Dutch municipality.  Hm, that sucks, but what about travel insurance?  Same deal. Our current travel insurance has worldwide coverage, but as soon as we exit The Netherlands, the insurance ends.  Does this mean that in fact I can't secure RHCA Medicare? It seems that I fall into an edge case where I can't get Dutch health insurance, nor travel insurance, nor Medicare, nor Australian health insurance that will cover the pregnancy and birth of our child.  We really do not want to migrate to Australia separately (as in, my wife stays behind in NL to give birth, then come over later). We'd also prefer to not delay the migration entirely, as my employer needs me to fill a position. If I delay, it would have to be delayed by several months (2 months until birth, then recovery before being able to pick up and leave).  You mentioned conflicting information earlier?  Yes. On one hand, not living in The Netherlands and receiving income from The Netherlands means I can't stay insured there. Also, when the intention is to leave The Netherlands permanently (as you usually do when emigrating), you can't stay insured there. On the other hand, the TSS visa is technically temporary, in my case 4 years (482 Medium-term stream). So perhaps even if my personal intention is to emigrate, according to the ""rules as written"" I'll be living and working outside The Netherlands temporarily. It's unclear to me which situation takes precedence.  What are my options to avoid a ~$15,000 hospital bill for care which would otherwise be free? "
5,Non EU citizen living in the uk,"I have been in the Uk on different visas for nearly 12 years now and have been married to an EU citizen for 4 and a half. Am i now allowed to apply for a permanent visa? if so what do i need ?  Thank you in advance for the help, Legal fees are ridiculously expensive :) "
6,What documents are required for the EEA family permit?,"I am a newbie here. My husband, an EU national (Italian), and I, non-EU (Nigerian) are planning to move to the UK from Italy, with our children (EU nationals). We have been married for 8 years, since 2010, but started living together from 2012. I have gathered the following documents to submit with the application:   My passport (non-EU) Italian Permanent Residency permit (copy) Spouse's passport (EU national) Children's Italian ID cards (copy) Marriage Certificate (Modello B, copy of the Nigerian) Children's birth certificates Certificate of Residency from my commune (in Italian) Tenancy Agreement(dated Feb 2015-Feb 2019) showing both our names with the same address (in Italian) Utility bills showing my spouse's name with the same address (2016, 2017) Hospital bills showing my name with the same address (2017, 2018) Spouse's EU national work contract, payslips, and last 6 month's bank statements (in Italian) Few marriage photos and recent family photos (about 10) Cover letter from my spouse EU national   I would like to know if the employment details and bank statements are really necessary to add?  Do I still need to provide evidence of relationship dated back to 2012 when we started living together. Although my husband was living there before I joined him, my name is on neither the utility bills nor the tenancy agreement contracts.  Are there any other things that are missing? "
7,Third-party citizen married to EU citizen to work in the UK,"I am a Brazilian citizen married to an Italian wife living in an EU country and I've got a job offer in England while outside the UK and we are willing to go.   I understand EU citizens have free-movement to the UK (so far) and the right to work there and I do acknowledge that spouses have the right to live/work there however because we have a baby she cannot work, therefore I would work alone instead of her start working and I ""inherit"" such right from her.  The question is: can we move there and I start working before her in the given scenario? If so, would it be straight-forward enough as going there and file for an ID/residence or are there other bureaucracies to look after before landing in London? "
8,Blue Card France,"I have seen plenty of answers for the the following question for Germany but I am specifically asking for France.  What happens if a person quits/losses their job in France after the initial 2 yrs but before the 3rd year. How long can they stay in the France looking for a job before they have to leave? What are the requirements on the new job?  I have seen conflicting answers on websites so I am sure there will be conflicting responses here as well. Thus, I would really appreciate of answers are supplemented with references of official websites or personal experiences. "
9,Expat needing to know about renouncing US citizenship,"Ok, If you renounce your US citizenship and are stateless, can you work? Can you register for residency? Everything I have read or watched, seems to just brush over a lot of the details. I am really looking for a step by step answer. Can anyone help me with this?  Kat "
10,Tax as an Italian resident,"I am a US citizen in Italy and just submitted my documents for dual citizenship.  I have residency in the Comune where I am applying. I will now be returning to the US.  I was told I need to keep the residency until my citizenship application is accepted.  On another forum I was told that I am liable for taxes on my US assets while I have my residency in Italy.  Is this correct information?  Do I need to keep the residency until I get my Italian passport?  Also can I apply for the AIRE online from the US?  Thank you, and sorry if these questions have already been addressed.  Theresa "
11,UK comparability diploma for IT council,"I am Portuguese and I am also a bachelor of Information Systems.  I would like to make a comparability assessment of my degree to join some university in the UK.  Does anyone have more accurate information on which council is appropriate to contact and ask for more details?  On my research, I found The British Computer Society. Is that one the right council?  Edit:  This is the link of a brazilian website giving information about the use of NARIC services or directly with the organization that will avaliate the diploma.  Pay attention to the following sentence:  Portuguese: ""Você pode ir diretamente ao órgão que vai validar seu diploma""  English: ""You can go directly to the organ that will validate your diploma""  [website]If you desire, you can translate the text to get a better understanding about what they are saying.  So, as I am trying to localize such a specific IT organ, I found out the [website]"
12,Do I need a tenancy agreement in my name for T2 Dependant visa [UK]?,"Im applying for my daughter to come join me in March 2019. She was born in UK but had to travel back for a few months as her mother needed to be back home for some family matters (The mother has a T2 Dependant visa until May 2019).  Since they have left, I have moved into shared accommodation where I pay for only 1 room. I dont have any tenancy agreement in my name as I saw no reason to pay for a full house when I needed only 1 room for myself.  Now that I am filling her application, I am asked for a UK address where she will be staying.   What address should I give? Should I give my current UK address? But I dont have a tenancy agreement for this.  What are my options? I cant even go rent a house from now, just for the visa, that will be very expensive and wasteful 4 months rent pay.  I am sure many people would have faced a similar problem to mine. Please advise what to do.  Thank you "
13,travelling out of country on L1B while TN i-129 petition is submitted,"My current employer got me the L1B. However, they were not interested to sponsor me for Green Card. In the meantime, I got an offer from another Fortune 500 employer that is willing to sponsor me, but can only take me with TN. They sent the TN i-129 application yesterday. Today, my employer told me that they are okay with providing required documentation for the sponsorship as long as I pay for the processing fees.  Is there a simple way to withdraw the TN i-129 petition?  If I go out of the country and come back, can I get in with my L1B (L1B expiry is next year)?  Will traveling and re-entering the country get the TN i-129 petition abandoned? "
14,EU Blue card application from Italy,"I've seen multiple questions regarding the EU blue card but I had additional queries.  I am an Indian working as a User Experience designer in Italy for almost 2 years.  I do get paid more than the threshold amount indicated on the EU website.   My question is if I were to apply for the EU blue card,   Do I need to get my Uni certificate evaluated? (I did a one year course here in Italy and I was informed that it is recognized by the Italian Govt.) In the requirements, they mentioned that you have to work for the same employer for 18 months after you apply.  Does this mean if I have already worked 2 years for the same employer and apply for the Blue card, I must work another 18 months before I can relocate to another country? Or does it imply 18 months from the start of my contract?   Can anyone help me understand this? "
15,"Get Permanent Residence now, or wait until March 2019?","I'm in kind of dilemma right now and confused.  So beginning of this November, 2018, I just completed my 5 years residency in the UK but my non-EEA family RC will expire in April 23rd. I'm married to an EEA member since 2013. Should I apply for my PR now or wait until end of March 2019 to apply for settled status? Also the future isn't clear as my EEA wife might be planning to initiate divorce procedure or move out of the house, however I can't tell when and how long it may take. If I wait until March and apply for settled status, should I still need to be member of EEA family to get the status? Also we have 2 kids and one has completed 5 years stay in November too. Please advise. Thanks "
16,Multiple Non-Immigrant B visas for Thailand?,"Is is possible to have multiple non-Immigrant category B visas for employment for Thailand at the same time?   I got an employment offer from a company in Thailand, and applied for a non-Immigrant category B visa with their invitation letter at the local VFS center in India. However a week later, I got another better offer from another company in Thailand itself?   Can I use the existing visa to go work for the other company? Or apply for another visa of the same category while there is an existing valid one in the same passport? "
17,Strategies for UK migration as a software dev?,"Goal: What would be the easiest way to migrate to the UK and live there permanently?  Possible Options I can think of:   Option 1: Apply for a job that offers Visa Sponsorship. Then get sponsored to move over under the 5 year visa. I'm not really fully in the range of Senior developer, so more likely to have luck with Intermediate developer jobs, which I don't think are covered in the skills shortage list.  Option 2: Apply for the 2 year youth mobility visa, and then apply for all jobs over there remotely, even if it's not visa sponsored. I'm unsure what would happen at the end of the 2 years? Option 3: Apply for the 2 year youth mobility visa, move to the UK with nothing and then apply for  contract jobs and the like. Option 4: Go and study something in the UK, and then try and find another development job after a year of studying.    My Status: I have been trying to apply for the jobs offering Visa sponsorship, but without achieving any interviews yet. People I have talked to usually recommend Option 3, but this worries me a lot because applying for jobs is really tough/stressful for me (I might be a low-mid grade candidate) and applying for jobs from a position of unemployment makes you an undesirable candidate and more desperate.   Background:   Home country: New Zealand  Desired Destination: London, UK  Field: Software Development  Experience: 4.5 years  Age: &lt;25  Education level: Bachelors "
18,can I drive a uk registered car with my greek driving license?,Just moved to the UK for a maximum period of 12 months. If I buy a second hand car can I drive it using my greek driving license? Does the license need revision or accepted as is? How is regulated the insurance policy regarding foreign citizens/ driving licenses? Thank you 
19,Eligible for German Blue Card. University is H+ on Anabin. However B.A.LL.B is not,"B.A.LL.B is quite a popular degree in India, being issued since the 80s. Although my university is H+ the degree it issued is not.   Do I need to write to ZAB?  Any suggestions on a workaround? "
20,Quitting job under Tier 2 UK and entering as tourist,"I'm thinking of quitting my job in the UK. I have a Tier 2 work visa valid until May 2019. I have plans to return to the US in March as my husband has secured a work visa in my home country. If I handed in my resignation for January, can I still stay in the UK? We also have trips planned abroad in February (already paid for). Will I be able to enter back into the UK in between our trips as a US tourist, even if my work visa gets cancelled?   Thanks "
21,"As of Nov 2018, is it possible to take a week vacation/break between jobs while on H1B (after receiving the receipt number)?","I'm currently employed and found a new job. The other company filed the H1 transfer and yet to receive the receipt number. I was planning on taking a week vacation between the jobs. Once I receive the receipt number of transfer, Can I take one week break and join the new company? Will that cause any issues in future? I don't have any green card processed. "
22,"Freelance Net ""Salary"" vs Permanent Employee Net Salary - a Tough Decision","I have been working in Germany on a salary of 86.000 EUR a year. As someone married and not having my wife working, I am having 4.400 EUR net per month.  Now I have the opportunity to accept a Freelancer project paying 600 EUR per day during a year.  I have tried to calculate my net ""salary"" income to see if that would be a a better ""net salary"" going for this project.  What would be an estimate of a year of net income I would get after all tax deductions, pensions, health insurance, if I take the Freelance Project?  What is the formula to understand the difference between the two projects? "
23,How can I extend my French working holiday visa?,"I am a Canadian. Currently, I am on a WHV for 1 year. I want to extend it for another year, and it is said to be possible on the Government web site. Has anyone successfully done so? If yes, where did you go to extend your visa? "
24,Registering French nationality - name change and where to get help,"My mother was born in France and both of her parents are French. She moved to the UK and married my (British) father. When she did this, she changed her surname to his. My parents were married when I was born but they divorced shortly after and my mother moved back to France. She stopped using her married surname when she moved back to France and I don't think the French government were ever made aware of the marriage or of my birth.  I'm now 25. I was born in the UK and have always lived in the UK. I speak pretty good French but I'm not completely fluent. When I was 21, I changed my surname by deed poll. I have my English birth certificate in my old name, the deed poll and my British passport in my new name.  I can also get my mother's French birth certificate, French passport, English marriage certificate and English divorce certificate.   I am self employed in the UK and my Self Assessment will show an income well above the SMIC in the 16/17 tax year.   I want to register my French nationality to get a French passport. The key motivation is to make travel within Europe as easy as possible after Brexit. I am also motivated, to a lesser extent, to have a French passport just to feel more a part of France.  Despite ""being"" French, proving it and obtaining a French passport seems like a very complicated process. I'm trying to figure out:   If it's even worth the effort (assuming Brexit doesn't automatically afford British subjects the right to travel in the Schengen zone and I continue to travel within the EU regularly), I believe name changes are going to complicate this. Is the French government likely to recognise my deed poll, given changing one's name requires (I believe) a court order in France? Can anyone confirm the only real hurdle to getting the passport is obtaining a CNF as described in this link, which is simply a case of assembling documents and delivering them in person? Will I need to attend any language/culture tests? Would it be sensible to employ a solicitor to help?  "
