Index,title,body
0,"Is there significance behind the name ""Scout"" from To Kill A Mockingbird?","I am asking this question in response to the response to this question, which was more broadly asking about the significance of the names in To Kill A Mockingbird. However, it was closed as too broad. As I stated there I have not done a significant amount of research because I am not yet finished with the book. Is there significance behind the name ""Scout"" from To Kill A Mockingbird? If so, what is the significance of ""Scout""? "
1,Is this fictional event of a ship becoming airborne because of a storm based on a real event?,"In the book Nation, by Terry Pratchett, a sailing ship becomes airborne from the force of a storm, and is pushed inland quite a distance, before becoming lodged in trees.  Is this possible? If so, are there records of it happening to other sailing ships, that Terry Pratchett could have possibly used as inspiration? "
2,What does Nuvoletta's disappearance signify in Finnegans Wake?,"I am studying Samuel Barber's art song ""Nuvoletta"", whose text is adapted from James Joyce's Finnegans Wake. I have not studied Finnegans Wake. The music is very beautiful.  As I understand it, Nuvoletta is likened to wind, dew, and cloud, and she disappeared in the end of the excerpt. What does the event suggest and signify? What is the background of Nuvoletta (whom I suppose is a character in the novel) that makes such metaphor appropriate?   Ms Bird sings Nuvoletta Barber's adaptation of lyrics  "
3,"What was ""Rip Van Winkle"" based on?","I was recently surprised to discover that the story of Rip Van Winkle is credited to the US author Washington Irving, who published it in 1819. I'd always vaguely imagined it to be a Brothers Grimm story or an old (probably European) folk tale. It certainly has the feel of such stories.  Was it, in fact, based on one? Or did Washington Irving come up with the story out of whole cloth, inspired merely by the idea and atmosphere of traditional folk tales in general?  Was ""Rip Van Winkle"" inspired by a particular traditional folk tale or older story? "
4,"To the Lighthouse -- ""Whitening before rain""","From Virgina Woolf's To the Lighthouse:     It was fringed with joy. The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing brooms knocking, dresses rustling -   How do leaves ""whiten before rain""? Is this something common to all plants?  Additionally, is a ""rook"" a type of raven, or what is a rook? "
5,How did people know the meaning to Shakespeare's new words?,"I don't pretend to know much about the history of literature, but I was always told that Shakespeare invented an awful lot of words, 1700 is usually the number given. How did anyone know what they meant? I know some were portmanteaus, and some were nouns transformed into verbs, the meaning of which may have been discernible, but what about entirely new words he made up?  Did each play come with a list of words he'd invented? Was there a glossary attached to his works? Or did he just tell the actors what they meant and let them try portray the meaning to the audience?  For example, let's say Shakespeare invented the word ""mimic"". How did this word come to mean or was discovered to mean ""thing that copies another thing"" or  ""to copy another thing""? "
6,"Where did the idea of a ""true name"" come from?","There's a common trope in Western fantasy that, up until now, I've sort of taken for granted: the ""true name.""  This is the idea that all things have true names that are somehow more closely linked to what the thing is, and that knowing it grants some degree of power over the thing. This has many forms and tropes, but they all have the exact same underlying elements.   Most commonly, though, it's used as a plot device with regard to people:    That in order to figure out someone's true name, you have to totally understand them.  That true names are to be kept secret at all costs.  That finding your own true name requires some sort of developed sense of self-knowledge.  That knowing someone's true name allows you to bend them to your will.    Some works seem to apply these to objects, or ideas themselves, but they ultimately stem from people and (more generally) sentient beings. Still, the idea does seem to show up in one form or another in many fantasy books.   Where did this idea come from, originally? Does it have a clear source? "
7,Did Shakespeare consider Julius Caesar a tyrant or a martyr?,"I've seen the Shakespeare play Julius Caesar interpreted in two different ways (by people with different social and political views, naturally):   either Caesar as a power-mad tyrant who got his comeuppance, and Brutus and Cassius as freedom fighters sadly defeated by Caesar's former lackeys who now sought power themselves; or Caesar as a martyr murdered before his time, and Brutus and Cassius as power-hungry killers on whom righteous vengeance was taken by Caesar's friends.   What is the evidence - either from the text of the play itself, or from surrounding evidence, if any - of which of these interpretations the writer himself intended?  Note that I'm not interested in any analysis of actual historical events, except inasmuch as they may inform us about the play by comparison. I'm asking about how Shakespeare was trying to portray Caesar and the conspirators who killed him. Or to put it another way (assuming everyone involved thought themselves in the right), from whose point of view was the play meant to be written? "
8,Why do the Grayer twins switch places?,"This question contains spoilers for David Mitchell's Slade House.  The first four chapters of Slade House end with the narrator in the twins' attic, sitting around a candle with them. I noticed that during Sally's viewpoint, they've switched places around the candle:  Nathan     Lady Grayer on my left, but she's younger now, younger than Mum. To my right is Jonah Grayer but he's older than the Jonah in the garden.   Gordon     On my left there's Chloe, in a hooded padded robe thing. On my right there's... a male Chloe.   Sally     To my right sits Kate Childs, the Wicked Witch of the West, dressed in a gray Arab-style cloak thing, but now in her midthirties. Have I really been here so long? Have all those years been stolen from me? To my left hovers another vaguely familiar face... Jesus, it's Melbourne Mike.   Freya     Left of the candle hovers a woman in her midthirties. She's familiar... it's Maggs the landlady, but twenty year younger, slimmer, blonder, smoother-skinned and eerily beautiful. Right of the candle is a man of the same age, also blond, and also known to me... as I study him, a young Fred Pink emerges from his face.   This seems like a mistake to me, but is there any evidence whether or not it really is (from inside or outside the book)? Has this been changed in another edition, has Mitchell commented on it, etc? As far as I can tell from the story, while the twins can work all sorts of magic, switching places in the attic should be impossible, since time doesn't pass in the attic between these scenes. "
9,"Do I need to read all the supplementary material for The Expanse, and in what order?","I want to read The Expanse, but I'm kind of confused about which to read first and what I actually need to read. So far as I can tell The Expanse is a series of novels that fall in roughly chronological order, but there's also a number of novellas and short stories which jump around the chronology.  I figure the shorter stuff is going to be harder to find (published in magazines, etc). Does it matter what order I read the non-novel material in? Can/should I skip the non-novel material entirely? "
