Index,title,body
0,What is this blob found at the edge of a puddle on a forest logging road?,"Exploring the woods of the Adirondack Mountains, this gelatinous blob was found near the edge of standing water on a logging road. The entire length of this thing is probably just under 10 inches and it seems to be about an inch thick (didn't measure). The road was used about a year ago, maybe more, and has existed for quite a while. The puddle doesn't really drain, so it's there most of spring and whenever there's a lot of rain.    There's not much human activity around this spot. Upstream of it is more forest for many miles. Of course being a logging road and a place where a photo was taken, there is some human influence and potentially petrochemicals introduced.  What could this blob be?   My first guess is poop but that doesn't seem to be the case because from what I've seen with dog poop it gets liquefied and dispersed by rain and water, not turned into globs like this. Beyond that, I have a hard time making any concrete guesses. A mountainous jelly fish? Maybe some kind of bio-chemical reaction from a few different 'ingredients' in the puddle? "
1,Lake Erie / Presque Isle Water Level,I was up at Presque Isle (Erie PA) today and the water level was a foot or more higher than I when I was up there in the summer last year. I kind of surprised as I did not think it would be subject to significant changes in water level.  How much can the height of the lake fluctuate over a year?    What time of the year is usually highest and lowest? 
2,What knot is this that starts off like a taut line hitch but ends differently?,I thought that Les Stroud was about to make a taut line hitch. But at the end he did a couple of things a little different. What is this knot? Does it hold better than a taut line hitch?     
3,Will bobcats climb cacti when not in fear of their lives?,"There are pictures of bobcats climbing on top of really tall cacti, the one story I read says that the reason the bobcat climbed the tree was to get away from a mountian lion who was trying give it a hug eat it.  Would a bobcat climb a cactus if it wasn't being chased by a predator? "
4,How can I help an injured crow fledgling with a hurt leg?,"I found this guy right under my window, huddled in a corner and bleeding a lot (for a crow) from his leg. You can see that the leg is sort of twisted backwards on these two pics, and you can see where he was bleeding.        Me and my family held him down and sprayed antiseptic on his wound and most of his leg, which he didn't mind too much. Over the next two days, he managed to stop bleeding and seemingly recover, becoming much more active and lively. The thing is, he can't fly. But he was constantly hopping on things to try to get outside of the garden (though he didn't fear us, he just wanted to get back to his parents, presumably).       The thing that I'm worried about is whether his family is going to accept him back if we send him out again. We sent him out already once, and a neighbour found him huddled in a corner just like the last time, so he brought him home (though the crows sounded angry at him as he was doing so).  My grandmother disregarded our plan and put him out again in the morning while we were asleep, and the cawing woke me up. What I really need to know quickly so I can make a proper decision (whether to try to bring him back into the garden, which is very much near the nest, or whether to let him take the chances out there) is whether his family is going to abandon him for not being able to fly and for having an injured leg. I am PRETTY SURE (I'm not absolutely 100% sure that it was him but I'm decently sure) I saw a crow feeding him directly with my binoculars. However, I also saw that another fledgling that looked similar was flying.  The question is, if he can't fly and if he has a limp in one leg, will he survive? Will his family teach him how to fly, or will they abandon him for not knowing how to fly yet? The area where we live has a lot of stray cats, so that's the big problem.  Thanks, I hope someone can help me figure out the best decision. The reason we wanted to keep him in the garden a bit more is to feed him and wait until he can learn to fly in a safe environment that cats are more unlikely to enter. "
5,Were elk solely plains animals before the Europeans came?,Someone was telling me that elk were solely plains animals before they were driven to the Rocky Mountains. They mentioned the account of Lewis and Clark and that they said there were no elk in the mountains and only saw them on the plains.   Since Lewis and Clark only went through one section of the west and were not exactly biologists I could see how they might get things wrong. On the flip side they were one of the first to write an account of the west while it was pristine.  So was there evidence of elk in the rocky mountains? Were they really driven off of the plains? 
6,Why is there no Wilderness Area within Grand Canyon National Park?,"This 1998 Draft Wilderness Management Plan proposes to set aside large parts of Grand Canyon National Park as wilderness.  However, despite large areas being declared ""Wild"" in the park backcountry management and wilderness areas in Kaibab National Forest (such as the Kanab Creek Wilderness and the Saddle Mountain Wilderness) and in Grand Canyon-Parashant National Monument (such as the Mount Trumbull Wilderness and the Mount Logan Wilderness), no part of Grand Canyon National Park is currently designated as a federal Wilderness area.  This contrasts with Zion National Park, where almost the entire park is part of the Zion Wilderness or the LaVerkin Creek Wilderness.  What happened?  Why is no part of the Grand Canyon declared as a Wilderness Area? "
7,Is altitude tent helpful in preparation for climbing 7000-8000m mountains?,Climbing extremely high mountains requires a long time (weeks together) to acclimatisation to the altitude. Is it possible to reduce this time by adding sleeping in Altitude tent to the preparation trainings? Is altitude tent something worth buying? 
8,Hanging food on the appalachian trail,"While bears are located all along the Appalachian trail, in most sections they are rarely seen. During prime season there is enough use of the trail that hikers are often aware of problematic areas. This is especially true at shelters. Mice, raccoons, and other smaller animals are much more bothersome. My understanding is that the PCT bear hang method is designed to keep bears from getting your food.  Are there modifications that should be made to a PCT hang to prevent rodents and small animals from getting the food?  If you are not worried about bears, but are worried about small animals, how should you hang your food? "
9,How to keep socks from wicking rain off pants into boots,"My wife and I have been very fortunate in our long distance hikes - we've never been rained on except for our last day on the way out. So, while we have rain jackets that we pack, we've never packed rain pants or anything like that. We do have waterproof (Gore-Tex) boots.    Recently we were day hiking in the rain and our pants got so wet that our socks started wicking moisture out of the pants and into our boots. So we need a way to fix this.  It seems like gaiters or rain pants are the two fixes for this. Our pants are quick dry so I'm not as concerned about them getting wet.  Gaiters seem like something we could wear all day if the weather seems iffy (under our regular pants but over the boots and socks) while rain pants would be something we put on when the weather starts to get bad. Is one of these a superior choice? Are there other alternatives we should consider? "
