Index,title,body
0,How much should you tell your children about your sorrows and joys?,"I come from a house where no one talked about anything except paying electricity bills, rent, or studies.  I was never asked questions about myself, my social life, friends or lack of them etc. My parents never told me anything about their lives.  I want my child to share her sorrows and joys with me so I think I will have to start first by telling her about myself. This way I will set an example that it is normal to talk about your life to parents and vice versa.  At what age should this be started? What is the way to start this? What should and shouldn't I talk about? "
1,How soon until I can take my newborn to take a walk outside?,"I understand that newborn's immune system is still weak and crowds/strangers are to be avoided. Knowing this, how soon can I take my newborn outside, for example to take ~1 hours walk in a non-crowded park? Any particular things to pay attention to when doing this? "
2,How can a parent who is known by their child or teen not to be teetotal raise their offspring in sobriety?,"Individuals up to 18 yrs old (or 21 in some jurisdictions) are not supposed to drink alcoholic beverages. But it is an open secret that this obligation is being notoriously broken and convincing children to actually keep it is a great challenge for parents.  Can the very fact that a child knows their mother or father does occasionally have a drink prompt them to drink prematurely? Can this make it more difficult for such a parent to talk to their child once they find out the child was drinking prematurely?  I remember watching a TV show were a mother returning home with her quite young child found an unexpected party thrown for her there. And she did have one drink there, though somewhat grudgingly, for she was kind of irritated with this surprise party. Later the show humorously hinted the child got seriously drunk there.  This made me think, how could such a mother talk to her child after this party?  “But Mum, you were drinking this yourself!”  “I can, you can’t. Fine enough?”  I suppose such a dialogue isn’t going to be any helpful…  Or should parents of children of any age be teetotal to gain credibility while expecting their children not to drink? "
3,How do you prepare a toddler to sleep in a strange place (a hotel room)?,"We're preparing for our first overnight vacation since my son has outgrown a crib.  He's been in a ""big boy bed"" for several months now, and still is very proud of this fact (and very proud of his bed in particular).  The last time we traveled overnight, my son was less than a year old.  Now he's two-and-a-half.  I'm a little worried that he might not handle sleeping in a strange place as well as he did when he was younger.  Is it common for children of that age to become upset about sleeping in a strange bed?  Is there anything I can do to prepare that might make it easier on him? "
4,How to deal with two 10- and 12-year-old brothers fighting?,"I am a father of 10- and 12-year-old boys. Both used to play happily and regularly and fought on occasions. The younger boy used to complain about his older brother with some deep cries and proof of the older boy hitting him hardly.  I used to be in a seperate room from the brothers. I travel a lot and find less time with kids. I, at times, get angry with the older boy and shout at him to not hit the younger boy. But my wife used to tell that the younger boy starts to hit his older brother playfully and the 12-year-old, being irritated, hits back.   As a father how do I handle this situation without hurting any of my kids?  How to solve the situation with the younger brother being hit by lovable, good older brother, who loses his patience with his younger brother's regular playful ness? "
5,How do I deal with my baby pulling herself up in her crib?,"My 6 month old daughter has started to pull herself up to a kneeling or standing position. It's like someone flipped a switch-- she went from not climbing on anything to climbing on everything, all the time.  Which is great!  The problem is when we go to put her to bed.  My husband and I are pretty hands-off during her bedtime.  We put her to bed, say goodnight, and leave.  She usually fusses for about 5 minutes, but goes to sleep.  But now she pulls herself up on the crib walls and cries because she gets stuck there.  Unless I help her down, she'll mostly only get down by falling over. I'm afraid that she could hurt herself, and it's taking her much longer to get to sleep.  Would bumpers for the crib be safe?  What should I do?  (Note: I have lowered the mattress on her crib, so she's not in danger of falling out, just falling and bumping her head on the crib bars.) "
6,Can my 18 months old boy learn from watching movies?,"Everyday, my 18 months old boy is always asking to watch a movie by coming to my laptop and requesting to watch movie by talking with his baby talk style. I have a good serial cartoon movies for him. But sometimes he feel bored with the same movies which I chosed for him.  Before I am going further, actually, can my 18 months old boy learn from watching movies? If it is yes, do you have any recommended movies which has good contents for my boy to learn? "
7,From what age should I require the child to speak the foreign language which I want her to learn?,"Considering: Should I make my child respond to me in my language? and Enforcing minority languages at home  The child is currently 2 years 4 months old. I speak to her in foreign language X. Other people speak to her in native language Y.   Child understands X but prefers to speak Y. I think she finds Y easier to speak.  I want the child to learn to speak X. Until she starts speaking X she won't learn how to speak it.   So, from what age should I apply the tactic that ""I will reply to you only when you speak in X with me""? "
8,At what age can we expect a baby to be carried in a back pack baby carrier?,We don't intend to purchase a stroller. We intend to purchase a back pack baby carrier. At what minimum age is it considered safe to put the baby in the back pack?  I think just born babies can not be put in the back packs since they can't support their heads(?). At that age we have no choice other than to carry him in our hands? Do we? 
9,Have there ever actually been any studies proving some immunizations cause autism?,"   Possible Duplicate:   What are the objective arguments against immunizations for infants and children?       I have heard a lot about autism being caused by some immunizations, but haven't found any studies actually proving this.  Have there been any?  Or have there even been any strong correlations?    Saying something like ""nearly all children with autism have had immunizations"" means nothing since over 98% of children have been given immunizations.  That's pretty much like saying ""nearly all autistic children fit within 98% of the scope of all children"". "
