Index,title,body
0,Should my dog be able to clean out an appropriately sized Kong?,"We have a Kong classic for our 1 year-old dog. She loves the Kong and spends plenty of time with it, but there always ends up being about half of an inch of peanut butter stuck at the very bottom of the interior.  Does this mean that the Kong is too small for her tongue? Should she be able to clean out thoroughly an appropriately sized Kong, given enough time? "
1,House gecko for sustainable basement insect control?,"I'm playing with the idea of getting a house gecko and letting it live in my basement to feed on any insects it may come across.  I'd like to keep a small controlled habitat for it but leave it open so it can come and go as it needs.  In the winter however, the basement isn't fully heated. Some but not all and not to as high temperatures as the gecko would prefer.  Would the gecko know to seek out the warm habitat or might it just wander off, get lost &amp; potentially die?  Same question applies for food &amp; water. If I keep a small supply of water &amp; mealworms (or other non-traveling bugs), will the gecko know to rely on that area for sustenance?  It would have access to miscellaneous spiders, beetles and other random household insects (some flying - moths, etc) - Nothing all that large gets in unless let in.  It would have sunlight through windows as well as many dark hiding places. The basement also gets regular visitation.  Came across this as well: [website]"
2,"Inactive and scared inside, rambunctious playful outside", We just got a new puppy 2 days ago. Since we got her she has barely moved. Inside she lays around scared but outside she is a completely different dog. She plays she runs but she is still very shy. She was outside in a pen since she was born so I know this is a new experience for her. She won’t walk around the house I have to carry her everywhere and even carry her outside. We have an older dog that she loves but won’t follow her around like I was hoping she would. Is there anything that I could possibly do to help the transition from dirty pen to loving home???  
3,Dog continually licking thighs,"My oldest pet dog (male, 2.5y/o, shih tzu/bichon mix) has had a little bit of a problem lately, he will not stop licking his thighs.  We've done this:   given him small doses of dog benadryl (we thought it might be allergies) given him pain medication (we were told from an emergency clinic that his knees might be graded, but the chiropractor and his vet seem to think he's healthy) tried to rub his thighs for him and stretch out his leg a bit   Here is a video of how ""extreme"" it is (he will do this for upwards of 5 minutes at a time), and here's a picture of the aftermath:    Things we think that it may be:   this summer was his first time getting a summer cut that trimmed off almost all of his fur (normally we leave him a little bit, but this summer was warm). Maybe it's itchy? We have a second dog, one year younger, exhibiting no such issues though. he's bored (he used to lick his paws, so we started letting him take a bone to bed, etc), but this seems to be going on a bit long for boredom he's allergic to something he's actually in pain (he does not express pain with yelping like our other dog does) or, the worst case, his knee is actually in a bad situation and needs to get surgery or some such.   At this point, we're genuinely at a loss of what could be wrong with him, since we're getting conflicting information from the professionals that take care of him. Is there anything I'm overlooking that could be wrong? "
4,When can I remove my dog's bandage?,"My dog recently had surgery to correct his luxating patella. Poor boy's only a year old...  The surgery was only 3 days ago and his bandage has already started to slide down his leg, exposing part of the incision and two staples.  The top edge of the tape now appears to be putting a lot of pressure right in the center of his incision and he's begun to avoid moving more than usual; I am assuming it is pretty painful. :(  Is it too soon to cut off the bandage for him? Should I wait until Monday to bring him to our vet and have them examine him then? I don't like thinking he could be in such pain for 2 days...  I do not see any oozing from the wound yet, but he has started licking at it on rare occasions (we have a Cone of Shame, but have not yet used it). "
5,GSD Female cancer when not mated?,"Well I have 3 year GSD female. She's very healthy. She's not spayed.  I want to know that is it true that if my dog doesn't get mated/reproduce a baby she will have cancers. Is it true?  I just don't want puppies, well the fact is I can't take care anymore. I don't want to be inhuman and sell the puppies to someone. She haven't mated never yet. Please tell me will she have cancer? "
6,Is this kind of puppy's stool normal?,Is it normal that 13 days old puppy's stool is liquid and with foam (little bubbles) ?   Today I notice that one of the 4 puppies made that kind of stool and at the same time the puppy screamed loudly  like if someone were hurting the puppy. So the puppy felt pain while doing it.  Why?  Should I take the puppy to the vet? Or is something passenger?        
7,Green water after refilling dry tank with no fish,"Several months ago, I moved to new city and had to drain my 20-gallon tank and give away my fish. The tank sat empty (aside from the gravel) for several months. Last week, I decided to fill it back up, add some bacteria (Tetra brand, I think), and let it run for a couple days before adding fish. The day after I filled it, everything looked fine when I went to work. But when I got back, the water was like pea soup. I changed about 50% of the water and waited a few more days...it's still green, though not as much. Today, I changed about 25% of the water.   What I can't figure out is, why did this happen and what do I do about it? From what I've read, free floating algae is caused by a) too much light, and b) too many nutrients. But, the tank is in a dark room and the light wasn't even on that day. I've also kept the light off since this happened. I don't know where any nutrients could be coming from since there are no fish in there. My only guess is that maybe algae that had dried on the gravel is decomposing. Could that be it? And if so, do I just need to keep changing the water until it goes away? Also, is it safe to add fish, or should I wait until this is resolved? "
8,Aquarium Salt and Pink Salt,Is Himalayan pink salt okay to use in fish tanks? I have read that aquarium salt is good for conditioning water but I was curious if pink salt would do the trick as well? 
9,Keep Gerbils Quiet,What is an appropriate way to keeping gerbils quiet?  They make to much noise and I live in a small space I am not sure what to do.  It keeps me from sleeping.  Are there soundproof cages maybe? 
