Index,title,body
0,Are there official rules for touch rugby?,"Touch rugby is a sport widely played in New Zealand and Australia, similar to rugby league except the main difference is that the person with the ball is touched instead of tackled.  To the best of my knowledge (mine, and Google's), there is no official rules for touch rugby, or even a touch rugby federation or similar.  This is a big problem in games at school, where technical points get brought up and no-one knows how to handle this.  Are there official rules for touch rugby? If so, where can I find them and who were they made by? "
1,During what time period was the outcome of roller derby matches primarily fixed?,"One of the persistent stories I hear about roller derby is that there was a time when the outcome was entirely fixed. I have had many people involved in it assure me that that was a phase of the past, and that today's matches are legit. That said, I'm a fan of professional wrestling, and, well, the same has been said about that over the years, right up to current wrestlers maintaining kayfabe even with direct questioning.  While this may open me up to one of those ""well, if you know we're going to lie to you to preserve the myth, why do you ask?"" situations, but during what time period were roller derby match outcomes fixed and are they still fixed today? "
2,How long does it usually take to take a corner kick?,"After a corner is awarded (when ball is knocked over the goal line), how long is it before the corner is actually delivered, in the top leagues or in internation games?   Is there a maximum amount of time players can use up before taking the corner? What about time for attackers/defenders to get into position? "
3,What is the most match points saved by a tournament winner?,"Recently Martin Kližan won ATP tournament in Rotterdam. On the way to the final he saved 8 match points (5 against Batistuta Agut and 3 against Mahut).      What is the record for the most match points saved by a tournament winner throughout the tournament? (What is the record for ATP tournaments, WTA tournaments, Grand Slams?)      We have a similar question about most match points saved in one match: Maximum match point saved in a tennis match? From the players mentioned there, Adriano Panatta saved 11 match points in his first round match at 1976 Italian Open and also won the whole tournament. The tournament was a part of the Grand Prix tennis circuit, which was a predecessor of the ATP World Tour.  Wikipedia list number of match points saved by Grand Slam winners here, although I am not sure whether the list is complete. (Here is link to the current revision of the article.)  According to this answer at Quora, Grand Slam record is 5 match points saved by Manuel Orantes at 1975 US Open. (However, no source supporting this claim is given there.)  This article on the ATP Tour website and also this tweet say that Kližan's 8 match points is the most at an ATP tournament since 2001. But it is not mentioned who saved eight or more match points and still won the title in 2001.  EDIT: A recent article on ATP Tour website mentioned that Félix Mantilla Botella won 2001 Palermo after saving 9 match points in the semifinals.  EDIT2: On WTA tournaments, the highest number I have seen is 8 match points saved by Andrea Petkovic in 2015 Antwerp. WTA:  Petkovic Caps Dream Week In Antwerp (Wayback Machine) At 2001 Miami, Jennifer Capriati lost in the final to Venus Williams, despite having eight championship points. "
4,Was Messi's Penalty Kick against Celta de Vigo in La Liga 2016 considered a miss?,"Was Messi's Penalty Kick against Celta de Vigo in La Liga 2016 considered a miss, according to FIFA rules?  In Are players allowed to pass a penalty? it's established that it is possible to 'pass' a penalty kick, however does it count as a miss? "
5,Is the classic alpine combined used as a skiing discipline or now all drive super combined?,"In Wikipedia it is said that, Alpine combined is consisting of one run of Downhill and two runs of Slalom, while its variation Super Combined, can be Downhill/SuperG, plus one run of Slalom. From the past years I only see a Super Combined discipline, right? Is the classic Alpine combined used at all? I guess no, cause now it is believed that, even with one run of Slalom, the technical skiers have an advantage, therefore is bigger with two run of Slalom.  I'm also one of the guys, who contribute to the 2016 Alpine Skiing World Cup Wikipedia page, and in the Men's section I see that there are two Alpine Combined events, and only the third one is marked as Super Combined. I guess they are all Super Combined and this is a little bit unclear. I want to fix it, but I want to be sure about it. Thanks! "
6,Is the quarterback allowed to make an underhand throw in the NFL?,"Is the quarterback allowed to make an underhand throw in the NFL? If so, if the pass is incomplete is the play dead? "
7,Should Jorgensen have been sent off for his DOGSO foul in Croatia-Denmark (2018 FIFA World Cup)?,"I am of course referring to the foul that occurred at the 113th minute of the round of 16 match between Croatia and Denmark, when Rebić would have scored an easy goal had he not been fouled in the box by Jorgensen:    As we know, a penalty kick was awarded but Jorgensen was only cautioned. Everyone seemed to agree with this decision, on the basis that Jorgensen did try to play the ball. And trust me, I believe this. The following image makes it clear that Jorgensen was attempting to play the ball:     Yet the point I'm trying to make is different. Is the fact Jorgensen was trying to get the ball enough to downgrade the red card to a simple yellow card in this case? People who agree with the referee's decision end up quoting this part of the 2018/19 Laws of the Game (Law 12, p. 108):     Where a player commits an offence against an opponent within their own penalty area which denies an opponent an obvious goal-scoring opportunity and the referee awards a penalty kick, the offender is cautioned if the offence was an attempt to play the ball; in all other circumstances (e.g. holding, pulling, pushing, no possibility to play the ball etc.) the offending player must be sent off.   But read it carefully: this paragraph is only referring to situations where an obvious goal-scoring opportunity is denied. To see why this is important, let's have a look at what the rulebook says just one page earlier:     A player, substitute or substituted player who commits any of the following offences is sent off: (...) denying a goal or an obvious goal-scoring opportunity to an opponent whose overall movement is towards the offender’s goal by an offence punishable by a free kick (unless as outlined below)   As you can see, the rule is actually about two distinct situations: denying a goal OR an obvious goal-scoring opportunity. It is also clear that 'denying a goal' doesn't only occur when a player deliberately handles the ball on the goal line, because   this paragraph is specifically about offences committed against an opposing player, and the situation where the ball is deliberately handled is already discussed in the previous bullet point, and again the Law makes a difference between denying a goal or an obvious goal-scoring opportunity (""denying the opposing team a goal or an obvious goal-scoring opportunity by deliberately handling the ball"").   Now, as the first image clearly shows (and as everyone who has watched the match knows), the goal was empty (the goalkeeper, Schmeichel, was almost outside the penalty area): a tap-in would have been enough for Rebić to score a goal. And seeing how the Laws of the Game do make a distinction between    fouling an opponent and denying a goal, or fouling an opponent and denying an obvious goal-scoring opportunity...   ...well, then it looks to me that this is the clearest example of what 'denying a goal by fouling an opponent' should be.  So, why did the referee apply that special provision of Law 12 that allowed him to only give a yellow card to Jorgensen, when this exception is only valid in situations when an obvious goal-scoring opportunity is denied?  After all, that paragraph was added to Law 12 because a penalty kick effectively restores the goal-scoring opportunity that was lost, so sending off the offending player would have been too much (Law 12 FAQ #9): indeed, the chance of scoring on a penalty kick is roughly 80%, which is more or less the same chance of scoring that an attacking player has when facing only the goalkeeper during open play. But in this situation, the chance of scoring was easily 99%: the penalty kick does NOT fully make up for the previous situation, and this is why I think the Laws of the Game make a distinction between the two cases.  So, was cautioning Jorgensen a mistake under the current Laws of the Game? Or are there any other official rules/interpretations that justify a yellow card and that I'm unaware of? "
8,Who comes out of the penalty box after goal?," Suppose that Team 1 has players Adam and Bob. Adam takes a double minor penalty, and during the powerplay, Bob takes a 2 minute minor. Then, on the 5-on-3 powerplay, Team 2 scores a goal. Assuming that Adam still has more than 2 minutes left on his penalty, does Bob come out of the box, moving to a 5-on-4 powerplay for the duration of Adam's penalty, or does Adam's penalty time get reduced to 2 minutes, and the 5-on-3 continues? Suppose that Team 1 has players Adam, Bob, and Chuck. Adams takes a 2 minute minor, then Bob takes a 2 minute minor during that penalty, and then during the 5-on-3, Chuck takes another 2 minute minor. Now, I believe that it's the case that Team 1 plays 5-on-3, but Chuck's penalty time doesn't start until Adam's is finished. Also, assuming that there's no stoppage in play, when Adam's time is finished, he doesn't immediately exit the box. However, if Bob's penalty time also finishes before a stoppage in play, then Adam comes out of the box to bring Team 1 to 5-on-4? Furthermore, if there is still no stoppage in play, and Chuck's penalty time finishes, then Bob comes out of the box putting both teams at even strength, and then Chuck comes out at the next stoppage in play? Also, how might things change if Adam or Bob had a major penalty? Suppose that we have Adam and Bob on Team 1 and Zack on Team 2. Adam and Zack take offsetting 2 minute minors, and while play is 4-on-4, Bob takes a penalty, but Team 2 scores before Team 1 can touch the puck. Does Adam come out of the box and Bob goes in, with 4-on-4 continuing until Zack comes out of the box, or does Adam stay in the box, and Bob doesn't go to the box?  "
9,Has a golf hole ever gone an entire round in a full-field event without any score worse than par?,I noticed when watching the 2018 PGA Championship that the short par 3 3rd hole had 20 birdies and 25 pars so far during the day's play.  And that got me to wondering... has a field ever gone perfect for a round in a tournament?  And/or what's the longest streak of par or better for the field? 
