Index,title,body
0,What is an accurate and safe way to piece together wood with a rhombus cross section?,"I am interested in making a bunch of Penrose tiles.      Please note that the triangles and half circle on the figures shouldn't be there, they are for alignment purposes only.  One of the tiles is a rhombus with corners of 36, 144, 36 and 144 degrees.  I am looking for the community's ideas on how to make a piece of wood with this cross section.  Lets say the sides are 1.5"".  I have a table saw, jointer, planar, router and access to most of the other tools.  Accuracy is important.  Any ideas and suggestion are appreciated.  Edit #1.  I really appreciate all the responses.  This seams like a great stack exchange.  The process I was envisioning was the following.  Get a 6' piece of stock with the correct cross section, then use a band saw to cut off the individual tiles to correct thickness.  Aside from the difficulty in getting the correct cross section, are there other issues / problems with this approach?  Edit #2 I found this approach on YouTube to cute acute angles.  Does this seems safe and accurate?   "
1,Issue sanding between coats of polyurethane,"So I am playing with finishes for the first time and experimenting with polyurethane. My problem involves quoting the instructions on the can and giving some background into my process. Bear with me.  From other answers on WW I understand that applying only a few coats of poly can be sufficient but traditionally you could use as many as 21 over the course a year. Since I don't need an exercise in futility I opted for 3 coats.  I did 2, what I thought were, thin coats 3 days apart and the last one was 2 days previous to now. I did not sand between coats; again because it is not required between coats (Again based on other answers required).  Referencing steps from the directions on the can and the Minwax website        Apply a THIN coat of Minwax® Fast-Drying Polyurethane using a high-quality natural or foam brush.   Let dry 4-6 hours. Then lightly sand entire surface with fine sandpaper (220 grit) to ensure an even finish and proper adhesion. Remove all dust.    Apply second coat. If third coat is desired, repeat step 5 before application.      Aside from the lack of sanding between coats I adhered to the instructions rather well.  I left the table to cure in my shed. Issue with that was my shed seems to have become a haven for boxelder bugs. Which would be an issue except they pissed on the table in several places. Some of it just chips off but I needed to sand out several of them. Sanding with 220 grit with only a few passes it looks like I sanded through the two coats down to wood!?  Why would they suggest I sand with that grit if it takes away the coats to begin with? Obviously they didn't intend for that to happen and I am doing something I am not supposed to do. Should I have used a finer grit? Are my poly coats to thin? "
2,I wonder how this alternating stain effect is made," I saw this example in a how-to page of sashco company!. I'm wondering how all the samples have a lighter and darker shade. Is it a double applying of the same product on it's right side?  And how can I apply a similar transition on a piece of wood. Is it sufficient to tape it off, is this why it has a dark line like if it had a cut. What kind of tape to use then? "
3,Is there a safe way to make a plunge cut with a chainsaw?,"Having looked up chainsaw safety videos on the internet it seems that a big danger with chainsaws is kickback - where the tip of the chainsaw contacts something unexpected and throws the blade back up towards the users head/neck.  Is there a way to make a plunge cut with a chainsaw into thick wood safely (i.e. pushing the tip of the chainsaw into a thick block of wood, maybe 12 inches thick) or is this just a flat out bad idea?  Is the potential kickback on entry hard to avoid or control?  Is the wood more likely to bind onto the chain in this case and/or break it? "
4,Design considerations for a machinist's work bench,"I am considering hiring a cabinet maker to construct a built-in workbench for machine work and would like to know the key design considerations and recommended jointing options for such a project.  The table would be mounted to a stone wall in the back and one side and have two legs. I envision using something like white oak 4x4s for the legs and having a 3"" or 4"" hard maple top. It has to be able to mount a large vise. I have seen Sjosberg benches but they are not really appropriate since they are designed for wood work, not machine work and blacksmithing.  What would be a recommended way of constructing the maple top and joining it to the legs?  In the photo below is traditional machine vise bench:    Like many such benches it has cast iron supports, not an option for me. Also, notice top is made from 2x4s sistered together, which seems logical to me. Do you bolt them together? "
5,How do I cut a large log into boards?,"An acquaintance was clearing some trees from his land, and I asked him to save a section of big leaf maple so I could mill it for an electric guitar.   The piece ended up being roughly 9"" x 9"" x 36"". I figured I'd let it dry then saw into boards. Now, about a year later (and after learning much more about woodworking), I realize I should have had it milled before drying. It has cracked some as it dried, but should still be usable.  My problem now is I don't know how to go about milling it. It's bigger than I had asked for and I don't have the tools to break it down.  Here is what I have:   Circular saw (7.5"") My grandpa has a 10"" table saw Handsaw (18-24"")   I'm not sure I like either of those options. Seems like the blade could bind, and while the piece is too heavy to kick back on a table saw, it could burn up the motor, or toss the circular/break my wrist.  Do I chalk this up to beginner's mistake and scrap the idea, or is there something I could still try (bandsaw, chainsaw, etc.)?  Note: This question is different from What is the process, from start to finish, for milling a tree into boards? in that this question is about milling a chunk of wood that is small enough not to require or justify the size of tool (e.g., bandsaw mill or chainsaw mill) which is usually used to mill large tree trunks. As @bowlturner pointed out in a comment, it also may be too small for some such mills. "
6,How can I make a dowel with a table saw?,"In LeeG's answer to How can I make my own dowels? he says     You make a jig to pass the piece through perpendicular to the blade and turn the piece to round the corners...         Image source  How does one go about doing this? I'd specifically like to make some 5/8"" dowels from some old 3/4"" diameter turning tool handles. "
7,Am I able to make a wooden Zero Clearance Insert for my tablesaw?,"After watching more videos about table saws I got excited and wanted to make a ZCI. When I looked at my saw the current insert gave way too much room. I had lost some wood down there on one occasion and was worried about kickback.   I took off the cheap flimsy plastic, that was starting to bow, only to find this:   Note: The ""tab"" on the right looks more recessed than it actually is  The place where the potential ZCI would rest is between 1/8th - 3/16ths of an inch from the table (both tabs are not equal distances from the table). That would mean for a very thin piece of the board at those locations. That would likely snap when it got some pressure. Also the side of the gap facing the blade (that you cant see in this picture) tapers at a 45 degree angle. I could see sawdust or, if nothing else, debris getting in there.  All the good ZCI's that I see are one unit and I don't see how I could do that with this setup.   Can I safely make a wooden ZCI for this table saw? Would I need to mill one from metal to get the same effect? "
8,Would a thick riving knife be useful with a dado stack?,"As I understand it, a riving knife prevents kickback by keeping the workpiece from pinching or being pushed into the back of the blade.  Pinching the blade is unlikely to happen with non-through cuts, which all dado cuts are, but the workpiece could still theoretically be pushed askew and contact the back of the blade.  Would a riving knife with the same thickness as the kerf of the dado stack prevent this? Or are non-through cuts just not as dependent on a riving knife for safety? "
9,What types of table saw cuts cannot be made with a riving knife installed?,"Similar to When is it not possible or not practical to use a blade guard?, what types of cuts require the riving knife (and blade guard) to be removed? "
