title,body
"Importing source from Ancestry or FamilySearch into Gramps automatically?","<p>I've been using ancestry.com for a couple of years online, and recently got their desktop software to help manage trees better. One of the reasons I had created my trees online was the ease of incorporating sources for the events in people's timelines. One of the problems with the way Ancestry.com does it is that it makes it difficult (though not impossible) to use the same record as a source for facts/events about multiple people. This seems to come up often on marriage and death records that mention parents' names, on ships' manifests that mention relatives, etc.</p>

<p>I have read some interest descriptions of gramps on this site, an have installed a copy. I imported a small GEDCOM tree to test things out. As described in the documentation, some of my source information didn't get copied into gamps. (Mostly these seemed to be notes describing the sources.)</p>

<p>I like the idea of treating sources as first-class objects, but I am concerned about the tedious and error-prone data-entry that I think I need to do to add new sources to a gramps database. Here I am thinking about an example of finding a census record on ancestry.com or a marriage record on FamilySearch, and then having to transcribe it into gamps. </p>

<p>So I would like to know what are established best practices for adding new sources to gramps for records found through online searches? Is there a way to import the stuff in some semi-automatic way, or must everything be re-typed? How are images of documents best handled? What are good naming patterns for image files?</p>
"
"What is the earliest age a boy in England could get married in the 1800s?","<p>My wife has an ancestor named Charles Davies. The 1841 and 1851 Wales censuses as well as his marriage record state that he was born in Flintshire, Wales between 1813 and 1816. A search for his baptismal record (electornic, published indexes, and microfilm) always pulls up the same two Charles Davies born in 1818 or 1821. The problem is our Charles was married in 1835, which would put his age at 17 or 14 respectively. I know that getting married at 14 is very unlikely, but what about age 17? What is the earliest age that was considered proper for a boy to get married in England in the 1800's?</p>
"
"How can I search Findmypast for children born to a given set of parents?","<p><a href=""http://www.findmypast.co.uk"" rel=""nofollow"">Findmypast</a> is an excellent resource for UK records, but is there an easy way that I can find the <a href=""http://www.findmypast.co.uk/search/parish-records/baptisms?tab=1"" rel=""nofollow"">parish baptisms</a> for <strong>any</strong> child born to a given set of parents? It is easy to do on Ancestry and FamilySearch by adding the names of parents, the expected surname of the children, and leaving the given name field blank. But I cannot see any way to do this on Findmypast besides entering in just the surname. That usually brings up too many results, especially since the parents names are not shown in the search results list. Is there a better way?</p>
"
"Where do I find my Gramps data on a Mac or other Unix based file system?","<p>If I am running gramps, and I load a gedcom file in - where does it put the data file? If I load more than one, where are they?</p>
"
"The terms ""strafgefangener"" and ""arbaither""","<p>I have a 4x great grandfather that was from Kaltbrunn, St. Gallen, Switzerland, but died in Ludwigsburg, Wurttemberg.  He died in 1849 and associated with his death entry in the Wurttemberg Catholic church records there is mention of him as ""Arbaither"" and that his profession is ""Strafgefangener"", if I have read the script correctly.</p>

<p>Do these terms have something to do with prisoner?  Was he a prisoner of war, or was he in a work house like situation or poor house?. Thank you!</p>
"
"Sources for Border Crossings between Toronto and Chicago in early 1890's?","<p>What records might exist for border crossings and travel in early 1890's between Toronto, Ontario, Canada, and Chicago, Cook County, Illinois, USA, probably via Michigan?  The family members involved were British (some born in the UK, some born in Canada).</p>

<p>The family were present in Canada in the 1881 and 1901 censuses, but not in the 1891.  There is evidence at least some of them were in Chicago for at least part of this time (especially 1889-1897).  Since there's no 1890 US Census I'm looking for other sources to find out more.</p>

<p>Ancestry's ""Border Crossings: From Canada to U.S., 1895-1954"" doesn't have any Michigan crossings listed (although they do have some Michigan arrivals for the 1900's, not mentioned on the dataset description).</p>

<p>Are there any other records (shipping, railroad, border control) that would mention people crossing this border?  </p>
"
"Determining percent Spanish?","<p>If my mom Grandmother was Spaniard, does that make my mom 25 percent Spaniard? What percent does that make me? </p>
"
"How do I convert my RAW FamilyTreeDNA FamilyFinder test result files to Ancestry or 23andMe format?","<p>How do I convert the the RAW <a href=""http://familytreedna.com"" rel=""nofollow noreferrer"">FamilyTreeDNA.com</a> Family Finder Autosomal and X DNA result files into another sites format like Ancestry.com's or 23andMe's format?</p>

<p><a href=""https://i.stack.imgur.com/wFHTR.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/wFHTR.jpg"" alt=""enter image description here""></a></p>

<p>There is a growing need to do this as many third party utilities, including currently <a href=""http://www.gedmatch.com"" rel=""nofollow noreferrer"">GEDMATCH.com</a> (potentially permanently) in the very near future, may require it to not be in this multi-part format that FamilyTreeDNA.com uses. </p>

<p>What methods (whether it be a application or a procedure) are available to convert this data format so we can use the results in these utilities?</p>
"
"Is Libege and Liège the same?","<p>I came across the city name of ""Libege"" when doing genealogy research.</p>

<p>Is Libege a historical spelling of the modern-day city of Liège?</p>

<p>Source (among others): <a href=""http://geneagraphie.com/getperson.php?personID=I476848&amp;tree=1"" rel=""nofollow noreferrer"">Geneagraphie family tree</a></p>
"
"How should I show my step-mother?","<p>I am using an online service for my family tree, and this got me wondering. How should I show my step-mother and my half-siblings? I mean, will my father's marriage to my step-mother be on the same level, underneath or something else?</p>
"
