title,body
"Are German Merkur or Herkules hops noble enough to sub in a Pilsener?","<p>On an impulse last week I picked up some German <em>Merkur</em> and <em>Herkules</em> hops from the LHBS to use as flavoring and aroma hops in a pilsner, because I thought they might be an interesting twist. But now I'm not sure if they will really fit the style, or even the style of a ""light lager"", since they're described as primarily bittering with some dual-use on the hop reference sites I've found for <a href=""http://beerlegends.com/merkur-hops"">merkur</a> and a <a href=""http://hopsteiner.com/pdf/EBC%20P16%202007.pdf"">conference poster</a> comparing them. </p>

<p>Has anyone had experience using them for their aroma? Or using them at all? </p>

<p>Both have an AA of around 13-14, which is high for flavoring and aroma schedules, but the labels claim they're good for all parts of the schedule for pilsners. I haven't experimented, but have noticed (and also been told) that you can get a fair amount of bitterness from even a 25 or 30 minute boil, despite conventional knowledge. Does it sound like I might get appropriate bitterness if I left out a bittering hop and threw one of them in around 30 minutes, and the other around 5? And more importantly, which one should be used for each step? I could just open them both and choose after smelling them on brew day, if no one has recommendations.</p>
"
"Brett, Pedio, Lacto. Reuse and kegging","<p>I have 6 gallons of a bretted whit that has been sitting in the basement for 8 months and a Pedio/Lacto/Brett Dubbel that has been working for about 7 months. </p>

<p>If I wanted to reuse these cultures could I just throw wort on top? I know that one method is to use oak chips to preserve the bugs and use the chips/cubes from beer to beer. </p>

<p>I was thinking of racking the finished beer into kegs that I use for other beers. The issue that I see is the chance of cross contamination. The beer that goes into the kegs is gone within a month so is this really an issue? Would one use a separate keg for bugged beers? </p>

<p>Has anyone used the same equip for bugged beers and had issues? Star San and B-Brite seem like a pretty harsh environment for a yeast to live through if the equip was properly sanitized. </p>
"
"What is the best way to flavor beer with Oak?","<h2>Background:</h2>

<p>I've purchased some lovely <em>dark roasted oak chips</em> that I plan on soaking in bourbon and using to flavor an Irish Red.</p>

<p>Friends of mine who have seasoned their beer on oak chips claim that you should rack your beer onto it in a secondary and ""rotate"" once every couple weeks to keep the oak <em>exposed</em> to flavor the beer.  I've looked around at a number of sources on the subject, but I want to know what <strong>Homebrewing</strong> thinks is the best way to do this.</p>

<h2>Research:</h2>

<p><em>The <a href=""http://www.beercollege.net/brew-beer-tips/how-to-use-oak-to-enhance-the-flavor-of-your-beer/"">options</a> I've <a href=""http://morebeer.com/content/using_oak_in_beer"">found</a> for <a href=""http://www.beersmith.com/blog/2012/02/20/oak-in-your-beer-oak-chips-and-barrel-aging/"">flavoring</a> <a href=""http://www.realbeer.com/discussions/showthread.php?t=182870"">are</a>:</em></p>

<ul>
<li>Add chips to primary after it has mostly cleared up. </li>
<li>Place chips in a secondary and rack the beer onto them.</li>
<li>Boil the wort with the chips.</li>
<li>Add Oak tea (boil water or soak in liquor and then add that) to primary or secondary.</li>
</ul>

<p>With many variations in between.</p>

<p><em>I'm looking for a good full-bodied oak flavor.</em></p>

<h2><em>The Question:</em></h2>

<p><strong>What is the best way to add oak (chips) to a beer in order to impart the most flavor?</strong>  </p>

<p>What say you?</p>
"
"What bourbons work well for flavoring beer?","<h2>Background:</h2>

<p>I am a large fan of bourbon flavored beers and have flavored a number of my homebrews with various bourbons with a wide range of results.</p>

<h2>Question:</h2>

<p><strong>What bourbons/whiskies result in a good flavor in beer?</strong></p>

<p>For anyone starting out with flavoring using bourbon, this is a question that will likely be raised along with:</p>

<ul>
<li><a href=""https://homebrew.stackexchange.com/questions/3492/is-there-a-difference-between-soaking-oak-in-bourbon-and-just-adding-the-bourbon"">Is there a difference between soaking oak in bourbon and just adding the bourbon straight into secondary?</a></li>
<li><a href=""https://homebrew.stackexchange.com/q/1099/2310"">Adding Bourbon flavor to a beer</a></li>
<li><a href=""https://homebrew.stackexchange.com/q/1730/2310"">How much bourbon is the right amount?</a></li>
</ul>

<p>And potentially:</p>

<ul>
<li><a href=""https://homebrew.stackexchange.com/questions/6803/what-is-the-best-way-to-flavor-beer-with-oak"">What is the best way to flavor beer with Oak?</a></li>
</ul>
"
"Brettanomyces and Bottle Conditioning","<p>When working with brettanomyces ""Brett"" should I adjust the amount of priming sugar I use?  <strong>Does brett have any affect on quantity or quality (fineness of bubbles etc.) of carbonation in the bottle?</strong></p>

<p>I ask as I've never used brettanomyces before and want to avoid bottle bombs as much as possible.</p>
"
"Should I rack lager before pitching yeast?","<p>Yesterday I brewed my first Lager. I chilled the wort to about 72 degrees and figured i should get it colder before pitching.
So i got the wort into a carboy and then got the carboy into to the freezer at 50F and left it there overnight. This morning i was about to pitch the yeast but noticed about 3 inches of sediment (is this cold break?) on the bottom of the carboy. 
At this point i did not know what to do, do i pitch the yeast as is or do i rack the wort to another carboy leaving all that material behind? </p>
"
"Need help accenting the ""clove"" character of my Hefes","<p>So I enjoy the heck outa making Hefeweizens. Its a great style and very wonderful when fresh. However, my Hefe's never seem to hit that ""clove"" note properly, they always lean much more towards the ""banana"" side of the flavor spectrum.</p>

<p>I suspect this is because I am a single infusion masher. I've never bothered with a protein rest or any kind of steps, I just hit 150-155F and let it sit for an hour. Works great on my other beers, but I think it's making my Hefe's a little one dimensional.</p>

<p>I ferment in a fridge, usually at 64F, so it's not a temp control issue leading to more banana flavor. Furthermore, I like WLP380 Hefe IV yeast, which is supposed to give more balanced clove/banana than the WLP300. As such, I am pointing the finger at my mash schedule.</p>

<p><strong>Does anyone have a mash schedule they use to accent the clove character?</strong> And if its not too much, would you mind explaining what volumes of water you use to hit those steps?</p>

<p>Or, if you think there's something else I can try besides a different mash schedule, that would be great too. Thanks!</p>
"
"Does a malt ""late addition"" affect OG?","<p>I'm following a recipe from a book for an IPA that calls for the following (simplified) steps:</p>

<ol>
<li>Boil water (3G/11L)</li>
<li>Add Light DME (1lb/450g) &amp; return to boil</li>
<li>Add hops</li>
<li>At 45 mins, add LME (6.6lb/3kg)</li>
<li>Add hops, etc &amp; boil another 15 mins</li>
</ol>

<p>I've put the malt ingredients into both <a href=""http://beercalculus.hopville.com/recipe"" rel=""nofollow"">Beer Calculus</a> and <a href=""http://www.brewmate.net/"" rel=""nofollow"">BrewMate</a> but the SG/OG I'm getting are way off.  The book says I'm should expect 1.068 yet Beer Calculus is 1.049 &amp; BrewMate is 1.048.</p>

<p>BC has the exact brands of extract, but BM does not, though that does not seem to make a noteworthy difference.  I'm using the brands listed by the recipe (Briess).</p>

<p>The only thing I can see that's different from BM/BC and the recipe is that the calculators don't have any option for a late malt addition for the extract.  <strong>Will the late addition cause a higher SG</strong>?  Should I add more malt to kick it up?  Or could there be something else at play?</p>
"
"Estery fruit flavors in my vanilla bourbon imperial porter","<p>I'm still pretty new to home brewing, so I'm sure I made about a hundred mistakes with this beer. I brewed a 1.079 OG imperial porter, and used Safale 05 (only one pack, unfortunately). First of all, I think I under-pitched the yeast, and then I only kept it in primary for seven days. I tasted it during racking, and there were definitely some pretty distinct fruity flavors there that I did not expect or want. The gravity read 1.032, so I assumed I did not have enough yeast for that big of a beer, and the yeast got really stressed out, hence the fruit. I added 1.70 cups of bourbon, an ounce of oak chips, and three cut-up vanilla beans at secondary, as per the recipe that I found. Since the gravity was still so high, I repitched into secondary with a new pack of 05, hoping that would kick-start more fermentation and get the gravity down to 1.017 where it's supposed to be. After four days, there is barely any activity in the airlock, so I don't think it's fermenting. Is there any hope for this beer turning out, or for those fruity flavors to disappear? I'm also concerned about leaving it in secondary with the oak chips and vanilla beans for too long. Could someone please point me in the right direction?</p>
"
"What is a protein rest?","<p>I am new to all grain brewing and mashing, however I am about to brew a Belgian Witbier (Northern Brewer all grain kit) and I have a question about the mash schedule.</p>

<p>I have only done a single step mash before (with a batch sparge) which is super easy, however this recipe is calling for a multi step mash:</p>

<ul>
<li>Protein Rest: 122°F for 20 minutes</li>
<li>Sacch’ Rest: 152 F for 60 minutes</li>
<li>Mashout: 170°F for 10 minutes</li>
</ul>

<p>With the grain bill as follows:</p>

<ul>
<li>3.5 lbs. Weyermann Pale Wheat</li>
<li>3.5 lbs. Belgian Pilsner</li>
<li>1 lbs. Flaked Oats</li>
</ul>

<p>All of the grains came in 1 pre-mixed bag not separately.</p>

<p>What is a protein rest?  What water ratio do I use for this?  How do I get the mash up to 152 after this (mash in a cooler so I can't apply a heat source), just by add boiling water to it?  If so what should I be looking to keep left over for the sparge/mashout?</p>

<p>I usually use a 1.25 gts./lbs. ratio for mash water and try to hit 6.5 gallons in the brew pot pre-boil.</p>

<p>I am assuming the 'Sacch Rest' is same as my regular mash step, and the mashout being the sparge?  Is this not correct?</p>
"
